Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2023-2024,16,2023-08-19,Man City,Newcastle,True,1,0,H,3,1.9511846988295745
2023-2024,17,2023-08-20,Everton,Aston Villa,False,0,4,H,0,0.8644067796610169
2023-2024,17,2023-08-20,Aston Villa,Everton,True,4,0,H,3,1.8998459167950694
2023-2024,18,2023-08-20,Chelsea,West Ham,False,1,3,H,0,1.69683257918552
2023-2024,18,2023-08-20,West Ham,Chelsea,True,3,1,H,3,1.0316742081447963
2023-2024,19,2023-08-21,Arsenal,Crystal Palace,False,1,0,A,3,2.0107526881720426
2023-2024,19,2023-08-21,Crystal Palace,Arsenal,True,0,1,A,0,0.7526881720430108
2023-2024,20,2023-08-25,Luton,Chelsea,False,0,3,H,0,0.4337592468056491
2023-2024,20,2023-08-25,Chelsea,Luton,True,3,0,H,3,2.392737054472092
2023-2024,21,2023-08-26,Tottenham,Bournemouth,False,2,0,A,3,1.744231875970074
2023-2024,21,2023-08-26,Bournemouth,Tottenham,True,0,2,A,0,1.0026159292652725
2023-2024,22,2023-08-26,Fulham,Arsenal,False,2,2,D,1,0.35478260869565215
2023-2024,22,2023-08-26,Arsenal,Fulham,True,2,2,D,1,2.5095652173913043
2023-2024,23,2023-08-26,Crystal Palace,Brentford,False,1,1,D,1,1.1017392930615297
2023-2024,23,2023-08-26,Brentford,Crystal Palace,True,1,1,D,1,1.6167944641855243
2023-2024,24,2023-08-26,Wolves,Everton,False,1,0,A,3,1.1811054488435906
2023-2024,24,2023-08-26,Everton,Wolves,True,0,1,A,0,1.5303802430419444
2023-2024,25,2023-08-26,Nott'm Forest,Man United,False,2,3,H,0,0.5105740181268883
2023-2024,25,2023-08-26,Man United,Nott'm Forest,True,3,2,H,3,2.3323262839879155
2023-2024,26,2023-08-26,West Ham,Brighton,False,3,1,A,3,0.7414725069897484
2023-2024,26,2023-08-26,Brighton,West Ham,True,1,3,A,0,2.058900279589935
2023-2024,27,2023-08-27,Aston Villa,Burnley,False,3,1,A,3,1.603896103896104
2023-2024,27,2023-08-27,Burnley,Aston Villa,True,1,3,A,0,1.1168831168831168
2023-2024,28,2023-08-27,Man City,Sheffield United,False,2,1,A,3,2.5449949443882716
2023-2024,28,2023-08-27,Sheffield United,Man City,True,1,2,A,0,0.3367037411526794
2023-2024,29,2023-08-27,Liverpool,Newcastle,False,2,1,A,3,1.2011494252873565
2023-2024,29,2023-08-27,Newcastle,Liverpool,True,1,2,A,0,1.5459770114942528
2023-2024,30,2023-09-01,West Ham,Luton,False,2,1,A,3,1.8990454150997973
2023-2024,30,2023-09-01,Luton,West Ham,True,1,2,A,0,0.85073763378652
2023-2024,31,2023-09-02,Everton,Sheffield United,False,2,2,D,1,1.432459677419355
2023-2024,31,2023-09-02,Sheffield United,Everton,True,2,2,D,1,1.275201612903226
2023-2024,32,2023-09-02,Bournemouth,Brentford,False,2,2,D,1,0.85073763378652
2023-2024,32,2023-09-02,Brentford,Bournemouth,True,2,2,D,1,1.8990454150997973
2023-2024,33,2023-09-02,Tottenham,Burnley,False,5,2,A,3,1.751932536893886
2023-2024,33,2023-09-02,Burnley,Tottenham,True,2,5,A,0,1.0140548137737178
2023-2024,34,2023-09-02,Nott'm Forest,Chelsea,False,1,0,A,3,0.545615589016829
2023-2024,34,2023-09-02,Chelsea,Nott'm Forest,True,0,1,A,0,2.2435783879539417
2023-2024,35,2023-09-02,Fulham,Man City,False,1,5,H,0,0.31059832550541144
2023-2024,35,2023-09-02,Man City,Fulham,True,5,1,H,3,2.5699407800694303
2023-2024,36,2023-09-02,Newcastle,Brighton,False,1,3,H,0,1.3641697633483276
2023-2024,36,2023-09-02,Brighton,Newcastle,True,3,1,H,3,1.3864658713084292
2023-2024,37,2023-09-03,Wolves,Crystal Palace,False,2,3,H,0,0.9416886388125685
2023-2024,37,2023-09-03,Crystal Palace,Wolves,True,3,2,H,3,1.771768015716003
2023-2024,38,2023-09-03,Aston Villa,Liverpool,False,0,3,H,0,0.846153846153846
2023-2024,38,2023-09-03,Liverpool,Aston Villa,True,3,0,H,3,1.942307692307692
2023-2024,39,2023-09-03,Man United,Arsenal,False,1,3,H,0,0.8798418972332017
2023-2024,39,2023-09-03,Arsenal,Man United,True,3,1,H,3,1.871146245059289
2023-2024,40,2023-09-16,Liverpool,Wolves,False,3,1,A,3,2.147986942328618
2023-2024,40,2023-09-16,Wolves,Liverpool,True,1,3,A,0,0.662676822633297
2023-2024,41,2023-09-16,Crystal Palace,Aston Villa,False,1,3,H,0,0.9775902614469498
2023-2024,41,2023-09-16,Aston Villa,Crystal Palace,True,3,1,H,3,1.758196154378199
2023-2024,42,2023-09-16,Luton,Fulham,False,0,1,H,0,0.7754522142906646
2023-2024,42,2023-09-16,Fulham,Luton,True,1,0,H,3,1.9699216854944905
2023-2024,43,2023-09-16,Brighton,Man United,False,3,1,A,3,1.2158710854363028
2023-2024,43,2023-09-16,Man United,Brighton,True,1,3,A,0,1.5487990270598966
2023-2024,44,2023-09-16,Sheffield United,Tottenham,False,1,2,H,0,0.4337592468056491
2023-2024,44,2023-09-16,Tottenham,Sheffield United,True,2,1,H,3,2.392737054472092
2023-2024,45,2023-09-16,Man City,West Ham,False,3,1,A,3,2.172288531395952
2023-2024,45,2023-09-16,West Ham,Man City,True,1,3,A,0,0.6170212765957446
2023-2024,46,2023-09-16,Brentford,Newcastle,False,0,1,H,0,0.6973974415527128
2023-2024,46,2023-09-16,Newcastle,Brentford,True,1,0,H,3,2.0776356418173796
2023-2024,47,2023-09-17,Chelsea,Bournemouth,False,0,0,D,1,1.8357292529603821
2023-2024,47,2023-09-17,Bournemouth,Chelsea,True,0,0,D,1,0.9110667121485307
2023-2024,48,2023-09-17,Arsenal,Everton,False,1,0,A,3,2.105263157894737
2023-2024,48,2023-09-17,Everton,Arsenal,True,0,1,A,0,0.6842105263157895
2023-2024,49,2023-09-18,Burnley,Nott'm Forest,False,1,1,D,1,1.1534795042897998
2023-2024,49,2023-09-18,Nott'm Forest,Burnley,True,1,1,D,1,1.5738798856053384
2023-2024,50,2023-09-23,Fulham,Crystal Palace,False,0,0,D,1,0.9551326573135157
2023-2024,50,2023-09-23,Crystal Palace,Fulham,True,0,0,D,1,1.7662869843033755
2023-2024,51,2023-09-23,Wolves,Luton,False,1,1,D,1,1.569314641744548
2023-2024,51,2023-09-23,Luton,Wolves,True,1,1,D,1,1.152258566978193
2023-2024,52,2023-09-23,Nott'm Forest,Man City,False,0,2,H,0,0.2992416877308963
2023-2024,52,2023-09-23,Man City,Nott'm Forest,True,2,0,H,3,2.5899280575539567
2023-2024,53,2023-09-23,Everton,Brentford,False,3,1,A,3,0.9249011857707509
2023-2024,53,2023-09-23,Brentford,Everton,True,1,3,A,0,1.8260869565217392
2023-2024,54,2023-09-23,Man United,Burnley,False,1,0,A,3,1.8707571801566583
2023-2024,54,2023-09-23,Burnley,Man United,True,0,1,A,0,0.9033942558746736
2023-2024,55,2023-09-24,Tottenham,Arsenal,False,2,2,D,1,0.8709256844850065
2023-2024,55,2023-09-24,Arsenal,Tottenham,True,2,2,D,1,1.9113428943937418
2023-2024,56,2023-09-24,Bournemouth,Brighton,False,1,3,H,0,0.5575244644274002
2023-2024,56,2023-09-24,Brighton,Bournemouth,True,3,1,H,3,2.262628934144406
2023-2024,57,2023-09-24,Aston Villa,Chelsea,False,1,0,A,3,1.0026159292652725
2023-2024,57,2023-09-24,Chelsea,Aston Villa,True,0,1,A,0,1.744231875970074
2023-2024,58,2023-09-24,West Ham,Liverpool,False,1,3,H,0,0.5945945945945945
2023-2024,58,2023-09-24,Liverpool,West Ham,True,3,1,H,3,2.2162162162162162
2023-2024,59,2023-09-24,Newcastle,Sheffield United,False,8,0,A,3,2.1891568666533785
2023-2024,59,2023-09-24,Sheffield United,Newcastle,True,0,8,A,0,0.6099262507474587
2023-2024,60,2023-09-30,Brighton,Aston Villa,False,1,6,H,0,1.373134328358209
2023-2024,60,2023-09-30,Aston Villa,Brighton,True,6,1,H,3,1.373134328358209
2023-2024,61,2023-09-30,Arsenal,Bournemouth,False,4,0,A,3,2.0640449438202246
2023-2024,61,2023-09-30,Bournemouth,Arsenal,True,0,4,A,0,0.7258426966292134
2023-2024,62,2023-09-30,Luton,Everton,False,2,1,A,3,0.6876024565095055
2023-2024,62,2023-09-30,Everton,Luton,True,1,2,A,0,2.062709500623914
2023-2024,63,2023-09-30,Crystal Palace,Man United,False,1,0,A,3,0.7187440773264263
2023-2024,63,2023-09-30,Man United,Crystal Palace,True,0,1,A,0,2.056036388906438
2023-2024,64,2023-09-30,Burnley,Newcastle,False,0,2,H,0,0.48114205146281286
2023-2024,64,2023-09-30,Newcastle,Burnley,True,2,0,H,3,2.3538949594642227
2023-2024,65,2023-09-30,Sheffield United,West Ham,False,0,2,H,0,0.6170212765957446
2023-2024,65,2023-09-30,West Ham,Sheffield United,True,2,0,H,3,2.172288531395952
2023-2024,66,2023-09-30,Man City,Wolves,False,1,2,H,0,2.312113552401322
2023-2024,66,2023-09-30,Wolves,Man City,True,2,1,H,3,0.5223799338907252
2023-2024,67,2023-09-30,Liverpool,Tottenham,False,1,2,H,0,1.552298089653868
2023-2024,67,2023-09-30,Tottenham,Liverpool,True,2,1,H,3,1.2118403631549084
2023-2024,68,2023-10-01,Brentford,Nott'm Forest,False,1,1,D,1,1.3569078947368418
2023-2024,68,2023-10-01,Nott'm Forest,Brentford,True,1,1,D,1,1.3377878289473681
2023-2024,69,2023-10-02,Chelsea,Fulham,False,2,0,A,3,1.6637819922666177
2023-2024,69,2023-10-02,Fulham,Chelsea,True,0,2,A,0,1.0644448536181181
2023-2024,70,2023-10-03,Burnley,Luton,False,2,1,A,3,1.3926993434364288
2023-2024,70,2023-10-03,Luton,Burnley,True,1,2,A,0,1.292356608993682
2023-2024,71,2023-10-07,Tottenham,Luton,False,1,0,A,3,2.1366600510348737
2023-2024,71,2023-10-07,Luton,Tottenham,True,0,1,A,0,0.6660051034873831
2023-2024,72,2023-10-07,Chelsea,Burnley,False,4,1,A,3,1.8781588734543377
2023-2024,72,2023-10-07,Burnley,Chelsea,True,1,4,A,0,0.8743761721605899
2023-2024,73,2023-10-07,Bournemouth,Everton,False,0,3,H,0,1.0025886244337385
2023-2024,73,2023-10-07,Everton,Bournemouth,True,3,0,H,3,1.7364636513985765
2023-2024,74,2023-10-07,Sheffield United,Fulham,False,1,3,H,0,0.7288240769469438
2023-2024,74,2023-10-07,Fulham,Sheffield United,True,3,1,H,3,2.0198572758299718
2023-2024,75,2023-10-07,Brentford,Man United,False,1,2,H,0,0.830298167437995
2023-2024,75,2023-10-07,Man United,Brentford,True,2,1,H,3,1.9423867723124095
2023-2024,76,2023-10-07,Nott'm Forest,Crystal Palace,False,0,0,D,1,1.0957528957528957
2023-2024,76,2023-10-07,Crystal Palace,Nott'm Forest,True,0,0,D,1,1.5984555984555984
2023-2024,77,2023-10-08,Liverpool,Brighton,False,2,2,D,1,1.5477996965098635
2023-2024,77,2023-10-08,Brighton,Liverpool,True,2,2,D,1,1.2018209408194234
2023-2024,78,2023-10-08,Newcastle,West Ham,False,2,2,D,1,1.6063169768753522
2023-2024,78,2023-10-08,West Ham,Newcastle,True,2,2,D,1,1.1410039481105472
2023-2024,79,2023-10-08,Aston Villa,Wolves,False,1,1,D,1,1.631299734748011
2023-2024,79,2023-10-08,Wolves,Aston Villa,True,1,1,D,1,1.090185676392573
2023-2024,80,2023-10-08,Man City,Arsenal,False,0,1,H,0,1.4588957055214724
2023-2024,80,2023-10-08,Arsenal,Man City,True,1,0,H,3,1.2564417177914111
2023-2024,81,2023-10-21,Everton,Liverpool,False,0,2,H,0,0.5418741511996378
2023-2024,81,2023-10-21,Liverpool,Everton,True,2,0,H,3,2.293921560558047
2023-2024,82,2023-10-21,Wolves,Bournemouth,False,2,1,A,3,1.2352941176470587
2023-2024,82,2023-10-21,Bournemouth,Wolves,True,1,2,A,0,1.4839572192513368
2023-2024,83,2023-10-21,Burnley,Brentford,False,0,3,H,0,0.9331650081687213
2023-2024,83,2023-10-21,Brentford,Burnley,True,3,0,H,3,1.8131590672805582
2023-2024,84,2023-10-21,Brighton,Man City,False,1,2,H,0,0.615916955017301
2023-2024,84,2023-10-21,Man City,Brighton,True,2,1,H,3,2.2041522491349483
2023-2024,85,2023-10-21,Crystal Palace,Newcastle,False,0,4,H,0,0.6170212765957446
2023-2024,85,2023-10-21,Newcastle,Crystal Palace,True,4,0,H,3,2.172288531395952
2023-2024,86,2023-10-21,Luton,Nott'm Forest,False,2,2,D,1,0.7754522142906646
2023-2024,86,2023-10-21,Nott'm Forest,Luton,True,2,2,D,1,1.9699216854944905
2023-2024,87,2023-10-21,Arsenal,Chelsea,False,2,2,D,1,1.5483870967741933
2023-2024,87,2023-10-21,Chelsea,Arsenal,True,2,2,D,1,1.17178390983288
2023-2024,88,2023-10-21,Man United,Sheffield United,False,2,1,A,3,2.2041522491349483
2023-2024,88,2023-10-21,Sheffield United,Man United,True,1,2,A,0,0.615916955017301
2023-2024,89,2023-10-22,West Ham,Aston Villa,False,1,4,H,0,0.9620520028109627
2023-2024,89,2023-10-22,Aston Villa,West Ham,True,4,1,H,3,1.7779339423752634
2023-2024,90,2023-10-23,Fulham,Tottenham,False,0,2,H,0,0.6842105263157894
2023-2024,90,2023-10-23,Tottenham,Fulham,True,2,0,H,3,2.1052631578947367
2023-2024,91,2023-10-27,Tottenham,Crystal Palace,False,2,1,A,3,1.8682634730538918
2023-2024,91,2023-10-27,Crystal Palace,Tottenham,True,1,2,A,0,0.8802395209580838
2023-2024,92,2023-10-28,Brentford,Chelsea,False,2,0,A,3,0.7849017580144776
2023-2024,92,2023-10-28,Chelsea,Brentford,True,0,2,A,0,1.9762150982419855
2023-2024,93,2023-10-28,Sheffield United,Arsenal,False,0,5,H,0,0.2611190445281059
2023-2024,93,2023-10-28,Arsenal,Sheffield United,True,5,0,H,3,2.627391925223939
2023-2024,94,2023-10-28,Burnley,Bournemouth,False,1,2,H,0,1.1337409247229653
2023-2024,94,2023-10-28,Bournemouth,Burnley,True,2,1,H,3,1.5951471150171952
2023-2024,95,2023-10-28,Newcastle,Wolves,False,2,2,D,1,1.8539325842696628
2023-2024,95,2023-10-28,Wolves,Newcastle,True,2,2,D,1,0.9101123595505618
2023-2024,96,2023-10-29,Everton,West Ham,False,1,0,A,3,1.1337409247229653
2023-2024,96,2023-10-29,West Ham,Everton,True,0,1,A,0,1.5951471150171952
2023-2024,97,2023-10-29,Luton,Aston Villa,False,1,3,H,0,0.4434250764525994
2023-2024,97,2023-10-29,Aston Villa,Luton,True,3,1,H,3,2.41131498470948
2023-2024,98,2023-10-29,Fulham,Brighton,False,1,1,D,1,0.7356758882915957
2023-2024,98,2023-10-29,Brighton,Fulham,True,1,1,D,1,2.040776189851842
2023-2024,99,2023-10-29,Nott'm Forest,Liverpool,False,0,3,H,0,0.42945526323542416
2023-2024,99,2023-10-29,Liverpool,Nott'm Forest,True,3,0,H,3,2.4033232183366233
2023-2024,100,2023-10-29,Man City,Man United,False,3,0,A,3,1.9393993352326686
2023-2024,100,2023-10-29,Man United,Man City,True,0,3,A,0,0.8127967711301045
2023-2024,101,2023-11-04,Man United,Fulham,False,1,0,A,3,1.5709969788519638
2023-2024,101,2023-11-04,Fulham,Man United,True,0,1,A,0,1.163141993957704
2023-2024,102,2023-11-04,West Ham,Brentford,False,2,3,H,0,1.0795433621800772
2023-2024,102,2023-11-04,Brentford,West Ham,True,3,2,H,3,1.6562327379856376
2023-2024,103,2023-11-04,Crystal Palace,Burnley,False,2,0,A,3,1.3841059602649008
2023-2024,103,2023-11-04,Burnley,Crystal Palace,True,0,2,A,0,1.3245033112582782
2023-2024,104,2023-11-04,Brighton,Everton,False,1,1,D,1,1.555984555984556
2023-2024,104,2023-11-04,Everton,Brighton,True,1,1,D,1,1.1806949806949807
2023-2024,105,2023-11-04,Bournemouth,Man City,False,1,6,H,0,0.2363636363636364
2023-2024,105,2023-11-04,Man City,Bournemouth,True,6,1,H,3,2.6772727272727272
2023-2024,106,2023-11-04,Wolves,Sheffield United,False,1,2,H,0,1.7025089605734767
2023-2024,106,2023-11-04,Sheffield United,Wolves,True,2,1,H,3,1.025089605734767
2023-2024,107,2023-11-04,Arsenal,Newcastle,False,0,1,H,0,1.3908794788273613
2023-2024,107,2023-11-04,Newcastle,Arsenal,True,1,0,H,3,1.3127035830618892
2023-2024,108,2023-11-05,Aston Villa,Nott'm Forest,False,0,2,H,0,1.8064516129032258
2023-2024,108,2023-11-05,Nott'm Forest,Aston Villa,True,2,0,H,3,0.9384388081753263
2023-2024,109,2023-11-05,Liverpool,Luton,False,1,1,D,1,2.472307845281893
2023-2024,109,2023-11-05,Luton,Liverpool,True,1,1,D,1,0.382121905140698
2023-2024,110,2023-11-06,Chelsea,Tottenham,False,4,1,A,3,1.067873303167421
2023-2024,110,2023-11-06,Tottenham,Chelsea,True,1,4,A,0,1.6787330316742084
2023-2024,111,2023-11-11,Tottenham,Wolves,False,1,2,H,0,1.561902978085784
2023-2024,111,2023-11-11,Wolves,Tottenham,True,2,1,H,3,1.1826184678778797
2023-2024,112,2023-11-11,Burnley,Arsenal,False,1,3,H,0,0.3043714363290795
2023-2024,112,2023-11-11,Arsenal,Burnley,True,3,1,H,3,2.5594623947868587
2023-2024,113,2023-11-11,Everton,Crystal Palace,False,3,2,A,3,1.2452601855586931
2023-2024,113,2023-11-11,Crystal Palace,Everton,True,2,3,A,0,1.4582492940701897
2023-2024,114,2023-11-11,Luton,Man United,False,0,1,H,0,0.4832535885167465
2023-2024,114,2023-11-11,Man United,Luton,True,1,0,H,3,2.334928229665072
2023-2024,115,2023-11-11,Newcastle,Bournemouth,False,0,2,H,0,1.9104357378249726
2023-2024,115,2023-11-11,Bournemouth,Newcastle,True,2,0,H,3,0.8488465763456607
2023-2024,116,2023-11-12,Fulham,Aston Villa,False,1,3,H,0,0.7413968535573587
2023-2024,116,2023-11-12,Aston Villa,Fulham,True,3,1,H,3,2.033316809726317
2023-2024,117,2023-11-12,Sheffield United,Brighton,False,1,1,D,1,0.3851050286441757
2023-2024,117,2023-11-12,Brighton,Sheffield United,True,1,1,D,1,2.449395289624443
2023-2024,118,2023-11-12,Brentford,Liverpool,False,0,3,H,0,0.6193415637860081
2023-2024,118,2023-11-12,Liverpool,Brentford,True,3,0,H,3,2.193415637860082
2023-2024,119,2023-11-12,Nott'm Forest,West Ham,False,2,3,H,0,0.9620520028109627
2023-2024,119,2023-11-12,West Ham,Nott'm Forest,True,3,2,H,3,1.7779339423752634
2023-2024,120,2023-11-12,Man City,Chelsea,False,4,4,D,1,1.9120145450210126
2023-2024,120,2023-11-12,Chelsea,Man City,True,4,4,D,1,0.8301689964531609
2023-2024,121,2023-11-25,Liverpool,Man City,False,1,1,D,1,0.9033942558746736
2023-2024,121,2023-11-25,Man City,Liverpool,True,1,1,D,1,1.8707571801566583
2023-2024,122,2023-11-25,West Ham,Burnley,False,2,1,A,3,1.6383182952582072
2023-2024,122,2023-11-25,Burnley,West Ham,True,1,2,A,0,1.0940679593012095
2023-2024,123,2023-11-25,Crystal Palace,Luton,False,1,2,H,0,1.638225255972696
2023-2024,123,2023-11-25,Luton,Crystal Palace,True,2,1,H,3,1.075085324232082
2023-2024,124,2023-11-25,Chelsea,Newcastle,False,1,4,H,0,1.3480764197853965
2023-2024,124,2023-11-25,Newcastle,Chelsea,True,4,1,H,3,1.3818976103718321
2023-2024,125,2023-11-25,Brighton,Nott'm Forest,False,3,2,A,3,1.58530986993114
2023-2024,125,2023-11-25,Nott'm Forest,Brighton,True,2,3,A,0,1.1514919663351186
2023-2024,126,2023-11-25,Bournemouth,Sheffield United,False,3,1,A,3,1.566692367000771
2023-2024,126,2023-11-25,Sheffield United,Bournemouth,True,1,3,A,0,1.1619121048573633
2023-2024,127,2023-11-25,Arsenal,Brentford,False,1,0,A,3,1.8682634730538918
2023-2024,127,2023-11-25,Brentford,Arsenal,True,0,1,A,0,0.8802395209580838
2023-2024,128,2023-11-26,Aston Villa,Tottenham,False,2,1,A,3,1.2649109217660726
2023-2024,128,2023-11-26,Tottenham,Aston Villa,True,1,2,A,0,1.4856700232378002
2023-2024,129,2023-11-26,Man United,Everton,False,3,0,A,3,1.3917525773195876
2023-2024,129,2023-11-26,Everton,Man United,True,0,3,A,0,1.3298969072164946
2023-2024,130,2023-11-27,Wolves,Fulham,False,2,3,H,0,1.2333092311400338
2023-2024,130,2023-11-27,Fulham,Wolves,True,3,2,H,3,1.4798746685948423
2023-2024,131,2023-12-02,Wolves,Arsenal,False,1,2,H,0,0.4054054054054054
2023-2024,131,2023-12-02,Arsenal,Wolves,True,2,1,H,3,2.4238975817923185
2023-2024,132,2023-12-02,Luton,Brentford,False,1,3,H,0,0.6415929203539823
2023-2024,132,2023-12-02,Brentford,Luton,True,3,1,H,3,2.1498893805309733
2023-2024,133,2023-12-02,Sheffield United,Burnley,False,0,5,H,0,0.894736842105263
2023-2024,133,2023-12-02,Burnley,Sheffield United,True,5,0,H,3,1.8421052631578947
2023-2024,134,2023-12-02,Everton,Nott'm Forest,False,1,0,A,3,1.3841059602649008
2023-2024,134,2023-12-02,Nott'm Forest,Everton,True,0,1,A,0,1.3245033112582782
2023-2024,135,2023-12-02,Man United,Newcastle,False,0,1,H,0,1.0026159292652725
2023-2024,135,2023-12-02,Newcastle,Man United,True,1,0,H,3,1.744231875970074
2023-2024,136,2023-12-03,Aston Villa,Bournemouth,False,2,2,D,1,1.6921155904388152
2023-2024,136,2023-12-03,Bournemouth,Aston Villa,True,2,2,D,1,1.0713521227256508
2023-2024,137,2023-12-03,Brighton,Chelsea,False,2,3,H,0,0.9033942558746736
2023-2024,137,2023-12-03,Chelsea,Brighton,True,3,2,H,3,1.8707571801566583
2023-2024,138,2023-12-03,Fulham,Liverpool,False,3,4,H,0,0.4574638844301766
2023-2024,138,2023-12-03,Liverpool,Fulham,True,4,3,H,3,2.3980738362760836
2023-2024,139,2023-12-03,Crystal Palace,West Ham,False,1,1,D,1,1.025089605734767
2023-2024,139,2023-12-03,West Ham,Crystal Palace,True,1,1,D,1,1.7025089605734767
2023-2024,140,2023-12-03,Tottenham,Man City,False,3,3,D,1,0.4748466257668712
2023-2024,140,2023-12-03,Man City,Tottenham,True,3,3,D,1,2.3668711656441714
2023-2024,141,2023-12-05,Burnley,Wolves,False,0,1,H,0,0.9390862944162437
2023-2024,141,2023-12-05,Wolves,Burnley,True,1,0,H,3,1.7979695431472078
2023-2024,142,2023-12-05,Arsenal,Luton,False,4,3,A,3,2.5594623947868587
2023-2024,142,2023-12-05,Luton,Arsenal,True,3,4,A,0,0.3043714363290795
2023-2024,143,2023-12-06,Brentford,Brighton,False,1,2,H,0,1.0092778291275004
2023-2024,143,2023-12-06,Brighton,Brentford,True,2,1,H,3,1.74090092603896
2023-2024,144,2023-12-06,Bournemouth,Crystal Palace,False,2,0,A,3,1.1906614785992216
2023-2024,144,2023-12-06,Crystal Palace,Bournemouth,True,0,2,A,0,1.5379377431906613
2023-2024,145,2023-12-06,Nott'm Forest,Fulham,False,0,5,H,0,1.0314232902033271
2023-2024,145,2023-12-06,Fulham,Nott'm Forest,True,5,0,H,3,1.6913123844731976
2023-2024,146,2023-12-06,Liverpool,Sheffield United,False,2,0,A,3,2.507936507936508
2023-2024,146,2023-12-06,Sheffield United,Liverpool,True,0,2,A,0,0.36507936507936506
2023-2024,147,2023-12-06,Man City,Aston Villa,False,0,1,H,0,1.9316081330868764
2023-2024,147,2023-12-06,Aston Villa,Man City,True,1,0,H,3,0.8387601308118868
2023-2024,148,2023-12-06,Chelsea,Man United,False,1,2,H,0,1.4469775200571928
2023-2024,148,2023-12-06,Man United,Chelsea,True,2,1,H,3,1.272777821908015
2023-2024,149,2023-12-07,Newcastle,Everton,False,0,3,H,0,1.5483870967741933
2023-2024,149,2023-12-07,Everton,Newcastle,True,3,0,H,3,1.1612903225806452
2023-2024,150,2023-12-07,West Ham,Tottenham,False,2,1,A,3,0.909090909090909
2023-2024,150,2023-12-07,Tottenham,West Ham,True,1,2,A,0,1.8636363636363635
2023-2024,151,2023-12-09,Liverpool,Crystal Palace,False,2,1,A,3,2.105263157894737
2023-2024,151,2023-12-09,Crystal Palace,Liverpool,True,1,2,A,0,0.6842105263157895
2023-2024,152,2023-12-09,Burnley,Brighton,False,1,1,D,1,0.680672268907563
2023-2024,152,2023-12-09,Brighton,Burnley,True,1,1,D,1,2.11764705882353
2023-2024,153,2023-12-09,Bournemouth,Man United,False,3,0,A,3,0.7168293375121848
2023-2024,153,2023-12-09,Man United,Bournemouth,True,0,3,A,0,2.0632256950014187
2023-2024,154,2023-12-09,Brentford,Sheffield United,False,0,1,H,0,1.8434579439252334
2023-2024,154,2023-12-09,Sheffield United,Brentford,True,1,0,H,3,0.9112149532710281
