Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2023-2024,1,2023-08-11,Man City,Burnley,False,3,0,A,3,2.3023161972399317
2023-2024,1,2023-08-11,Burnley,Man City,True,0,3,A,0,0.5259462513114357
2023-2024,2,2023-08-12,Nott'm Forest,Arsenal,False,1,2,H,0,0.3243738546120952
2023-2024,2,2023-08-12,Arsenal,Nott'm Forest,True,2,1,H,3,2.540470372632865
2023-2024,3,2023-08-12,West Ham,Bournemouth,False,1,1,D,1,1.3917525773195876
2023-2024,3,2023-08-12,Bournemouth,West Ham,True,1,1,D,1,1.3298969072164946
2023-2024,4,2023-08-12,Luton,Brighton,False,1,4,H,0,0.4930580795231518
2023-2024,4,2023-08-12,Brighton,Luton,True,4,1,H,3,2.332921421821618
2023-2024,5,2023-08-12,Fulham,Everton,False,1,0,A,3,1.1440677966101696
2023-2024,5,2023-08-12,Everton,Fulham,True,0,1,A,0,1.5762711864406778
2023-2024,6,2023-08-12,Crystal Palace,Sheffield United,False,1,0,A,3,1.4798746685948423
2023-2024,6,2023-08-12,Sheffield United,Crystal Palace,True,0,1,A,0,1.2333092311400338
2023-2024,7,2023-08-12,Aston Villa,Newcastle,False,1,5,H,0,0.8705374656728129
2023-2024,7,2023-08-12,Newcastle,Aston Villa,True,5,1,H,3,1.8768144370341309
2023-2024,8,2023-08-13,Tottenham,Brentford,False,2,2,D,1,1.4246954028872734
2023-2024,8,2023-08-13,Brentford,Tottenham,True,2,2,D,1,1.2993754479369304
2023-2024,9,2023-08-13,Liverpool,Chelsea,False,1,1,D,1,1.4678522571819423
2023-2024,9,2023-08-13,Chelsea,Liverpool,True,1,1,D,1,1.2544459644322845
2023-2024,10,2023-08-14,Wolves,Man United,False,0,1,H,0,0.4930580795231518
2023-2024,10,2023-08-14,Man United,Wolves,True,1,0,H,3,2.332921421821618
2023-2024,11,2023-08-18,Sheffield United,Nott'm Forest,False,1,2,H,0,0.9878701391366393
2023-2024,11,2023-08-18,Nott'm Forest,Sheffield United,True,2,1,H,3,1.7338565822333216
2023-2024,12,2023-08-19,Brentford,Fulham,False,3,0,A,3,1.3702308626974482
2023-2024,12,2023-08-19,Fulham,Brentford,True,0,3,A,0,1.3421628189550423
2023-2024,13,2023-08-19,Bournemouth,Liverpool,False,1,3,H,0,0.35478260869565215
2023-2024,13,2023-08-19,Liverpool,Bournemouth,True,3,1,H,3,2.5095652173913043
2023-2024,14,2023-08-19,Brighton,Wolves,False,4,1,A,3,1.788727640904489
2023-2024,14,2023-08-19,Wolves,Brighton,True,1,4,A,0,0.9615254809314885
2023-2024,15,2023-08-19,Man United,Tottenham,False,0,2,H,0,1.4579646017699117
2023-2024,15,2023-08-19,Tottenham,Man United,True,2,0,H,3,1.2787610619469025
2023-2024,16,2023-08-19,Newcastle,Man City,False,0,1,H,0,0.810448187268056
