Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2022-2023,1,2022-08-05,Arsenal,Crystal Palace,False,2,0,A,3,1.7979695431472082
2022-2023,1,2022-08-05,Crystal Palace,Arsenal,True,0,2,A,0,0.9390862944162438
2022-2023,2,2022-08-06,Liverpool,Fulham,False,2,2,D,1,2.4269340974212033
2022-2023,2,2022-08-06,Fulham,Liverpool,True,2,2,D,1,0.41547277936962745
2022-2023,3,2022-08-06,Aston Villa,Bournemouth,False,0,2,H,0,1.69683257918552
2022-2023,3,2022-08-06,Bournemouth,Aston Villa,True,2,0,H,3,1.0316742081447963
2022-2023,4,2022-08-06,Wolves,Leeds,False,1,2,H,0,1.17178390983288
2022-2023,4,2022-08-06,Leeds,Wolves,True,2,1,H,3,1.5483870967741933
2022-2023,5,2022-08-06,Nott'm Forest,Newcastle,False,0,2,H,0,0.790295370714551
2022-2023,5,2022-08-06,Newcastle,Nott'm Forest,True,2,0,H,3,1.960512395276356
2022-2023,6,2022-08-06,Southampton,Tottenham,False,1,4,H,0,0.508643108459538
2022-2023,6,2022-08-06,Tottenham,Southampton,True,4,1,H,3,2.318418234664219
2022-2023,7,2022-08-06,Chelsea,Everton,False,1,0,A,3,2.0071055101220003
2022-2023,7,2022-08-06,Everton,Chelsea,True,0,1,A,0,0.7554631988202173
2022-2023,8,2022-08-07,Brentford,Leicester,False,2,2,D,1,1.067873303167421
2022-2023,8,2022-08-07,Leicester,Brentford,True,2,2,D,1,1.6787330316742084
2022-2023,9,2022-08-07,Brighton,Man United,False,2,1,A,3,0.7683615819209038
2022-2023,9,2022-08-07,Man United,Brighton,True,1,2,A,0,2.005649717514124
2022-2023,10,2022-08-07,Man City,West Ham,False,2,0,A,3,2.2690707350901524
2022-2023,10,2022-08-07,West Ham,Man City,True,0,2,A,0,0.5423023578363384
2022-2023,11,2022-08-13,Everton,Aston Villa,False,1,2,H,0,0.8721207307386816
2022-2023,11,2022-08-13,Aston Villa,Everton,True,2,1,H,3,1.856235107227959
2022-2023,12,2022-08-13,Leicester,Arsenal,False,2,4,H,0,0.7111178351136783
2022-2023,12,2022-08-13,Arsenal,Leicester,True,4,2,H,3,2.07068965944856
2022-2023,13,2022-08-13,Newcastle,Brighton,False,0,0,D,1,1.2452601855586931
2022-2023,13,2022-08-13,Brighton,Newcastle,True,0,0,D,1,1.4582492940701897
2022-2023,14,2022-08-13,Bournemouth,Man City,False,0,4,H,0,0.17100018978933385
2022-2023,14,2022-08-13,Man City,Bournemouth,True,4,0,H,3,2.7560732586828616
2022-2023,15,2022-08-13,Leeds,Southampton,False,2,2,D,1,1.1906614785992216
2022-2023,15,2022-08-13,Southampton,Leeds,True,2,2,D,1,1.5379377431906613
2022-2023,16,2022-08-13,Fulham,Wolves,False,0,0,D,1,1.1811054488435906
2022-2023,16,2022-08-13,Wolves,Fulham,True,0,0,D,1,1.5303802430419444
2022-2023,17,2022-08-13,Man United,Brentford,False,0,4,H,0,1.69683257918552
2022-2023,17,2022-08-13,Brentford,Man United,True,4,0,H,3,1.0316742081447963
2022-2023,18,2022-08-14,West Ham,Nott'm Forest,False,0,1,H,0,1.7979695431472082
2022-2023,18,2022-08-14,Nott'm Forest,West Ham,True,1,0,H,3,0.9390862944162438
2022-2023,19,2022-08-14,Tottenham,Chelsea,False,2,2,D,1,1.17178390983288
2022-2023,19,2022-08-14,Chelsea,Tottenham,True,2,2,D,1,1.5483870967741933
2022-2023,20,2022-08-15,Crystal Palace,Liverpool,False,1,1,D,1,0.31721606288701837
2022-2023,20,2022-08-15,Liverpool,Crystal Palace,True,1,1,D,1,2.542771330045608
2022-2023,21,2022-08-20,Wolves,Tottenham,False,0,1,H,0,0.5769777356702983
2022-2023,21,2022-08-20,Tottenham,Wolves,True,1,0,H,3,2.224064424443392
2022-2023,22,2022-08-20,Aston Villa,Crystal Palace,False,1,3,H,0,1.275201612903226
2022-2023,22,2022-08-20,Crystal Palace,Aston Villa,True,3,1,H,3,1.432459677419355
2022-2023,23,2022-08-20,Nott'm Forest,Everton,False,1,1,D,1,0.9750346740638003
