Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2021-2022,1,2021-08-13,Arsenal,Brentford,False,0,2,H,0,1.7338565822333212
2021-2022,1,2021-08-13,Brentford,Arsenal,True,2,0,H,3,0.9878701391366391
2021-2022,2,2021-08-14,Leeds,Man United,False,1,5,H,0,0.7087168381158637
2021-2022,2,2021-08-14,Man United,Leeds,True,5,1,H,3,2.07958852192745
2021-2022,3,2021-08-14,Brighton,Burnley,False,2,1,A,3,1.46875
2021-2022,3,2021-08-14,Burnley,Brighton,True,1,2,A,0,1.225
2021-2022,4,2021-08-14,Crystal Palace,Chelsea,False,0,3,H,0,0.3851050286441757
2021-2022,4,2021-08-14,Chelsea,Crystal Palace,True,3,0,H,3,2.449395289624443
2021-2022,5,2021-08-14,Southampton,Everton,False,1,3,H,0,0.9752212389380531
2021-2022,5,2021-08-14,Everton,Southampton,True,3,1,H,3,1.7557522123893805
2021-2022,6,2021-08-14,Wolves,Leicester,False,0,1,H,0,0.790295370714551
2021-2022,6,2021-08-14,Leicester,Wolves,True,1,0,H,3,1.960512395276356
2021-2022,7,2021-08-14,Aston Villa,Watford,False,2,3,H,0,1.4931793489195606
2021-2022,7,2021-08-14,Watford,Aston Villa,True,3,2,H,3,1.2111786246026317
2021-2022,8,2021-08-14,Liverpool,Norwich,False,3,0,A,3,2.3538949594642227
2021-2022,8,2021-08-14,Norwich,Liverpool,True,0,3,A,0,0.48114205146281286
2021-2022,9,2021-08-15,West Ham,Newcastle,False,4,2,A,3,1.566692367000771
2021-2022,9,2021-08-15,Newcastle,West Ham,True,2,4,A,0,1.1619121048573633
2021-2022,10,2021-08-15,Man City,Tottenham,False,0,1,H,0,2.0222682547902644
2021-2022,10,2021-08-15,Tottenham,Man City,True,1,0,H,3,0.7498705334023823
2021-2022,11,2021-08-21,Burnley,Liverpool,False,0,2,H,0,0.34423535212425005
2021-2022,11,2021-08-21,Liverpool,Burnley,True,2,0,H,3,2.5297066316048977
2021-2022,12,2021-08-21,Newcastle,Aston Villa,False,0,2,H,0,0.9110667121485307
2021-2022,12,2021-08-21,Aston Villa,Newcastle,True,2,0,H,3,1.8357292529603821
2021-2022,13,2021-08-21,Brentford,Crystal Palace,False,0,0,D,1,1.2893461733400913
2021-2022,13,2021-08-21,Crystal Palace,Brentford,True,0,0,D,1,1.413907754688292
2021-2022,14,2021-08-21,Everton,Leeds,False,2,2,D,1,1.2332071901608326
2021-2022,14,2021-08-21,Leeds,Everton,True,2,2,D,1,1.4865184484389782
2021-2022,15,2021-08-21,Norwich,Man City,False,0,5,H,0,0.19548410847956807
2021-2022,15,2021-08-21,Man City,Norwich,True,5,0,H,3,2.7183703521904525
2021-2022,16,2021-08-21,Watford,Brighton,False,0,2,H,0,0.7705718270571827
2021-2022,16,2021-08-21,Brighton,Watford,True,2,0,H,3,1.9567642956764297
2021-2022,17,2021-08-22,Man United,Southampton,False,1,1,D,1,2.033316809726317
2021-2022,17,2021-08-22,Southampton,Man United,True,1,1,D,1,0.7413968535573587
2021-2022,18,2021-08-22,Tottenham,Wolves,False,1,0,A,3,1.5126582278481016
2021-2022,18,2021-08-22,Wolves,Tottenham,True,0,1,A,0,1.189873417721519
2021-2022,19,2021-08-22,Chelsea,Arsenal,False,2,0,A,3,1.8995606259153626
2021-2022,19,2021-08-22,Arsenal,Chelsea,True,0,2,A,0,0.8485315655592383
2021-2022,20,2021-08-23,Leicester,West Ham,False,1,4,H,0,1.311881188118812
2021-2022,20,2021-08-23,West Ham,Leicester,True,4,1,H,3,1.415841584158416
2021-2022,21,2021-08-28,Arsenal,Man City,False,0,5,H,0,0.3968253968253968
2021-2022,21,2021-08-28,Man City,Arsenal,True,5,0,H,3,2.444444444444444
2021-2022,22,2021-08-28,Brentford,Aston Villa,False,1,1,D,1,1.0128068303094984
2021-2022,22,2021-08-28,Aston Villa,Brentford,True,1,1,D,1,1.72358591248666
2021-2022,23,2021-08-28,Everton,Brighton,False,2,0,A,3,1.1630733045864365
2021-2022,23,2021-08-28,Brighton,Everton,True,0,2,A,0,1.5393963151705212
2021-2022,24,2021-08-28,Southampton,Newcastle,False,2,2,D,1,1.298960831334932
2021-2022,24,2021-08-28,Newcastle,Southampton,True,2,2,D,1,1.4212629896083133
2021-2022,25,2021-08-28,Leicester,Norwich,False,2,1,A,3,1.8191489361702131
2021-2022,25,2021-08-28,Norwich,Leicester,True,1,2,A,0,0.9083469721767596
2021-2022,26,2021-08-28,Crystal Palace,West Ham,False,2,2,D,1,0.6782968657599054
2021-2022,26,2021-08-28,West Ham,Crystal Palace,True,2,2,D,1,2.0833826138379656
2021-2022,27,2021-08-28,Chelsea,Liverpool,False,1,1,D,1,1.2665589660743135
2021-2022,27,2021-08-28,Liverpool,Chelsea,True,1,1,D,1,1.446486268174475
2021-2022,28,2021-08-29,Leeds,Burnley,False,1,1,D,1,1.5379377431906613
2021-2022,28,2021-08-29,Burnley,Leeds,True,1,1,D,1,1.1906614785992216
2021-2022,29,2021-08-29,Watford,Tottenham,False,0,1,H,0,0.5145646867371847
2021-2022,29,2021-08-29,Tottenham,Watford,True,1,0,H,3,2.2862489829129373
2021-2022,30,2021-08-29,Man United,Wolves,False,1,0,A,3,1.8918918918918917
2021-2022,30,2021-08-29,Wolves,Man United,True,0,1,A,0,0.8378378378378377
2021-2022,31,2021-09-11,Tottenham,Crystal Palace,False,0,3,H,0,1.7756563245823394
2021-2022,31,2021-09-11,Crystal Palace,Tottenham,True,3,0,H,3,0.9522673031026254
2021-2022,32,2021-09-11,Norwich,Arsenal,False,0,1,H,0,0.6827586206896552
2021-2022,32,2021-09-11,Arsenal,Norwich,True,1,0,H,3,2.1103448275862067
2021-2022,33,2021-09-11,Brighton,Brentford,False,1,0,A,3,1.3863857374392219
2021-2022,33,2021-09-11,Brentford,Brighton,True,0,1,A,0,1.3163695299837925
2021-2022,34,2021-09-11,Man City,Leicester,False,1,0,A,3,2.0508816120906803
2021-2022,34,2021-09-11,Leicester,Man City,True,0,1,A,0,0.7118387909319899
2021-2022,35,2021-09-11,Newcastle,Man United,False,1,4,H,0,0.31823085221143466
2021-2022,35,2021-09-11,Man United,Newcastle,True,4,1,H,3,2.554476806903991
2021-2022,36,2021-09-11,West Ham,Southampton,False,0,0,D,1,1.4664837318698551
2021-2022,36,2021-09-11,Southampton,West Ham,True,0,0,D,1,1.2606820854566836
2021-2022,37,2021-09-11,Wolves,Watford,False,2,0,A,3,1.5658764088612511
2021-2022,37,2021-09-11,Watford,Wolves,True,0,2,A,0,1.136805285658764
2021-2022,38,2021-09-11,Aston Villa,Chelsea,False,0,3,H,0,0.431266846361186
2021-2022,38,2021-09-11,Chelsea,Aston Villa,True,3,0,H,3,2.3962264150943398
2021-2022,39,2021-09-12,Liverpool,Leeds,False,3,0,A,3,1.8665255897797632
2021-2022,39,2021-09-12,Leeds,Liverpool,True,0,3,A,0,0.8959166078846303
2021-2022,40,2021-09-13,Burnley,Everton,False,1,3,H,0,0.8215613382899627
2021-2022,40,2021-09-13,Everton,Burnley,True,3,1,H,3,1.9256505576208178
2021-2022,41,2021-09-17,Leeds,Newcastle,False,1,1,D,1,1.5127020785219398
2021-2022,41,2021-09-17,Newcastle,Leeds,True,1,1,D,1,1.2217090069284062
2021-2022,42,2021-09-18,Brentford,Wolves,False,2,0,A,3,0.8610734508333999
