Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2020-2021,31,2020-10-03,Leeds,Man City,True,1,1,D,1,0.5575244644274003
2020-2021,32,2020-10-03,Burnley,Newcastle,False,1,3,H,0,1.2172523961661341
2020-2021,32,2020-10-03,Newcastle,Burnley,True,3,1,H,3,1.4856230031948883
2020-2021,33,2020-10-04,West Ham,Leicester,False,3,0,A,3,0.7712031558185405
2020-2021,33,2020-10-04,Leicester,West Ham,True,0,3,A,0,2.0019723865877714
2020-2021,34,2020-10-04,West Brom,Southampton,False,0,2,H,0,0.848027842227378
2020-2021,34,2020-10-04,Southampton,West Brom,True,2,0,H,3,1.902552204176334
2020-2021,35,2020-10-04,Sheffield United,Arsenal,False,1,2,H,0,0.7118387909319899
2020-2021,35,2020-10-04,Arsenal,Sheffield United,True,2,1,H,3,2.0508816120906803
2020-2021,36,2020-10-04,Fulham,Wolves,False,0,1,H,0,0.6190476190476191
2020-2021,36,2020-10-04,Wolves,Fulham,True,1,0,H,3,2.142857142857143
2020-2021,37,2020-10-04,Tottenham,Man United,False,6,1,A,3,0.9615254809314884
2020-2021,37,2020-10-04,Man United,Tottenham,True,1,6,A,0,1.7887276409044885
2020-2021,38,2020-10-04,Liverpool,Aston Villa,False,2,7,H,0,2.3685961410512313
2020-2021,38,2020-10-04,Aston Villa,Liverpool,True,7,2,H,3,0.45841650033266806
2020-2021,39,2020-10-17,Liverpool,Everton,False,2,2,D,1,1.7859795039358382
2020-2021,39,2020-10-17,Everton,Liverpool,True,2,2,D,1,0.9875241348581614
2020-2021,40,2020-10-17,Southampton,Chelsea,False,3,3,D,1,0.637615894039735
2020-2021,40,2020-10-17,Chelsea,Southampton,True,3,3,D,1,2.1626490066225164
2020-2021,41,2020-10-17,Arsenal,Man City,False,0,1,H,0,0.6310640032613128
2020-2021,41,2020-10-17,Man City,Arsenal,True,1,0,H,3,2.1781492050550346
2020-2021,42,2020-10-17,Man United,Newcastle,False,4,1,A,3,1.935421327367636
2020-2021,42,2020-10-17,Newcastle,Man United,True,1,4,A,0,0.82938105891126
2020-2021,43,2020-10-18,Fulham,Sheffield United,False,1,1,D,1,1.0613154960981048
2020-2021,43,2020-10-18,Sheffield United,Fulham,True,1,1,D,1,1.649944258639911
2020-2021,44,2020-10-18,Brighton,Crystal Palace,False,1,1,D,1,1.3403166869671133
2020-2021,44,2020-10-18,Crystal Palace,Brighton,True,1,1,D,1,1.3724725943970766
2020-2021,45,2020-10-18,West Ham,Tottenham,False,3,3,D,1,0.7396358040261821
2020-2021,45,2020-10-18,Tottenham,West Ham,True,3,3,D,1,2.040353545776738
2020-2021,46,2020-10-18,Aston Villa,Leicester,False,1,0,A,3,0.944335319772281
2020-2021,46,2020-10-18,Leicester,Aston Villa,True,0,1,A,0,1.8058727569331159
2020-2021,47,2020-10-19,Burnley,West Brom,False,0,0,D,1,1.2665589660743135
2020-2021,47,2020-10-19,West Brom,Burnley,True,0,0,D,1,1.446486268174475
2020-2021,48,2020-10-19,Wolves,Leeds,False,1,0,A,3,1.2823345115681233
2020-2021,48,2020-10-19,Leeds,Wolves,True,0,1,A,0,1.4294665809768636
2020-2021,49,2020-10-23,Leeds,Aston Villa,False,3,0,A,3,1.1118255521386635
2020-2021,49,2020-10-23,Aston Villa,Leeds,True,0,3,A,0,1.6360078277886498
2020-2021,50,2020-10-24,Man City,West Ham,False,1,1,D,1,2.2805731422859052
2020-2021,50,2020-10-24,West Ham,Man City,True,1,1,D,1,0.5381539486837722
2020-2021,51,2020-10-24,Crystal Palace,Fulham,False,2,1,A,3,1.3569078947368418
2020-2021,51,2020-10-24,Fulham,Crystal Palace,True,1,2,A,0,1.3377878289473681
2020-2021,52,2020-10-24,Chelsea,Man United,False,0,0,D,1,1.2766159695817492
2020-2021,52,2020-10-24,Man United,Chelsea,True,0,0,D,1,1.460551330798479
2020-2021,53,2020-10-24,Sheffield United,Liverpool,False,1,2,H,0,0.382121905140698
2020-2021,53,2020-10-24,Liverpool,Sheffield United,True,2,1,H,3,2.472307845281893
2020-2021,54,2020-10-25,Everton,Southampton,False,0,2,H,0,1.4006791171477084
2020-2021,54,2020-10-25,Southampton,Everton,True,2,0,H,3,1.3191850594227505
2020-2021,55,2020-10-25,Newcastle,Wolves,False,1,1,D,1,0.8181818181818183
2020-2021,55,2020-10-25,Wolves,Newcastle,True,1,1,D,1,1.9090909090909094
2020-2021,56,2020-10-25,Leicester,Arsenal,False,1,0,A,3,1.0
2020-2021,56,2020-10-25,Arsenal,Leicester,True,0,1,A,0,1.7475083056478407
2020-2021,57,2020-10-26,West Brom,Brighton,False,1,1,D,1,0.8405904059040591
2020-2021,57,2020-10-26,Brighton,West Brom,True,1,1,D,1,1.9210332103321037
2020-2021,58,2020-10-26,Tottenham,Burnley,False,1,0,A,3,2.025906735751296
2020-2021,58,2020-10-26,Burnley,Tottenham,True,0,1,A,0,0.7357512953367875
2020-2021,59,2020-10-30,Crystal Palace,Wolves,False,0,2,H,0,0.9634804260616958
2020-2021,59,2020-10-30,Wolves,Crystal Palace,True,2,0,H,3,1.737031401300318
2020-2021,60,2020-10-31,Man City,Sheffield United,False,1,0,A,3,2.3836543466944295
2020-2021,60,2020-10-31,Sheffield United,Man City,True,0,1,A,0,0.45809474232170744
2020-2021,61,2020-10-31,Chelsea,Burnley,False,3,0,A,3,2.105263157894737
2020-2021,61,2020-10-31,Burnley,Chelsea,True,0,3,A,0,0.6842105263157895
2020-2021,62,2020-10-31,West Ham,Liverpool,False,1,2,H,0,0.5575244644274002
2020-2021,62,2020-10-31,Liverpool,West Ham,True,2,1,H,3,2.262628934144406
2020-2021,63,2020-11-01,Southampton,Aston Villa,False,4,3,A,3,1.29126213592233
2020-2021,63,2020-11-01,Aston Villa,Southampton,True,3,4,A,0,1.436893203883495
2020-2021,64,2020-11-01,Everton,Newcastle,False,1,2,H,0,1.6703519439837848
2020-2021,64,2020-11-01,Newcastle,Everton,True,2,1,H,3,1.0501197715128063
2020-2021,65,2020-11-01,Arsenal,Man United,False,1,0,A,3,1.0526315789473684
2020-2021,65,2020-11-01,Man United,Arsenal,True,0,1,A,0,1.6842105263157894
2020-2021,66,2020-11-01,Brighton,Tottenham,False,1,2,H,0,0.7554631988202173
2020-2021,66,2020-11-01,Tottenham,Brighton,True,2,1,H,3,2.0071055101220003
2020-2021,67,2020-11-02,West Brom,Fulham,False,0,2,H,0,1.237410071942446
2020-2021,67,2020-11-02,Fulham,West Brom,True,2,0,H,3,1.4748201438848922
2020-2021,68,2020-11-02,Leicester,Leeds,False,4,1,A,3,1.3429669361940597
2020-2021,68,2020-11-02,Leeds,Leicester,True,1,4,A,0,1.3948442878872789
2020-2021,69,2020-11-06,Burnley,Brighton,False,0,0,D,1,0.9256085423660194
2020-2021,69,2020-11-06,Brighton,Burnley,True,0,0,D,1,1.8041362325196941
2020-2021,70,2020-11-06,Newcastle,Southampton,False,0,2,H,0,1.0386819484240686
2020-2021,70,2020-11-06,Southampton,Newcastle,True,2,0,H,3,1.6962750716332378
2020-2021,71,2020-11-07,Man United,Everton,False,3,1,A,3,1.4741685757168814
2020-2021,71,2020-11-07,Everton,Man United,True,1,3,A,0,1.2543644837664905
2020-2021,72,2020-11-07,Leeds,Crystal Palace,False,1,4,H,0,1.4453114114532535
2020-2021,72,2020-11-07,Crystal Palace,Leeds,True,4,1,H,3,1.2747666155775395
