Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2019-2020,31,2019-08-31,Southampton,Man United,True,1,1,D,1,1.0365381066617456
2019-2020,32,2019-08-31,Sheffield United,Chelsea,False,2,2,D,1,0.5145646867371847
2019-2020,32,2019-08-31,Chelsea,Sheffield United,True,2,2,D,1,2.2862489829129373
2019-2020,33,2019-08-31,Aston Villa,Crystal Palace,False,0,1,H,0,1.1008788689338938
2019-2020,33,2019-08-31,Crystal Palace,Aston Villa,True,1,0,H,3,1.6115781429117308
2019-2020,34,2019-08-31,Bournemouth,Leicester,False,1,3,H,0,0.8405904059040591
2019-2020,34,2019-08-31,Leicester,Bournemouth,True,3,1,H,3,1.9210332103321037
2019-2020,35,2019-08-31,Brighton,Man City,False,0,4,H,0,0.202355460385439
2019-2020,35,2019-08-31,Man City,Brighton,True,4,0,H,3,2.703693790149892
2019-2020,36,2019-08-31,Watford,Newcastle,False,1,1,D,1,1.2810882143944777
2019-2020,36,2019-08-31,Newcastle,Watford,True,1,1,D,1,1.4275708049944171
2019-2020,37,2019-08-31,Norwich,West Ham,False,0,2,H,0,0.9736842105263159
2019-2020,37,2019-08-31,West Ham,Norwich,True,2,0,H,3,1.782894736842105
2019-2020,38,2019-08-31,Liverpool,Burnley,False,3,0,A,3,2.356794425087108
2019-2020,38,2019-08-31,Burnley,Liverpool,True,0,3,A,0,0.47108013937282234
2019-2020,39,2019-09-01,Wolves,Everton,False,2,3,H,0,1.111534795042898
2019-2020,39,2019-09-01,Everton,Wolves,True,3,2,H,3,1.5948522402287892
2019-2020,40,2019-09-01,Tottenham,Arsenal,False,2,2,D,1,1.2766159695817492
2019-2020,40,2019-09-01,Arsenal,Tottenham,True,2,2,D,1,1.460551330798479
2019-2020,41,2019-09-14,Newcastle,Liverpool,False,1,3,H,0,0.2791380999020568
2019-2020,41,2019-09-14,Liverpool,Newcastle,True,3,1,H,3,2.6092066601371204
2019-2020,42,2019-09-14,Burnley,Brighton,False,1,1,D,1,1.1008788689338938
2019-2020,42,2019-09-14,Brighton,Burnley,True,1,1,D,1,1.6115781429117308
2019-2020,43,2019-09-14,Leicester,Man United,False,0,1,H,0,0.9877729257641921
2019-2020,43,2019-09-14,Man United,Leicester,True,1,0,H,3,1.7397379912663755
2019-2020,44,2019-09-14,Southampton,Sheffield United,False,1,0,A,3,1.2452601855586931
2019-2020,44,2019-09-14,Sheffield United,Southampton,True,0,1,A,0,1.4582492940701897
2019-2020,45,2019-09-14,Crystal Palace,Tottenham,False,0,4,H,0,0.5381539486837722
2019-2020,45,2019-09-14,Tottenham,Crystal Palace,True,4,0,H,3,2.2805731422859052
2019-2020,46,2019-09-14,Chelsea,Wolves,False,5,2,A,3,1.4343837255684087
2019-2020,46,2019-09-14,Wolves,Chelsea,True,2,5,A,0,1.2764260071798965
2019-2020,47,2019-09-14,Man City,Norwich,False,2,3,H,0,2.5997782705099777
2019-2020,47,2019-09-14,Norwich,Man City,True,3,2,H,3,0.29490022172949
2019-2020,48,2019-09-15,Everton,Bournemouth,False,1,3,H,0,1.4664837318698551
2019-2020,48,2019-09-15,Bournemouth,Everton,True,3,1,H,3,1.2606820854566836
2019-2020,49,2019-09-15,Arsenal,Watford,False,2,2,D,1,1.6842105263157894
2019-2020,49,2019-09-15,Watford,Arsenal,True,2,2,D,1,1.0526315789473684
2019-2020,50,2019-09-16,West Ham,Aston Villa,False,0,0,D,1,1.3683916753049996
2019-2020,50,2019-09-16,Aston Villa,West Ham,True,0,0,D,1,1.360019137229886
2019-2020,51,2019-09-20,Bournemouth,Southampton,False,3,1,A,3,1.0795433621800772
2019-2020,51,2019-09-20,Southampton,Bournemouth,True,1,3,A,0,1.6562327379856376
2019-2020,52,2019-09-21,Tottenham,Leicester,False,1,2,H,0,1.4691371773811843
2019-2020,52,2019-09-21,Leicester,Tottenham,True,2,1,H,3,1.2603224100008352
2019-2020,53,2019-09-21,Norwich,Burnley,False,0,2,H,0,1.0681003584229392
2019-2020,53,2019-09-21,Burnley,Norwich,True,2,0,H,3,1.6810035842293911
2019-2020,54,2019-09-21,Sheffield United,Everton,False,2,0,A,3,0.7270763793441979
2019-2020,54,2019-09-21,Everton,Sheffield United,True,0,2,A,0,2.0200274887099936
2019-2020,55,2019-09-21,Watford,Man City,False,0,8,H,0,0.22314049586776857
2019-2020,55,2019-09-21,Man City,Watford,True,8,0,H,3,2.6900826446280988
2019-2020,56,2019-09-21,Brighton,Newcastle,False,0,0,D,1,1.2549800796812747
2019-2020,56,2019-09-21,Newcastle,Brighton,True,0,0,D,1,1.446215139442231
2019-2020,57,2019-09-22,Wolves,Crystal Palace,False,1,1,D,1,1.2994082743781175
2019-2020,57,2019-09-22,Crystal Palace,Wolves,True,1,1,D,1,1.3941577282952433
2019-2020,58,2019-09-22,Man United,West Ham,False,0,2,H,0,1.555984555984556
2019-2020,58,2019-09-22,West Ham,Man United,True,2,0,H,3,1.1806949806949807
2019-2020,59,2019-09-22,Aston Villa,Arsenal,False,2,3,H,0,0.5577439570277529
2019-2020,59,2019-09-22,Arsenal,Aston Villa,True,3,2,H,3,2.241718889883617
2019-2020,60,2019-09-22,Liverpool,Chelsea,False,2,1,A,3,1.678733031674208
2019-2020,60,2019-09-22,Chelsea,Liverpool,True,1,2,A,0,1.0678733031674208
2019-2020,61,2019-09-28,Liverpool,Sheffield United,False,1,0,A,3,2.3219666931007135
2019-2020,61,2019-09-28,Sheffield United,Liverpool,True,0,1,A,0,0.4972244250594766
2019-2020,62,2019-09-28,Burnley,Aston Villa,False,2,2,D,1,1.2000784621420166
2019-2020,62,2019-09-28,Aston Villa,Burnley,True,2,2,D,1,1.520204001569243
2019-2020,63,2019-09-28,West Ham,Bournemouth,False,2,2,D,1,1.311881188118812
2019-2020,63,2019-09-28,Bournemouth,West Ham,True,2,2,D,1,1.415841584158416
2019-2020,64,2019-09-28,Brighton,Chelsea,False,0,2,H,0,0.5577439570277529
2019-2020,64,2019-09-28,Chelsea,Brighton,True,2,0,H,3,2.241718889883617
2019-2020,65,2019-09-28,Norwich,Crystal Palace,False,0,2,H,0,1.0066225165562914
2019-2020,65,2019-09-28,Crystal Palace,Norwich,True,2,0,H,3,1.7417218543046356
2019-2020,66,2019-09-28,Southampton,Tottenham,False,1,2,H,0,0.5577439570277529
2019-2020,66,2019-09-28,Tottenham,Southampton,True,2,1,H,3,2.241718889883617
2019-2020,67,2019-09-28,Watford,Wolves,False,0,2,H,0,0.9090757145244863
2019-2020,67,2019-09-28,Wolves,Watford,True,2,0,H,3,1.8126358014374064
2019-2020,68,2019-09-28,Man City,Everton,False,3,1,A,3,2.3685961410512313
2019-2020,68,2019-09-28,Everton,Man City,True,1,3,A,0,0.45841650033266806
2019-2020,69,2019-09-29,Newcastle,Leicester,False,0,5,H,0,0.6190476190476191
2019-2020,69,2019-09-29,Leicester,Newcastle,True,5,0,H,3,2.142857142857143
2019-2020,70,2019-09-30,Arsenal,Man United,False,1,1,D,1,1.2543644837664905
2019-2020,70,2019-09-30,Man United,Arsenal,True,1,1,D,1,1.4741685757168814
2019-2020,71,2019-10-05,Tottenham,Brighton,False,0,3,H,0,1.7507953340402964
2019-2020,71,2019-10-05,Brighton,Tottenham,True,3,0,H,3,0.9872746553552492
2019-2020,72,2019-10-05,Everton,Burnley,False,0,1,H,0,1.4294665809768639
2019-2020,72,2019-10-05,Burnley,Everton,True,1,0,H,3,1.2823345115681235
2019-2020,73,2019-10-05,Leicester,Liverpool,False,1,2,H,0,0.6099262507474587
2019-2020,73,2019-10-05,Liverpool,Leicester,True,2,1,H,3,2.1891568666533785
2019-2020,74,2019-10-05,Aston Villa,Norwich,False,5,1,A,3,1.2766159695817492
2019-2020,74,2019-10-05,Norwich,Aston Villa,True,1,5,A,0,1.460551330798479
2019-2020,75,2019-10-05,Sheffield United,Watford,False,0,0,D,1,1.0639338097028956
2019-2020,75,2019-10-05,Watford,Sheffield United,True,0,0,D,1,1.6585182399398268
2019-2020,76,2019-10-05,Crystal Palace,West Ham,False,2,1,A,3,1.0128068303094984
2019-2020,76,2019-10-05,West Ham,Crystal Palace,True,1,2,A,0,1.72358591248666
2019-2020,77,2019-10-06,Bournemouth,Arsenal,False,0,1,H,0,0.6099262507474587
2019-2020,77,2019-10-06,Arsenal,Bournemouth,True,1,0,H,3,2.1891568666533785
2019-2020,78,2019-10-06,Wolves,Man City,False,2,0,A,3,0.24150943396226415
2019-2020,78,2019-10-06,Man City,Wolves,True,0,2,A,0,2.652830188679245
2019-2020,79,2019-10-06,Chelsea,Southampton,False,4,1,A,3,1.788727640904489
2019-2020,79,2019-10-06,Southampton,Chelsea,True,1,4,A,0,0.9615254809314885
2019-2020,80,2019-10-06,Man United,Newcastle,False,0,1,H,0,1.8191489361702131
2019-2020,80,2019-10-06,Newcastle,Man United,True,1,0,H,3,0.9083469721767596
2019-2020,81,2019-10-19,West Ham,Everton,False,0,2,H,0,1.0196078431372548
2019-2020,81,2019-10-19,Everton,West Ham,True,2,0,H,3,1.7254901960784315
2019-2020,82,2019-10-19,Brighton,Aston Villa,False,1,2,H,0,1.2290015847860538
2019-2020,82,2019-10-19,Aston Villa,Brighton,True,2,1,H,3,1.4916798732171157
2019-2020,83,2019-10-19,Norwich,Bournemouth,False,0,0,D,1,0.900523560209424
2019-2020,83,2019-10-19,Bournemouth,Norwich,True,0,0,D,1,1.8743455497382202
2019-2020,84,2019-10-19,Newcastle,Chelsea,False,0,1,H,0,0.458416500332668
2019-2020,84,2019-10-19,Chelsea,Newcastle,True,1,0,H,3,2.368596141051231
2019-2020,85,2019-10-19,Burnley,Leicester,False,1,2,H,0,0.7118387909319899
2019-2020,85,2019-10-19,Leicester,Burnley,True,2,1,H,3,2.0508816120906803
2019-2020,86,2019-10-19,Watford,Tottenham,False,1,1,D,1,0.5727272727272728
2019-2020,86,2019-10-19,Tottenham,Watford,True,1,1,D,1,2.2363636363636363
2019-2020,87,2019-10-19,Southampton,Wolves,False,1,1,D,1,0.894736842105263
2019-2020,87,2019-10-19,Wolves,Southampton,True,1,1,D,1,1.8421052631578947
2019-2020,88,2019-10-19,Man City,Crystal Palace,False,2,0,A,3,2.4877775704422462
2019-2020,88,2019-10-19,Crystal Palace,Man City,True,0,2,A,0,0.3756297816756857
2019-2020,89,2019-10-20,Liverpool,Man United,False,1,1,D,1,1.9640937432810148
2019-2020,89,2019-10-20,Man United,Liverpool,True,1,1,D,1,0.7875725650397762
2019-2020,90,2019-10-21,Arsenal,Sheffield United,False,0,1,H,0,1.7587448559670782
