Season,MatchID,Date,Team,Opponent,is_home,goals_for,goals_against,result,Pts,xPts
2024-2025,1,2024-08-16,Fulham,Man United,False,0,1,H,0,0.7683615819209038
2024-2025,1,2024-08-16,Man United,Fulham,True,1,0,H,3,2.005649717514124
2024-2025,2,2024-08-17,Liverpool,Ipswich,False,2,0,A,3,2.318418234664219
2024-2025,2,2024-08-17,Ipswich,Liverpool,True,0,2,A,0,0.508643108459538
2024-2025,3,2024-08-17,Wolves,Arsenal,False,0,2,H,0,0.34423535212425005
2024-2025,3,2024-08-17,Arsenal,Wolves,True,2,0,H,3,2.5297066316048977
2024-2025,4,2024-08-17,Brighton,Everton,False,3,0,A,3,1.3575297941495126
2024-2025,4,2024-08-17,Everton,Brighton,True,0,3,A,0,1.3575297941495126
2024-2025,5,2024-08-17,Southampton,Newcastle,False,0,1,H,0,0.5381539486837722
2024-2025,5,2024-08-17,Newcastle,Southampton,True,1,0,H,3,2.2805731422859052
2024-2025,6,2024-08-17,Bournemouth,Nott'm Forest,False,1,1,D,1,1.29126213592233
2024-2025,6,2024-08-17,Nott'm Forest,Bournemouth,True,1,1,D,1,1.436893203883495
2024-2025,7,2024-08-17,Aston Villa,West Ham,False,2,1,A,3,1.3040361386624768
2024-2025,7,2024-08-17,West Ham,Aston Villa,True,1,2,A,0,1.4313070804281645
2024-2025,8,2024-08-18,Crystal Palace,Brentford,False,1,2,H,0,1.258606885508407
2024-2025,8,2024-08-18,Brentford,Crystal Palace,True,2,1,H,3,1.4627702161729386
2024-2025,9,2024-08-18,Man City,Chelsea,False,2,0,A,3,1.821322803553801
2024-2025,9,2024-08-18,Chelsea,Man City,True,0,2,A,0,0.9358341559723594
2024-2025,10,2024-08-19,Tottenham,Leicester,False,1,1,D,1,1.9869657224612804
2024-2025,10,2024-08-19,Leicester,Tottenham,True,1,1,D,1,0.7927136430152918
2024-2025,11,2024-08-24,Man United,Brighton,False,1,2,H,0,1.343128815151041
2024-2025,11,2024-08-24,Brighton,Man United,True,2,1,H,3,1.3995930505556426
2024-2025,12,2024-08-24,West Ham,Crystal Palace,False,2,0,A,3,1.1514919663351186
2024-2025,12,2024-08-24,Crystal Palace,West Ham,True,0,2,A,0,1.58530986993114
2024-2025,13,2024-08-24,Leicester,Fulham,False,1,2,H,0,0.9251497005988023
2024-2025,13,2024-08-24,Fulham,Leicester,True,2,1,H,3,1.8233532934131735
2024-2025,14,2024-08-24,Ipswich,Man City,False,1,4,H,0,0.214017521902378
2024-2025,14,2024-08-24,Man City,Ipswich,True,4,1,H,3,2.707133917396746
2024-2025,15,2024-08-24,Nott'm Forest,Southampton,False,1,0,A,3,1.306110102843315
2024-2025,15,2024-08-24,Southampton,Nott'm Forest,True,0,1,A,0,1.4059286146400485
2024-2025,16,2024-08-24,Everton,Tottenham,False,0,4,H,0,0.6347318109399894
2024-2025,16,2024-08-24,Tottenham,Everton,True,4,0,H,3,2.166436537440255
2024-2025,17,2024-08-24,Arsenal,Aston Villa,False,2,0,A,3,1.8558251715202971
2024-2025,17,2024-08-24,Aston Villa,Arsenal,True,0,2,A,0,0.8972018969085606
2024-2025,18,2024-08-25,Newcastle,Bournemouth,False,1,1,D,1,1.531055900621118
2024-2025,18,2024-08-25,Bournemouth,Newcastle,True,1,1,D,1,1.2212732919254659
2024-2025,19,2024-08-25,Chelsea,Wolves,False,6,2,A,3,1.8665255897797632
2024-2025,19,2024-08-25,Wolves,Chelsea,True,2,6,A,0,0.8959166078846303
2024-2025,20,2024-08-25,Brentford,Liverpool,False,0,2,H,0,0.4244727735218433
