player_name,team,start_date,end_date,type,season,season_start_year
Ainsley Maitland-Niles,Arsenal,2019-07-01,2019-08-02,injury-knee-injury,2019-2020,2019
Alexandre Lacazette,Arsenal,2019-07-01,2019-10-20,injury-ankle-injury,2019-2020,2019
Alexandre Lacazette,Arsenal,2019-07-28,2019-11-08,injury-ankle-sprain,2019-2020,2019
Bernd Leno,Arsenal,2020-06-21,2020-06-30,injury-ligament-stretching,2019-2020,2019
Bukayo Saka,Arsenal,2020-03-02,2020-02-15,injury-knee-injury,2019-2020,2019
Calum Chambers,Arsenal,2019-12-29,2020-06-30,injury-cruciate-ligament-tear,2019-2020,2019
Cédric Soares,Arsenal,2020-06-17,2020-06-26,injury-broken-nose-bone,2019-2020,2019
Cédric Soares,Arsenal,2020-01-21,2020-02-03,injury-knee-injury,2019-2020,2019
Cédric Soares,Arsenal,2019-09-26,2019-08-11,injury-calf-injury,2019-2020,2019
Dani Ceballos,Arsenal,2019-07-11,2019-12-31,injury-torn-muscle-bundle,2019-2020,2019
Dani Ceballos,Arsenal,2019-08-08,2019-10-08,injury-knock,2019-2020,2019
David Luiz,Arsenal,2020-01-12,2020-06-30,injury-head-injury,2019-2020,2019
Emile Smith Rowe,Arsenal,2019-09-23,2019-07-10,injury-head-injury,2019-2020,2019
Emile Smith Rowe,Arsenal,2019-08-08,2019-12-13,injury-groin-injury,2019-2020,2019
Gabriel Martinelli,Arsenal,2020-06-21,2020-06-30,injury-knee-injury,2019-2020,2019
Gabriel Martinelli,Arsenal,2020-02-20,2020-02-25,injury-knock,2019-2020,2019
Gabriel Martinelli,Arsenal,2019-12-23,2020-06-01,injury-hamstring-injury,2019-2020,2019
Granit Xhaka,Arsenal,2020-06-18,2020-06-24,injury-ankle-injury,2019-2020,2019
Granit Xhaka,Arsenal,2019-09-12,2019-12-17,injury-concussion,2019-2020,2019
Granit Xhaka,Arsenal,2019-12-08,2019-08-23,injury-back-injury,2019-2020,2019
Henrikh Mkhitaryan,Arsenal,2019-11-14,2019-11-26,injury-fitness,2019-2020,2019
Henrikh Mkhitaryan,Arsenal,2019-09-30,2019-11-14,injury-adductor-injury,2019-2020,2019
Henrikh Mkhitaryan,Arsenal,2019-07-01,2019-07-02,injury-metatarsal-fracture,2019-2020,2019
Héctor Bellerín,Arsenal,2019-07-01,2020-01-14,injury-hamstring-injury,2019-2020,2019
Héctor Bellerín,Arsenal,2019-07-01,2019-09-16,injury-cruciate-ligament-tear,2019-2020,2019
Héctor Bellerín,Arsenal,2019-07-01,2019-11-01,injury-calf-strain,2019-2020,2019
Joe Willock,Arsenal,2019-07-01,2019-09-14,injury-calf-injury,2019-2020,2019
Kieran Tierney,Arsenal,2019-09-12,2020-03-14,injury-shoulder-injury,2019-2020,2019
Kieran Tierney,Arsenal,2019-07-05,2019-09-06,injury-groin-surgery,2019-2020,2019
Konstantinos Mavropanos,Arsenal,2020-02-24,2020-06-30,injury-pelvic-injury,2019-2020,2019
Konstantinos Mavropanos,Arsenal,2019-08-08,2019-07-10,injury-groin-injury,2019-2020,2019
Lucas Torreira,Arsenal,2020-03-03,2020-03-07,injury-ankle-injury,2019-2020,2019
Lucas Torreira,Arsenal,2020-02-17,2020-02-21,injury-ill,2019-2020,2019
Mattéo Guendouzi,Arsenal,2020-06-25,2020-06-30,injury-fitness,2019-2020,2019
Mattéo Guendouzi,Arsenal,2020-02-16,2020-02-16,injury-ill,2019-2020,2019
Nacho Monreal,Arsenal,2020-03-09,2020-06-30,injury-hamstring-injury,2019-2020,2019
Nacho Monreal,Arsenal,2020-06-01,2020-01-27,injury-muscle-injury,2019-2020,2019
Nacho Monreal,Arsenal,2019-07-01,2019-11-01,injury-hamstring-injury,2019-2020,2019
Nicolas Pépé,Arsenal,2020-02-07,2020-06-07,injury-muscle-fatigue,2019-2020,2019
Nicolas Pépé,Arsenal,2019-10-12,2019-12-14,injury-knee-injury,2019-2020,2019
Pablo Marí,Arsenal,2020-06-15,2020-03-12,injury-ankle-injury,2019-2020,2019
Pierre-Emerick Aubameyang,Arsenal,2020-02-01,2020-01-13,injury-knock,2019-2020,2019
Reiss Nelson,Arsenal,2020-03-12,2020-06-30,injury-head-injury,2019-2020,2019
Reiss Nelson,Arsenal,2019-07-10,2019-11-25,injury-ankle-injury,2019-2020,2019
Reiss Nelson,Arsenal,2019-07-01,2019-11-04,injury-thigh-problems,2019-2020,2019
Rob Holding,Arsenal,2019-10-11,2019-12-31,injury-knee-injury,2019-2020,2019
Rob Holding,Arsenal,2019-07-01,2019-08-31,injury-cruciate-ligament-tear,2019-2020,2019
Shkodran Mustafi,Arsenal,2020-02-29,2020-03-15,injury-muscle-strain,2019-2020,2019
Shkodran Mustafi,Arsenal,2020-01-29,2020-01-02,injury-ankle-injury,2019-2020,2019
Shkodran Mustafi,Arsenal,2019-11-30,2019-11-30,injury-ankle-injury,2019-2020,2019
Shkodran Mustafi,Arsenal,2019-07-01,2019-11-01,injury-knock,2019-2020,2019
Sokratis,Arsenal,2020-06-19,2020-06-24,injury-muscle-strain,2019-2020,2019
Sokratis,Arsenal,2020-02-22,2020-02-22,injury-knee-injury,2019-2020,2019
Sokratis,Arsenal,2020-01-17,2020-01-22,injury-ill,2019-2020,2019
Sokratis,Arsenal,2019-12-27,2019-12-30,injury-concussion,2019-2020,2019
Sokratis,Arsenal,2019-10-23,2019-10-25,injury-rest,2019-2020,2019
Anwar El Ghazi,Aston Villa,2019-07-01,2019-07-12,injury-knee-injury,2019-2020,2019
Anwar El Ghazi,Aston Villa,2019-07-01,2019-07-12,injury-knee-injury,2019-2020,2019
Anwar El Ghazi,Aston Villa,2019-07-01,2019-09-08,injury-ankle-injury,2019-2020,2019
Danny Drinkwater,Aston Villa,2020-01-23,2020-02-15,injury-calf-injury,2019-2020,2019
Danny Drinkwater,Aston Villa,2019-07-01,2019-11-29,injury-ankle-injury,2019-2020,2019
Danny Drinkwater,Aston Villa,2019-07-01,2019-09-03,injury-unknown-injury,2019-2020,2019
Douglas Luiz,Aston Villa,2019-07-01,2019-10-05,injury-muscle-injury,2019-2020,2019
Ezri Konsa,Aston Villa,2020-02-02,2020-02-15,injury-muscle-strain,2019-2020,2019
Ezri Konsa,Aston Villa,2019-07-01,2019-09-08,injury-muscle-strain,2019-2020,2019
Frédéric Guilbert,Aston Villa,2020-02-10,2020-06-30,injury-chest-injury,2019-2020,2019
Frédéric Guilbert,Aston Villa,2020-05-19,2020-04-07,injury-knee-injury,2019-2020,2019
Frédéric Guilbert,Aston Villa,2019-07-01,2019-09-11,injury-muscle-strain,2019-2020,2019
Henri Lansbury,Aston Villa,2020-01-07,2020-04-07,injury-knock,2019-2020,2019
Jack Grealish,Aston Villa,2020-02-10,2020-03-10,injury-calf-injury,2019-2020,2019
Jack Grealish,Aston Villa,2019-10-27,2019-11-24,injury-calf-injury,2019-2020,2019
James Chester,Aston Villa,2019-08-08,2019-09-11,injury-hamstring-injury,2019-2020,2019
Jed Steer,Aston Villa,2019-11-11,2020-06-15,injury-calf-injury,2019-2020,2019
John McGinn,Aston Villa,2019-12-21,2020-05-06,injury-ankle-injury,2019-2020,2019
Jonathan Kodjia,Aston Villa,2020-05-01,2020-01-21,injury-ill,2019-2020,2019
Jonathan Kodjia,Aston Villa,2019-11-08,2019-10-20,injury-head-injury,2019-2020,2019
Keinan Davis,Aston Villa,2020-05-02,2020-02-29,injury-muscle-strain,2019-2020,2019
Keinan Davis,Aston Villa,2019-07-01,2020-01-31,injury-muscle-strain,2019-2020,2019
Kortney Hause,Aston Villa,2020-02-10,2020-06-30,injury-groin-injury,2019-2020,2019
Kortney Hause,Aston Villa,2019-11-08,2019-08-22,injury-ankle-injury,2019-2020,2019
Mahmoud Trezeguet,Aston Villa,2020-01-12,2020-06-30,injury-head-injury,2019-2020,2019
Pepe Reina,Aston Villa,2019-09-08,2019-09-18,injury-abdominal-problems,2019-2020,2019
Tom Heaton,Aston Villa,2020-01-01,2020-06-30,injury-cruciate-ligament-injury,2019-2020,2019
Tom Heaton,Aston Villa,2019-10-11,2019-11-24,injury-calf-strain,2019-2020,2019
Tyrone Mings,Aston Villa,2019-09-12,2019-12-31,injury-muscle-strain,2019-2020,2019
Wesley Moraes,Aston Villa,2020-01-01,2020-06-30,injury-cruciate-ligament-tear,2019-2020,2019
Ørjan Nyland,Aston Villa,2020-02-10,2020-06-30,injury-back-injury,2019-2020,2019
Aaron Ramsdale,Bournemouth,2020-05-26,2020-05-31,injury-virus,2019-2020,2019
Adam Smith,Bournemouth,2019-07-01,2020-01-18,injury-ankle-injury,2019-2020,2019
Adam Smith,Bournemouth,2019-07-01,2019-10-18,injury-muscle-strain,2019-2020,2019
Andrew Surman,Bournemouth,2020-02-07,2020-03-07,injury-knock,2019-2020,2019
Andrew Surman,Bournemouth,2019-12-15,2019-12-20,injury-calf-injury,2019-2020,2019
Arnaut Danjuma,Bournemouth,2019-09-12,2020-06-30,injury-broken-foot,2019-2020,2019
Arnaut Danjuma,Bournemouth,2019-07-29,2019-09-19,injury-hamstring-injury,2019-2020,2019
Arnaut Danjuma,Bournemouth,2019-07-01,2019-11-03,injury-ankle-injury,2019-2020,2019
Charlie Daniels,Bournemouth,2019-08-26,2020-06-30,injury-knee-surgery,2019-2020,2019
Charlie Daniels,Bournemouth,2019-07-04,2019-09-08,injury-knee-surgery,2019-2020,2019
Chris Mepham,Bournemouth,2020-02-07,2020-06-30,injury-knee-injury,2019-2020,2019
Chris Mepham,Bournemouth,2020-05-01,2020-05-19,injury-knee-injury,2019-2020,2019
Chris Mepham,Bournemouth,2019-09-29,2019-10-18,injury-calf-injury,2019-2020,2019
Chris Mepham,Bournemouth,2019-11-09,2019-09-14,injury-knock,2019-2020,2019
Dan Gosling,Bournemouth,2019-07-01,2019-08-11,injury-hip-injury,2019-2020,2019
Dan Gosling,Bournemouth,2019-07-01,2019-12-01,injury-knee-injury,2019-2020,2019
David Brooks,Bournemouth,2019-07-31,2020-06-19,injury-ankle-surgery,2019-2020,2019
Diego Rico,Bournemouth,2020-01-23,2020-01-31,injury-knock,2019-2020,2019
Dominic Solanke,Bournemouth,2019-07-01,2019-08-03,injury-muscle-strain,2019-2020,2019
Harry Wilson,Bournemouth,2019-07-01,2019-12-25,injury-muscle-strain,2019-2020,2019
Harry Wilson,Bournemouth,2019-07-01,2019-12-01,injury-hip-injury,2019-2020,2019
Jack Stacey,Bournemouth,2020-05-07,2020-06-30,injury-calf-injury,2019-2020,2019
Jack Stacey,Bournemouth,2019-12-29,2020-06-30,injury-hamstring-injury,2019-2020,2019
Jefferson Lerma,Bournemouth,2020-02-02,2020-02-28,injury-chest-injury,2019-2020,2019
Jefferson Lerma,Bournemouth,2020-01-23,2020-01-31,injury-groin-injury,2019-2020,2019
Jefferson Lerma,Bournemouth,2020-01-13,2020-01-17,injury-knee-injury,2019-2020,2019
Jefferson Lerma,Bournemouth,2019-10-16,2019-10-25,injury-knock,2019-2020,2019
Jefferson Lerma,Bournemouth,2019-07-01,2019-08-02,injury-ankle-injury,2019-2020,2019
Jermain Defoe,Bournemouth,2020-06-03,2020-03-15,injury-calf-problems,2019-2020,2019
Jermain Defoe,Bournemouth,2020-01-29,2020-02-03,injury-calf-injury,2019-2020,2019
Jermain Defoe,Bournemouth,2019-11-27,2019-11-29,injury-knock,2019-2020,2019
Junior Stanislas,Bournemouth,2020-05-01,2020-01-31,injury-calf-injury,2019-2020,2019
Junior Stanislas,Bournemouth,2019-07-01,2019-12-13,injury-knee-surgery,2019-2020,2019
Kyle Taylor,Bournemouth,2020-01-11,2020-06-30,injury-hamstring-injury,2019-2020,2019
Lewis Cook,Bournemouth,2019-07-01,2019-09-14,injury-cruciate-ligament-tear,2019-2020,2019
Lloyd Kelly,Bournemouth,2020-01-23,2020-06-30,injury-muscle-strain,2019-2020,2019
Lloyd Kelly,Bournemouth,2019-07-01,2020-01-19,injury-hamstring-injury,2019-2020,2019
Lloyd Kelly,Bournemouth,2019-07-29,2019-09-30,injury-ligament-injury,2019-2020,2019
Nathan Aké,Bournemouth,2019-08-12,2020-06-30,injury-hamstring-injury,2019-2020,2019
Philip Billing,Bournemouth,2020-06-06,2020-06-23,injury-ankle-injury,2019-2020,2019
Philip Billing,Bournemouth,2020-01-23,2020-01-31,injury-back-injury,2019-2020,2019
Ryan Fraser,Bournemouth,2020-02-11,2020-06-30,injury-hamstring-injury,2019-2020,2019
Ryan Fraser,Bournemouth,2019-12-22,2019-12-25,injury-knock,2019-2020,2019
Ryan Fraser,Bournemouth,2019-11-24,2019-11-29,injury-knock,2019-2020,2019
Ryan Fraser,Bournemouth,2019-10-11,2019-11-22,injury-knock,2019-2020,2019
Ryan Fraser,Bournemouth,2019-07-01,2019-12-01,injury-hamstring-injury,2019-2020,2019
Simon Francis,Bournemouth,2020-01-03,2020-06-30,injury-knee-injury,2019-2020,2019
Simon Francis,Bournemouth,2019-12-22,2019-12-31,injury-head-injury,2019-2020,2019
Simon Francis,Bournemouth,2019-07-01,2019-09-21,injury-cruciate-ligament-tear,2019-2020,2019
Steve Cook,Bournemouth,2020-02-07,2020-06-30,injury-muscle-strain,2019-2020,2019
Steve Cook,Bournemouth,2019-07-01,2020-06-30,injury-hand-injury,2019-2020,2019
Steve Cook,Bournemouth,2019-10-02,2019-12-04,injury-groin-injury,2019-2020,2019
Aaron Connolly,Brighton,2019-07-12,2019-12-20,injury-hamstring-strain,2019-2020,2019
Aaron Mooy,Brighton,2020-01-09,2020-06-30,injury-quarantine,2019-2020,2019
Aaron Mooy,Brighton,2020-02-01,2020-01-17,injury-knock,2019-2020,2019
Adam Webster,Brighton,2020-06-24,2020-03-07,injury-hamstring-strain,2019-2020,2019
Adam Webster,Brighton,2019-07-01,2019-11-22,injury-ankle-injury,2019-2020,2019
Alireza Jahanbakhsh,Brighton,2020-01-10,2020-05-11,injury-hamstring-injury,2019-2020,2019
Dale Stephens,Brighton,2020-02-02,2020-02-28,injury-hamstring-strain,2019-2020,2019
Dale Stephens,Brighton,2019-07-01,2019-08-02,injury-torn-knee-ligaments,2019-2020,2019
Dan Burn,Brighton,2020-01-01,2020-06-30,injury-broken-collarbone,2019-2020,2019
Davy Pröpper,Brighton,2020-02-07,2020-03-07,injury-calf-injury,2019-2020,2019
Davy Pröpper,Brighton,2019-09-22,2019-10-18,injury-hamstring-injury,2019-2020,2019
Florin Andone,Brighton,2020-06-15,2020-06-30,injury-cruciate-ligament-tear,2019-2020,2019
Florin Andone,Brighton,2019-09-11,2020-01-29,injury-knee-medial-ligament-tear,2019-2020,2019
Glenn Murray,Brighton,2019-12-29,2020-06-30,injury-knock,2019-2020,2019
José Izquierdo,Brighton,2019-07-01,2020-02-10,injury-knee-injury,2019-2020,2019
Jürgen Locadia,Brighton,2019-09-19,2019-09-23,injury-stomach-flu,2019-2020,2019
Leandro Trossard,Brighton,2020-02-11,2020-06-30,injury-groin-injury,2019-2020,2019
Leandro Trossard,Brighton,2019-07-01,2019-10-18,injury-groin-injury,2019-2020,2019
Leon Balogun,Brighton,2020-05-01,2020-01-31,injury-muscle-strain,2019-2020,2019
Leon Balogun,Brighton,2019-07-01,2019-11-02,injury-ill,2019-2020,2019
Neal Maupay,Brighton,2019-09-22,2019-09-27,injury-knee-injury,2019-2020,2019
Shane Duffy,Brighton,2020-01-23,2020-06-30,injury-calf-injury,2019-2020,2019
Shane Duffy,Brighton,2019-09-26,2019-11-10,injury-calf-injury,2019-2020,2019
Solly March,Brighton,2020-02-11,2020-06-30,injury-ankle-injury,2019-2020,2019
Solly March,Brighton,2020-06-07,2020-06-30,injury-muscle-injury,2019-2020,2019
Solly March,Brighton,2020-01-17,2020-01-19,injury-minor-knock,2019-2020,2019
Solly March,Brighton,2019-11-24,2020-06-30,injury-groin-injury,2019-2020,2019
Solly March,Brighton,2019-09-19,2019-09-23,injury-muscle-injury,2019-2020,2019
Steven Alzate,Brighton,2020-01-03,2020-06-30,injury-groin-injury,2019-2020,2019
Tudor Băluță,Brighton,2020-01-11,2020-06-30,injury-corona-virus,2019-2020,2019
Aaron Lennon,Burnley,2019-12-22,2020-06-30,injury-ill,2019-2020,2019
Ashley Barnes,Burnley,2020-03-14,2020-03-28,injury-corona-virus,2019-2020,2019
Ashley Barnes,Burnley,2020-02-01,2020-06-30,injury-groin-surgery,2019-2020,2019
Ashley Barnes,Burnley,2019-07-01,2019-12-13,injury-groin-injury,2019-2020,2019
Ashley Barnes,Burnley,2019-10-17,2019-10-25,injury-groin-injury,2019-2020,2019
Ashley Barnes,Burnley,2019-07-01,2019-09-13,injury-groin-injury,2019-2020,2019
Ashley Westwood,Burnley,2019-12-15,2019-12-20,injury-groin-injury,2019-2020,2019
Ashley Westwood,Burnley,2019-11-24,2019-12-13,injury-groin-injury,2019-2020,2019
Ben Gibson,Burnley,2019-08-12,2020-06-30,injury-groin-injury,2019-2020,2019
Ben Mee,Burnley,2020-03-07,2020-05-11,injury-hamstring-strain,2019-2020,2019
Charlie Taylor,Burnley,2020-03-02,2020-02-14,injury-hamstring-strain,2019-2020,2019
Charlie Taylor,Burnley,2019-07-01,2019-12-20,injury-hamstring-strain,2019-2020,2019
Chris Wood,Burnley,2020-05-06,2020-04-07,injury-calf-injury,2019-2020,2019
Chris Wood,Burnley,2020-02-16,2020-02-28,injury-hamstring-strain,2019-2020,2019
Chris Wood,Burnley,2020-05-01,2020-06-30,injury-hamstring-strain,2019-2020,2019
Chris Wood,Burnley,2019-12-15,2019-12-20,injury-calf-injury,2019-2020,2019
Chris Wood,Burnley,2019-10-20,2019-08-11,injury-hamstring-injury,2019-2020,2019
Danny Drinkwater,Burnley,2020-01-23,2020-02-15,injury-calf-injury,2019-2020,2019
Danny Drinkwater,Burnley,2019-07-01,2019-11-29,injury-ankle-injury,2019-2020,2019
Danny Drinkwater,Burnley,2019-07-01,2019-09-03,injury-unknown-injury,2019-2020,2019
Dwight McNeil,Burnley,2020-02-01,2020-06-30,injury-knock,2019-2020,2019
Dwight McNeil,Burnley,2019-09-26,2019-09-27,injury-hamstring-strain,2019-2020,2019
Dwight McNeil,Burnley,2019-07-01,2019-09-13,injury-hamstring-injury,2019-2020,2019
Jack Cork,Burnley,2020-06-30,2020-06-30,injury-broken-foot,2019-2020,2019
Jack Cork,Burnley,2019-09-29,2019-10-25,injury-shoulder-injury,2019-2020,2019
Jack Cork,Burnley,2019-07-01,2019-09-08,injury-groin-injury,2019-2020,2019
Jóhann Berg Gudmundsson,Burnley,2020-02-23,2020-04-07,injury-hamstring-strain,2019-2020,2019
Jóhann Berg Gudmundsson,Burnley,2020-05-01,2020-02-21,injury-hamstring-strain,2019-2020,2019
Jóhann Berg Gudmundsson,Burnley,2019-10-13,2019-12-25,injury-hamstring-strain,2019-2020,2019
Matthew Lowton,Burnley,2020-01-10,2020-06-30,injury-knee-injury,2019-2020,2019
Matthew Lowton,Burnley,2020-06-28,2020-06-30,injury-ankle-injury,2019-2020,2019
Matthew Lowton,Burnley,2020-03-02,2020-06-30,injury-knee-injury,2019-2020,2019
Matthew Lowton,Burnley,2019-07-01,2019-08-02,injury-toe-injury,2019-2020,2019
Matthew Lowton,Burnley,2019-07-01,2019-11-01,injury-knock,2019-2020,2019
Phil Bardsley,Burnley,2020-01-20,2020-01-02,injury-back-injury,2019-2020,2019
Phil Bardsley,Burnley,2020-05-01,2020-06-30,injury-ill,2019-2020,2019
Phil Bardsley,Burnley,2019-07-01,2019-12-13,injury-knock,2019-2020,2019
Phil Bardsley,Burnley,2019-07-01,2019-11-01,injury-knock,2019-2020,2019
Robbie Brady,Burnley,2020-06-12,2020-06-30,injury-hamstring-strain,2019-2020,2019
Robbie Brady,Burnley,2020-06-22,2020-04-07,injury-groin-strain,2019-2020,2019
Robbie Brady,Burnley,2020-02-01,2020-01-18,injury-calf-injury,2019-2020,2019
Robbie Brady,Burnley,2019-08-08,2019-09-13,injury-chest-injury,2019-2020,2019
Robbie Brady,Burnley,2019-07-01,2019-11-05,injury-knock,2019-2020,2019
Antonio Rüdiger,Chelsea,2019-12-09,2019-12-12,injury-groin-injury,2019-2020,2019
Antonio Rüdiger,Chelsea,2019-08-19,2019-09-16,injury-knock,2019-2020,2019
Antonio Rüdiger,Chelsea,2019-07-15,2019-12-08,injury-knee-injury,2019-2020,2019
Callum Hudson-Odoi,Chelsea,2020-03-12,2020-06-30,injury-hip-injury,2019-2020,2019
Callum Hudson-Odoi,Chelsea,2020-06-15,2020-06-29,injury-ankle-injury,2019-2020,2019
Callum Hudson-Odoi,Chelsea,2020-03-02,2020-06-04,injury-hamstring-injury,2019-2020,2019
Callum Hudson-Odoi,Chelsea,2019-11-21,2019-11-28,injury-minor-knock,2019-2020,2019
Callum Hudson-Odoi,Chelsea,2019-07-01,2019-12-09,injury-achilles-tendon-rupture,2019-2020,2019
Davide Zappacosta,Chelsea,2019-07-01,2020-03-31,injury-cruciate-ligament-tear,2019-2020,2019
Emerson,Chelsea,2019-10-09,2019-10-20,injury-hamstring-injury,2019-2020,2019
Fikayo Tomori,Chelsea,2020-06-19,2020-06-30,injury-knock,2019-2020,2019
Fikayo Tomori,Chelsea,2019-09-12,2019-12-21,injury-hip-problems,2019-2020,2019
Kenedy,Chelsea,2019-12-13,2020-01-02,injury-knee-bruise,2019-2020,2019
Marco van Ginkel,Chelsea,2019-07-01,2020-06-30,injury-knee-injury,2019-2020,2019
Marcos Alonso,Chelsea,2019-12-23,2020-01-20,injury-knock,2019-2020,2019
Mason Mount,Chelsea,2019-07-11,2019-07-11,injury-ankle-injury,2019-2020,2019
Mason Mount,Chelsea,2019-09-19,2019-09-23,injury-ankle-injury,2019-2020,2019
Mateo Kovacic,Chelsea,2020-02-07,2020-06-30,injury-calf-injury,2019-2020,2019
Mateo Kovacic,Chelsea,2020-04-03,2020-06-06,injury-achilles-tendon-problems,2019-2020,2019
N'Golo Kanté,Chelsea,2020-02-07,2020-06-30,injury-hamstring-injury,2019-2020,2019
N'Golo Kanté,Chelsea,2020-02-17,2020-06-30,injury-muscle-injury,2019-2020,2019
Olivier Giroud,Chelsea,2020-06-01,2020-02-16,injury-groin-injury,2019-2020,2019
Olivier Giroud,Chelsea,2019-07-01,2020-04-01,injury-ankle-injury,2019-2020,2019
Olivier Giroud,Chelsea,2019-07-01,2019-11-01,injury-ankle-injury,2019-2020,2019
Pedro,Chelsea,2020-01-08,2020-06-30,injury-shoulder-injury,2019-2020,2019
Pedro,Chelsea,2020-01-07,2020-01-07,injury-arch-problems,2019-2020,2019
Ross Barkley,Chelsea,2019-12-13,2019-12-23,injury-foot-injury,2019-2020,2019
Tammy Abraham,Chelsea,2020-02-26,2020-06-06,injury-ankle-injury,2019-2020,2019
Tammy Abraham,Chelsea,2020-02-02,2020-02-21,injury-knock,2019-2020,2019
Tammy Abraham,Chelsea,2020-01-31,2020-01-31,injury-ankle-injury,2019-2020,2019
Willian,Chelsea,2020-05-03,2020-06-30,injury-calf-injury,2019-2020,2019
Willian,Chelsea,2019-07-01,2019-12-08,injury-hamstring-injury,2019-2020,2019
Willian,Chelsea,2019-07-01,2019-11-01,injury-knock,2019-2020,2019
Andros Townsend,Crystal Palace,2019-08-12,2020-01-31,injury-groin-injury,2019-2020,2019
Andros Townsend,Crystal Palace,2019-10-28,2019-08-11,injury-bruise,2019-2020,2019
Cenk Tosun,Crystal Palace,2020-02-03,2020-06-30,injury-cruciate-ligament-surgery,2019-2020,2019
Cenk Tosun,Crystal Palace,2020-01-24,2020-02-21,injury-crack-bruise,2019-2020,2019
Cenk Tosun,Crystal Palace,2019-10-18,2019-10-27,injury-groin-injury,2019-2020,2019
Cenk Tosun,Crystal Palace,2019-07-01,2019-07-30,injury-torn-lateral-knee-ligament,2019-2020,2019
Cheikhou Kouyaté,Crystal Palace,2020-02-23,2020-02-28,injury-ankle-injury,2019-2020,2019
Cheikhou Kouyaté,Crystal Palace,2019-07-01,2019-08-11,injury-head-injury,2019-2020,2019
Cheikhou Kouyaté,Crystal Palace,2019-09-15,2019-09-21,injury-ankle-injury,2019-2020,2019
Christian Benteke,Crystal Palace,2020-06-24,2020-03-07,injury-hamstring-strain,2019-2020,2019
Christian Benteke,Crystal Palace,2019-12-22,2020-01-31,injury-knock,2019-2020,2019
Christian Benteke,Crystal Palace,2019-07-01,2019-11-05,injury-facial-injury,2019-2020,2019
Christian Benteke,Crystal Palace,2019-07-01,2019-12-01,injury-knee-injury,2019-2020,2019
Connor Wickham,Crystal Palace,2019-07-01,2019-08-03,injury-knock,2019-2020,2019
Gary Cahill,Crystal Palace,2019-08-12,2020-04-01,injury-knee-injury,2019-2020,2019
Gary Cahill,Crystal Palace,2019-07-01,2019-08-11,injury-head-injury,2019-2020,2019
Gary Cahill,Crystal Palace,2019-07-01,2019-09-03,injury-back-injury,2019-2020,2019
James McArthur,Crystal Palace,2019-07-01,2019-08-11,injury-back-injury,2019-2020,2019
James McArthur,Crystal Palace,2019-07-01,2019-09-21,injury-knock,2019-2020,2019
James Tomkins,Crystal Palace,2020-06-11,2020-06-30,injury-hip-injury,2019-2020,2019
James Tomkins,Crystal Palace,2019-07-04,2019-09-13,injury-groin-injury,2019-2020,2019
Jaïro Riedewald,Crystal Palace,2020-06-01,2020-06-30,injury-hamstring-injury,2019-2020,2019
Jaïro Riedewald,Crystal Palace,2019-12-18,2019-12-20,injury-groin-injury,2019-2020,2019
Jeffrey Schlupp,Crystal Palace,2019-08-12,2020-06-03,injury-hip-injury,2019-2020,2019
Jeffrey Schlupp,Crystal Palace,2019-07-01,2019-08-17,injury-ankle-injury,2019-2020,2019
Joel Ward,Crystal Palace,2019-11-24,2020-01-17,injury-knee-injury,2019-2020,2019
Mamadou Sakho,Crystal Palace,2020-02-01,2020-06-30,injury-hamstring-strain,2019-2020,2019
Mamadou Sakho,Crystal Palace,2019-09-27,2019-11-29,injury-knock,2019-2020,2019
Mamadou Sakho,Crystal Palace,2019-07-01,2019-08-30,injury-meniscus-injury,2019-2020,2019
Martin Kelly,Crystal Palace,2020-04-12,2020-06-30,injury-calf-injury,2019-2020,2019
Martin Kelly,Crystal Palace,2020-06-19,2020-06-30,injury-calf-injury,2019-2020,2019
Martin Kelly,Crystal Palace,2019-12-29,2019-12-31,injury-hamstring-strain,2019-2020,2019
Martin Kelly,Crystal Palace,2019-10-17,2019-10-26,injury-groin-injury,2019-2020,2019
Martin Kelly,Crystal Palace,2019-07-01,2019-09-21,injury-groin-injury,2019-2020,2019
Max Meyer,Crystal Palace,2020-06-01,2020-06-30,injury-ankle-injury,2019-2020,2019
Max Meyer,Crystal Palace,2019-11-24,2019-12-15,injury-ill,2019-2020,2019
Patrick van Aanholt,Crystal Palace,2019-12-27,2020-01-31,injury-hamstring-strain,2019-2020,2019
Patrick van Aanholt,Crystal Palace,2019-07-01,2019-12-20,injury-hamstring-strain,2019-2020,2019
Scott Dann,Crystal Palace,2019-12-18,2020-06-30,injury-ankle-injury,2019-2020,2019
Scott Dann,Crystal Palace,2019-08-29,2019-09-21,injury-hand-injury,2019-2020,2019
Tyrick Mitchell,Crystal Palace,2020-02-22,2020-06-30,injury-thigh-problems,2019-2020,2019
Tyrick Mitchell,Crystal Palace,2019-12-21,2020-01-02,injury-hip-problems,2019-2020,2019
Tyrick Mitchell,Crystal Palace,2019-10-08,2019-07-12,injury-hip-injury,2019-2020,2019
Vicente Guaita,Crystal Palace,2020-06-24,2020-06-28,injury-hamstring-strain,2019-2020,2019
Víctor Camarasa,Crystal Palace,2019-12-29,2020-01-13,injury-calf-injury,2019-2020,2019
Víctor Camarasa,Crystal Palace,2019-07-01,2019-08-02,injury-muscle-strain,2019-2020,2019
Alex Iwobi,Everton,2019-12-23,2020-01-27,injury-hamstring-injury,2019-2020,2019
