player_name,team,start_date,end_date,type,source
Bernd Leno,Arsenal FC,2020-07-01,2020-08-27,injury-ligament-stretching,https://www.transfermarkt.com/bernd-leno/verletzungen/spieler/72476
Mathew Ryan,Arsenal FC,2021-01-28,2021-05-02,injury-groin-injury,https://www.transfermarkt.com/mathew-ryan/verletzungen/spieler/128969
Gabriel Magalhães,Arsenal FC,2021-06-07,2021-06-30,injury-knee-injury,https://www.transfermarkt.com/gabriel-magalhaes/verletzungen/spieler/435338
Gabriel Magalhães,Arsenal FC,2020-12-26,2021-01-13,injury-corona-virus,https://www.transfermarkt.com/gabriel-magalhaes/verletzungen/spieler/435338
Gabriel Magalhães,Arsenal FC,2020-07-01,2020-08-31,injury-ill,https://www.transfermarkt.com/gabriel-magalhaes/verletzungen/spieler/435338
Rob Holding,Arsenal FC,2021-01-08,2021-06-30,injury-fitness,https://www.transfermarkt.com/rob-holding/verletzungen/spieler/253341
Rob Holding,Arsenal FC,2020-10-16,2020-10-30,injury-hamstring-injury,https://www.transfermarkt.com/rob-holding/verletzungen/spieler/253341
Calum Chambers,Arsenal FC,2020-07-01,2020-08-11,injury-cruciate-ligament-tear,https://www.transfermarkt.com/calum-chambers/verletzungen/spieler/215118
Pablo Marí,Arsenal FC,2021-01-14,2021-06-30,injury-calf-injury,https://www.transfermarkt.com/pablo-mari/verletzungen/spieler/210178
David Luiz,Arsenal FC,2021-03-05,2021-05-24,injury-hamstring-injury,https://www.transfermarkt.com/david-luiz/verletzungen/spieler/46741
David Luiz,Arsenal FC,2020-12-25,2021-01-01,injury-ill,https://www.transfermarkt.com/david-luiz/verletzungen/spieler/46741
David Luiz,Arsenal FC,2020-07-01,2020-12-15,injury-head-injury,https://www.transfermarkt.com/david-luiz/verletzungen/spieler/46741
David Luiz,Arsenal FC,2020-11-27,2020-11-28,injury-knock,https://www.transfermarkt.com/david-luiz/verletzungen/spieler/46741
David Luiz,Arsenal FC,2020-11-09,2020-09-18,injury-neck-injury,https://www.transfermarkt.com/david-luiz/verletzungen/spieler/46741
Shkodran Mustafi,Arsenal FC,2021-02-19,2021-02-24,injury-muscular-problems,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
Shkodran Mustafi,Arsenal FC,2021-01-02,2021-05-02,injury-quarantine,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
Shkodran Mustafi,Arsenal FC,2020-07-19,2020-10-24,injury-muscle-injury,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
Kieran Tierney,Arsenal FC,2021-03-04,2021-05-05,injury-knee-injury,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Kieran Tierney,Arsenal FC,2021-01-19,2021-02-16,injury-knee-injury,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Kieran Tierney,Arsenal FC,2020-07-10,2020-10-16,injury-virus,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Kieran Tierney,Arsenal FC,2020-09-13,2020-09-27,injury-groin-injury,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Ainsley Maitland-Niles,Arsenal FC,2021-04-05,2021-05-15,injury-knock,https://www.transfermarkt.com/ainsley-maitland-niles/verletzungen/spieler/285845
Cédric Soares,Arsenal FC,2020-08-30,2020-09-30,injury-calf-strain,https://www.transfermarkt.com/cedric-soares/verletzungen/spieler/112988
Thomas Partey,Arsenal FC,2021-04-02,2021-02-22,injury-hamstring-injury,https://www.transfermarkt.com/thomas-partey/verletzungen/spieler/230784
Thomas Partey,Arsenal FC,2020-07-01,2021-06-30,injury-hip-injury,https://www.transfermarkt.com/thomas-partey/verletzungen/spieler/230784
Granit Xhaka,Arsenal FC,2021-06-05,2021-05-16,injury-groin-injury,https://www.transfermarkt.com/granit-xhaka/verletzungen/spieler/111455
Granit Xhaka,Arsenal FC,2021-01-04,2021-04-04,injury-ill,https://www.transfermarkt.com/granit-xhaka/verletzungen/spieler/111455
Mohamed Elneny,Arsenal FC,2020-11-16,2020-11-28,injury-virus,https://www.transfermarkt.com/mohamed-elneny/verletzungen/spieler/160438
Dani Ceballos,Arsenal FC,2021-01-15,2021-01-02,injury-calf-injury,https://www.transfermarkt.com/dani-ceballos/verletzungen/spieler/319745
Dani Ceballos,Arsenal FC,2020-10-18,2020-10-24,injury-ankle-injury,https://www.transfermarkt.com/dani-ceballos/verletzungen/spieler/319745
James Olayinka,Arsenal FC,2021-01-16,2021-03-23,injury-torn-lateral-ankle-ligament,https://www.transfermarkt.com/james-olayinka/verletzungen/spieler/506965
Martin Ødegaard,Arsenal FC,2021-05-04,2021-04-20,injury-ankle-injury,https://www.transfermarkt.com/martin-odegaard/verletzungen/spieler/316264
Martin Ødegaard,Arsenal FC,2021-01-16,2021-01-29,injury-knock,https://www.transfermarkt.com/martin-odegaard/verletzungen/spieler/316264
Martin Ødegaard,Arsenal FC,2020-07-12,2020-12-20,injury-muscle-injury,https://www.transfermarkt.com/martin-odegaard/verletzungen/spieler/316264
Martin Ødegaard,Arsenal FC,2020-07-01,2020-09-19,injury-knee-problems,https://www.transfermarkt.com/martin-odegaard/verletzungen/spieler/316264
Emile Smith Rowe,Arsenal FC,2021-03-24,2021-06-30,injury-thigh-problems,https://www.transfermarkt.com/emile-smith-rowe/verletzungen/spieler/392765
Emile Smith Rowe,Arsenal FC,2020-10-09,2020-10-12,injury-shoulder-injury,https://www.transfermarkt.com/emile-smith-rowe/verletzungen/spieler/392765
Gabriel Martinelli,Arsenal FC,2020-07-01,2020-12-18,injury-knee-injury,https://www.transfermarkt.com/gabriel-martinelli/verletzungen/spieler/655488
Willian,Arsenal FC,2020-12-25,2021-01-01,injury-ill,https://www.transfermarkt.com/willian/verletzungen/spieler/52769
Willian,Arsenal FC,2020-11-23,2020-11-28,injury-calf-injury,https://www.transfermarkt.com/willian/verletzungen/spieler/52769
Willian,Arsenal FC,2020-10-18,2020-10-31,injury-calf-injury,https://www.transfermarkt.com/willian/verletzungen/spieler/52769
Willian,Arsenal FC,2020-07-31,2020-08-13,injury-ankle-injury,https://www.transfermarkt.com/willian/verletzungen/spieler/52769
Willian,Arsenal FC,2020-07-01,2020-07-03,injury-calf-injury,https://www.transfermarkt.com/willian/verletzungen/spieler/52769
Reiss Nelson,Arsenal FC,2020-07-01,2021-06-30,injury-head-injury,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
Reiss Nelson,Arsenal FC,2020-10-29,2020-11-23,injury-knee-injury,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
Bukayo Saka,Arsenal FC,2021-06-30,2021-05-07,injury-dead-leg,https://www.transfermarkt.com/bukayo-saka/verletzungen/spieler/433177
