player_name,team,start_date,end_date,type,source
Bernd Leno,Arsenal FC,2020-06-21,2020-06-30,injury-ligament-stretching,https://www.transfermarkt.com/bernd-leno/verletzungen/spieler/72476
Sokratis,Arsenal FC,2020-06-19,2020-06-24,injury-muscle-strain,https://www.transfermarkt.com/sokratis/verletzungen/spieler/34322
Sokratis,Arsenal FC,2020-02-22,2020-02-22,injury-knee-injury,https://www.transfermarkt.com/sokratis/verletzungen/spieler/34322
Sokratis,Arsenal FC,2020-01-17,2020-01-22,injury-ill,https://www.transfermarkt.com/sokratis/verletzungen/spieler/34322
Sokratis,Arsenal FC,2019-12-27,2019-12-30,injury-concussion,https://www.transfermarkt.com/sokratis/verletzungen/spieler/34322
Sokratis,Arsenal FC,2019-10-23,2019-10-25,injury-rest,https://www.transfermarkt.com/sokratis/verletzungen/spieler/34322
Calum Chambers,Arsenal FC,2019-12-29,2020-06-30,injury-cruciate-ligament-tear,https://www.transfermarkt.com/calum-chambers/verletzungen/spieler/215118
Shkodran Mustafi,Arsenal FC,2020-02-29,2020-03-15,injury-muscle-strain,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
Shkodran Mustafi,Arsenal FC,2020-01-29,2020-01-02,injury-ankle-injury,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
Shkodran Mustafi,Arsenal FC,2019-11-30,2019-11-30,injury-ankle-injury,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
Shkodran Mustafi,Arsenal FC,2019-07-01,2019-11-01,injury-knock,https://www.transfermarkt.com/shkodran-mustafi/verletzungen/spieler/88590
David Luiz,Arsenal FC,2020-01-12,2020-06-30,injury-head-injury,https://www.transfermarkt.com/david-luiz/verletzungen/spieler/46741
Rob Holding,Arsenal FC,2019-10-11,2019-12-31,injury-knee-injury,https://www.transfermarkt.com/rob-holding/verletzungen/spieler/253341
