player_name,team,start_date,end_date,type,source
Rob Holding,Arsenal FC,2019-07-01,2019-08-31,injury-cruciate-ligament-tear,https://www.transfermarkt.com/rob-holding/verletzungen/spieler/253341
Pablo Marí,Arsenal FC,2020-06-15,2020-03-12,injury-ankle-injury,https://www.transfermarkt.com/pablo-mari/verletzungen/spieler/210178
Konstantinos Mavropanos,Arsenal FC,2020-02-24,2020-06-30,injury-pelvic-injury,https://www.transfermarkt.com/konstantinos-mavropanos/verletzungen/spieler/415912
Konstantinos Mavropanos,Arsenal FC,2019-08-08,2019-07-10,injury-groin-injury,https://www.transfermarkt.com/konstantinos-mavropanos/verletzungen/spieler/415912
Kieran Tierney,Arsenal FC,2019-09-12,2020-03-14,injury-shoulder-injury,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Kieran Tierney,Arsenal FC,2019-07-05,2019-09-06,injury-groin-surgery,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Nacho Monreal,Arsenal FC,2020-03-09,2020-06-30,injury-hamstring-injury,https://www.transfermarkt.com/nacho-monreal/verletzungen/spieler/43003
Nacho Monreal,Arsenal FC,2020-06-01,2020-01-27,injury-muscle-injury,https://www.transfermarkt.com/nacho-monreal/verletzungen/spieler/43003
Nacho Monreal,Arsenal FC,2019-07-01,2019-11-01,injury-hamstring-injury,https://www.transfermarkt.com/nacho-monreal/verletzungen/spieler/43003
Héctor Bellerín,Arsenal FC,2019-07-01,2020-01-14,injury-hamstring-injury,https://www.transfermarkt.com/hector-bellerin/verletzungen/spieler/191217
Héctor Bellerín,Arsenal FC,2019-07-01,2019-09-16,injury-cruciate-ligament-tear,https://www.transfermarkt.com/hector-bellerin/verletzungen/spieler/191217
Héctor Bellerín,Arsenal FC,2019-07-01,2019-11-01,injury-calf-strain,https://www.transfermarkt.com/hector-bellerin/verletzungen/spieler/191217
Ainsley Maitland-Niles,Arsenal FC,2019-07-01,2019-08-02,injury-knee-injury,https://www.transfermarkt.com/ainsley-maitland-niles/verletzungen/spieler/285845
Cédric Soares,Arsenal FC,2020-06-17,2020-06-26,injury-broken-nose-bone,https://www.transfermarkt.com/cedric-soares/verletzungen/spieler/112988
Cédric Soares,Arsenal FC,2020-01-21,2020-02-03,injury-knee-injury,https://www.transfermarkt.com/cedric-soares/verletzungen/spieler/112988
Cédric Soares,Arsenal FC,2019-09-26,2019-08-11,injury-calf-injury,https://www.transfermarkt.com/cedric-soares/verletzungen/spieler/112988
Lucas Torreira,Arsenal FC,2020-03-03,2020-03-07,injury-ankle-injury,https://www.transfermarkt.com/lucas-torreira/verletzungen/spieler/318077
Lucas Torreira,Arsenal FC,2020-02-17,2020-02-21,injury-ill,https://www.transfermarkt.com/lucas-torreira/verletzungen/spieler/318077
Granit Xhaka,Arsenal FC,2020-06-18,2020-06-24,injury-ankle-injury,https://www.transfermarkt.com/granit-xhaka/verletzungen/spieler/111455
Granit Xhaka,Arsenal FC,2019-09-12,2019-12-17,injury-concussion,https://www.transfermarkt.com/granit-xhaka/verletzungen/spieler/111455
Granit Xhaka,Arsenal FC,2019-12-08,2019-08-23,injury-back-injury,https://www.transfermarkt.com/granit-xhaka/verletzungen/spieler/111455
Mattéo Guendouzi,Arsenal FC,2020-06-25,2020-06-30,injury-fitness,https://www.transfermarkt.com/matteo-guendouzi/verletzungen/spieler/465830
Mattéo Guendouzi,Arsenal FC,2020-02-16,2020-02-16,injury-ill,https://www.transfermarkt.com/matteo-guendouzi/verletzungen/spieler/465830
Dani Ceballos,Arsenal FC,2019-07-11,2019-12-31,injury-torn-muscle-bundle,https://www.transfermarkt.com/dani-ceballos/verletzungen/spieler/319745
Dani Ceballos,Arsenal FC,2019-08-08,2019-10-08,injury-knock,https://www.transfermarkt.com/dani-ceballos/verletzungen/spieler/319745
Henrikh Mkhitaryan,Arsenal FC,2019-11-14,2019-11-26,injury-fitness,https://www.transfermarkt.com/henrikh-mkhitaryan/verletzungen/spieler/55735
Henrikh Mkhitaryan,Arsenal FC,2019-09-30,2019-11-14,injury-adductor-injury,https://www.transfermarkt.com/henrikh-mkhitaryan/verletzungen/spieler/55735
Henrikh Mkhitaryan,Arsenal FC,2019-07-01,2019-07-02,injury-metatarsal-fracture,https://www.transfermarkt.com/henrikh-mkhitaryan/verletzungen/spieler/55735
Joe Willock,Arsenal FC,2019-07-01,2019-09-14,injury-calf-injury,https://www.transfermarkt.com/joe-willock/verletzungen/spieler/340329
Emile Smith Rowe,Arsenal FC,2019-09-23,2019-07-10,injury-head-injury,https://www.transfermarkt.com/emile-smith-rowe/verletzungen/spieler/392765
Emile Smith Rowe,Arsenal FC,2019-08-08,2019-12-13,injury-groin-injury,https://www.transfermarkt.com/emile-smith-rowe/verletzungen/spieler/392765
Gabriel Martinelli,Arsenal FC,2020-06-21,2020-06-30,injury-knee-injury,https://www.transfermarkt.com/gabriel-martinelli/verletzungen/spieler/655488
Gabriel Martinelli,Arsenal FC,2020-02-20,2020-02-25,injury-knock,https://www.transfermarkt.com/gabriel-martinelli/verletzungen/spieler/655488
Gabriel Martinelli,Arsenal FC,2019-12-23,2020-06-01,injury-hamstring-injury,https://www.transfermarkt.com/gabriel-martinelli/verletzungen/spieler/655488
Reiss Nelson,Arsenal FC,2020-03-12,2020-06-30,injury-head-injury,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
Reiss Nelson,Arsenal FC,2019-07-10,2019-11-25,injury-ankle-injury,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
Reiss Nelson,Arsenal FC,2019-07-01,2019-11-04,injury-thigh-problems,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
Nicolas Pépé,Arsenal FC,2020-02-07,2020-06-07,injury-muscle-fatigue,https://www.transfermarkt.com/nicolas-pepe/verletzungen/spieler/343052
Nicolas Pépé,Arsenal FC,2019-10-12,2019-12-14,injury-knee-injury,https://www.transfermarkt.com/nicolas-pepe/verletzungen/spieler/343052
Bukayo Saka,Arsenal FC,2020-03-02,2020-02-15,injury-knee-injury,https://www.transfermarkt.com/bukayo-saka/verletzungen/spieler/433177
Pierre-Emerick Aubameyang,Arsenal FC,2020-02-01,2020-01-13,injury-knock,https://www.transfermarkt.com/pierre-emerick-aubameyang/verletzungen/spieler/58864
Alexandre Lacazette,Arsenal FC,2019-07-01,2019-10-20,injury-ankle-injury,https://www.transfermarkt.com/alexandre-lacazette/verletzungen/spieler/93720
Alexandre Lacazette,Arsenal FC,2019-07-28,2019-11-08,injury-ankle-sprain,https://www.transfermarkt.com/alexandre-lacazette/verletzungen/spieler/93720
Tom Heaton,Aston Villa,2020-01-01,2020-06-30,injury-cruciate-ligament-injury,https://www.transfermarkt.com/tom-heaton/verletzungen/spieler/34130
Tom Heaton,Aston Villa,2019-10-11,2019-11-24,injury-calf-strain,https://www.transfermarkt.com/tom-heaton/verletzungen/spieler/34130
Jed Steer,Aston Villa,2019-11-11,2020-06-15,injury-calf-injury,https://www.transfermarkt.com/jed-steer/verletzungen/spieler/110867
Ørjan Nyland,Aston Villa,2020-02-10,2020-06-30,injury-back-injury,https://www.transfermarkt.com/orjan-nyland/verletzungen/spieler/73517
Pepe Reina,Aston Villa,2019-09-08,2019-09-18,injury-abdominal-problems,https://www.transfermarkt.com/pepe-reina/verletzungen/spieler/7825
Tyrone Mings,Aston Villa,2019-09-12,2019-12-31,injury-muscle-strain,https://www.transfermarkt.com/tyrone-mings/verletzungen/spieler/253677
Ezri Konsa,Aston Villa,2020-02-02,2020-02-15,injury-muscle-strain,https://www.transfermarkt.com/ezri-konsa/verletzungen/spieler/413403
Ezri Konsa,Aston Villa,2019-07-01,2019-09-08,injury-muscle-strain,https://www.transfermarkt.com/ezri-konsa/verletzungen/spieler/413403
Kortney Hause,Aston Villa,2020-02-10,2020-06-30,injury-groin-injury,https://www.transfermarkt.com/kortney-hause/verletzungen/spieler/233124
Kortney Hause,Aston Villa,2019-11-08,2019-08-22,injury-ankle-injury,https://www.transfermarkt.com/kortney-hause/verletzungen/spieler/233124
James Chester,Aston Villa,2019-08-08,2019-09-11,injury-hamstring-injury,https://www.transfermarkt.com/james-chester/verletzungen/spieler/73482
Frédéric Guilbert,Aston Villa,2020-02-10,2020-06-30,injury-chest-injury,https://www.transfermarkt.com/frederic-guilbert/verletzungen/spieler/354352
Frédéric Guilbert,Aston Villa,2020-05-19,2020-04-07,injury-knee-injury,https://www.transfermarkt.com/frederic-guilbert/verletzungen/spieler/354352
Frédéric Guilbert,Aston Villa,2019-07-01,2019-09-11,injury-muscle-strain,https://www.transfermarkt.com/frederic-guilbert/verletzungen/spieler/354352
Douglas Luiz,Aston Villa,2019-07-01,2019-10-05,injury-muscle-injury,https://www.transfermarkt.com/douglas-luiz/verletzungen/spieler/447661
John McGinn,Aston Villa,2019-12-21,2020-05-06,injury-ankle-injury,https://www.transfermarkt.com/john-mcginn/verletzungen/spieler/193116
Danny Drinkwater,Aston Villa,2020-01-23,2020-02-15,injury-calf-injury,https://www.transfermarkt.com/danny-drinkwater/verletzungen/spieler/73491
Danny Drinkwater,Aston Villa,2019-07-01,2019-11-29,injury-ankle-injury,https://www.transfermarkt.com/danny-drinkwater/verletzungen/spieler/73491
Danny Drinkwater,Aston Villa,2019-07-01,2019-09-03,injury-unknown-injury,https://www.transfermarkt.com/danny-drinkwater/verletzungen/spieler/73491
Henri Lansbury,Aston Villa,2020-01-07,2020-04-07,injury-knock,https://www.transfermarkt.com/henri-lansbury/verletzungen/spieler/44794
Jack Grealish,Aston Villa,2020-02-10,2020-03-10,injury-calf-injury,https://www.transfermarkt.com/jack-grealish/verletzungen/spieler/203460
Jack Grealish,Aston Villa,2019-10-27,2019-11-24,injury-calf-injury,https://www.transfermarkt.com/jack-grealish/verletzungen/spieler/203460
Mahmoud Trezeguet,Aston Villa,2020-01-12,2020-06-30,injury-head-injury,https://www.transfermarkt.com/mahmoud-trezeguet/verletzungen/spieler/234189
Anwar El Ghazi,Aston Villa,2019-07-01,2019-07-12,injury-knee-injury,https://www.transfermarkt.com/anwar-el-ghazi/verletzungen/spieler/183720
Anwar El Ghazi,Aston Villa,2019-07-01,2019-07-12,injury-knee-injury,https://www.transfermarkt.com/anwar-el-ghazi/verletzungen/spieler/183720
Anwar El Ghazi,Aston Villa,2019-07-01,2019-09-08,injury-ankle-injury,https://www.transfermarkt.com/anwar-el-ghazi/verletzungen/spieler/183720
Wesley Moraes,Aston Villa,2020-01-01,2020-06-30,injury-cruciate-ligament-tear,https://www.transfermarkt.com/wesley-moraes/verletzungen/spieler/381362
Jonathan Kodjia,Aston Villa,2020-05-01,2020-01-21,injury-ill,https://www.transfermarkt.com/jonathan-kodjia/verletzungen/spieler/88971
Jonathan Kodjia,Aston Villa,2019-11-08,2019-10-20,injury-head-injury,https://www.transfermarkt.com/jonathan-kodjia/verletzungen/spieler/88971
Keinan Davis,Aston Villa,2020-05-02,2020-02-29,injury-muscle-strain,https://www.transfermarkt.com/keinan-davis/verletzungen/spieler/412660
Keinan Davis,Aston Villa,2019-07-01,2020-01-31,injury-muscle-strain,https://www.transfermarkt.com/keinan-davis/verletzungen/spieler/412660
Aaron Ramsdale,AFC Bournemouth,2020-05-26,2020-05-31,injury-virus,https://www.transfermarkt.com/aaron-ramsdale/verletzungen/spieler/427568
Nathan Aké,AFC Bournemouth,2019-08-12,2020-06-30,injury-hamstring-injury,https://www.transfermarkt.com/nathan-ake/verletzungen/spieler/177476
Steve Cook,AFC Bournemouth,2020-02-07,2020-06-30,injury-muscle-strain,https://www.transfermarkt.com/steve-cook/verletzungen/spieler/90836
Steve Cook,AFC Bournemouth,2019-07-01,2020-06-30,injury-hand-injury,https://www.transfermarkt.com/steve-cook/verletzungen/spieler/90836
Steve Cook,AFC Bournemouth,2019-10-02,2019-12-04,injury-groin-injury,https://www.transfermarkt.com/steve-cook/verletzungen/spieler/90836
Lloyd Kelly,AFC Bournemouth,2020-01-23,2020-06-30,injury-muscle-strain,https://www.transfermarkt.com/lloyd-kelly/verletzungen/spieler/480116
Lloyd Kelly,AFC Bournemouth,2019-07-01,2020-01-19,injury-hamstring-injury,https://www.transfermarkt.com/lloyd-kelly/verletzungen/spieler/480116
Lloyd Kelly,AFC Bournemouth,2019-07-29,2019-09-30,injury-ligament-injury,https://www.transfermarkt.com/lloyd-kelly/verletzungen/spieler/480116
Chris Mepham,AFC Bournemouth,2020-02-07,2020-06-30,injury-knee-injury,https://www.transfermarkt.com/chris-mepham/verletzungen/spieler/480987
Chris Mepham,AFC Bournemouth,2020-05-01,2020-05-19,injury-knee-injury,https://www.transfermarkt.com/chris-mepham/verletzungen/spieler/480987
Chris Mepham,AFC Bournemouth,2019-09-29,2019-10-18,injury-calf-injury,https://www.transfermarkt.com/chris-mepham/verletzungen/spieler/480987
Chris Mepham,AFC Bournemouth,2019-11-09,2019-09-14,injury-knock,https://www.transfermarkt.com/chris-mepham/verletzungen/spieler/480987
Diego Rico,AFC Bournemouth,2020-01-23,2020-01-31,injury-knock,https://www.transfermarkt.com/diego-rico/verletzungen/spieler/249513
Charlie Daniels,AFC Bournemouth,2019-08-26,2020-06-30,injury-knee-surgery,https://www.transfermarkt.com/charlie-daniels/verletzungen/spieler/61819
Charlie Daniels,AFC Bournemouth,2019-07-04,2019-09-08,injury-knee-surgery,https://www.transfermarkt.com/charlie-daniels/verletzungen/spieler/61819
Adam Smith,AFC Bournemouth,2019-07-01,2020-01-18,injury-ankle-injury,https://www.transfermarkt.com/adam-smith/verletzungen/spieler/61841
Adam Smith,AFC Bournemouth,2019-07-01,2019-10-18,injury-muscle-strain,https://www.transfermarkt.com/adam-smith/verletzungen/spieler/61841
Jack Stacey,AFC Bournemouth,2020-05-07,2020-06-30,injury-calf-injury,https://www.transfermarkt.com/jack-stacey/verletzungen/spieler/249356
Jack Stacey,AFC Bournemouth,2019-12-29,2020-06-30,injury-hamstring-injury,https://www.transfermarkt.com/jack-stacey/verletzungen/spieler/249356
Simon Francis,AFC Bournemouth,2020-01-03,2020-06-30,injury-knee-injury,https://www.transfermarkt.com/simon-francis/verletzungen/spieler/13573
Simon Francis,AFC Bournemouth,2019-12-22,2019-12-31,injury-head-injury,https://www.transfermarkt.com/simon-francis/verletzungen/spieler/13573
Simon Francis,AFC Bournemouth,2019-07-01,2019-09-21,injury-cruciate-ligament-tear,https://www.transfermarkt.com/simon-francis/verletzungen/spieler/13573
Jefferson Lerma,AFC Bournemouth,2020-02-02,2020-02-28,injury-chest-injury,https://www.transfermarkt.com/jefferson-lerma/verletzungen/spieler/262980
Jefferson Lerma,AFC Bournemouth,2020-01-23,2020-01-31,injury-groin-injury,https://www.transfermarkt.com/jefferson-lerma/verletzungen/spieler/262980
Jefferson Lerma,AFC Bournemouth,2020-01-13,2020-01-17,injury-knee-injury,https://www.transfermarkt.com/jefferson-lerma/verletzungen/spieler/262980
Jefferson Lerma,AFC Bournemouth,2019-10-16,2019-10-25,injury-knock,https://www.transfermarkt.com/jefferson-lerma/verletzungen/spieler/262980
Jefferson Lerma,AFC Bournemouth,2019-07-01,2019-08-02,injury-ankle-injury,https://www.transfermarkt.com/jefferson-lerma/verletzungen/spieler/262980
Lewis Cook,AFC Bournemouth,2019-07-01,2019-09-14,injury-cruciate-ligament-tear,https://www.transfermarkt.com/lewis-cook/verletzungen/spieler/249089
Philip Billing,AFC Bournemouth,2020-06-06,2020-06-23,injury-ankle-injury,https://www.transfermarkt.com/philip-billing/verletzungen/spieler/320411
Philip Billing,AFC Bournemouth,2020-01-23,2020-01-31,injury-back-injury,https://www.transfermarkt.com/philip-billing/verletzungen/spieler/320411
Dan Gosling,AFC Bournemouth,2019-07-01,2019-08-11,injury-hip-injury,https://www.transfermarkt.com/dan-gosling/verletzungen/spieler/44983
Dan Gosling,AFC Bournemouth,2019-07-01,2019-12-01,injury-knee-injury,https://www.transfermarkt.com/dan-gosling/verletzungen/spieler/44983
Andrew Surman,AFC Bournemouth,2020-02-07,2020-03-07,injury-knock,https://www.transfermarkt.com/andrew-surman/verletzungen/spieler/29975
Andrew Surman,AFC Bournemouth,2019-12-15,2019-12-20,injury-calf-injury,https://www.transfermarkt.com/andrew-surman/verletzungen/spieler/29975
Kyle Taylor,AFC Bournemouth,2020-01-11,2020-06-30,injury-hamstring-injury,https://www.transfermarkt.com/kyle-taylor/verletzungen/spieler/562254
Ryan Fraser,AFC Bournemouth,2020-02-11,2020-06-30,injury-hamstring-injury,https://www.transfermarkt.com/ryan-fraser/verletzungen/spieler/146795
Ryan Fraser,AFC Bournemouth,2019-12-22,2019-12-25,injury-knock,https://www.transfermarkt.com/ryan-fraser/verletzungen/spieler/146795
Ryan Fraser,AFC Bournemouth,2019-11-24,2019-11-29,injury-knock,https://www.transfermarkt.com/ryan-fraser/verletzungen/spieler/146795
Ryan Fraser,AFC Bournemouth,2019-10-11,2019-11-22,injury-knock,https://www.transfermarkt.com/ryan-fraser/verletzungen/spieler/146795
Ryan Fraser,AFC Bournemouth,2019-07-01,2019-12-01,injury-hamstring-injury,https://www.transfermarkt.com/ryan-fraser/verletzungen/spieler/146795
Arnaut Danjuma,AFC Bournemouth,2019-09-12,2020-06-30,injury-broken-foot,https://www.transfermarkt.com/arnaut-danjuma/verletzungen/spieler/355861
Arnaut Danjuma,AFC Bournemouth,2019-07-29,2019-09-19,injury-hamstring-injury,https://www.transfermarkt.com/arnaut-danjuma/verletzungen/spieler/355861
Arnaut Danjuma,AFC Bournemouth,2019-07-01,2019-11-03,injury-ankle-injury,https://www.transfermarkt.com/arnaut-danjuma/verletzungen/spieler/355861
Junior Stanislas,AFC Bournemouth,2020-05-01,2020-01-31,injury-calf-injury,https://www.transfermarkt.com/junior-stanislas/verletzungen/spieler/87672
Junior Stanislas,AFC Bournemouth,2019-07-01,2019-12-13,injury-knee-surgery,https://www.transfermarkt.com/junior-stanislas/verletzungen/spieler/87672
David Brooks,AFC Bournemouth,2019-07-31,2020-06-19,injury-ankle-surgery,https://www.transfermarkt.com/david-brooks/verletzungen/spieler/277033
Harry Wilson,AFC Bournemouth,2019-07-01,2019-12-25,injury-muscle-strain,https://www.transfermarkt.com/harry-wilson/verletzungen/spieler/279455
Harry Wilson,AFC Bournemouth,2019-07-01,2019-12-01,injury-hip-injury,https://www.transfermarkt.com/harry-wilson/verletzungen/spieler/279455
Dominic Solanke,AFC Bournemouth,2019-07-01,2019-08-03,injury-muscle-strain,https://www.transfermarkt.com/dominic-solanke/verletzungen/spieler/258889
Jermain Defoe,AFC Bournemouth,2020-06-03,2020-03-15,injury-calf-problems,https://www.transfermarkt.com/jermain-defoe/verletzungen/spieler/3875
Jermain Defoe,AFC Bournemouth,2020-01-29,2020-02-03,injury-calf-injury,https://www.transfermarkt.com/jermain-defoe/verletzungen/spieler/3875
Jermain Defoe,AFC Bournemouth,2019-11-27,2019-11-29,injury-knock,https://www.transfermarkt.com/jermain-defoe/verletzungen/spieler/3875
Adam Webster,Brighton & Hove Albion,2020-06-24,2020-03-07,injury-hamstring-strain,https://www.transfermarkt.com/adam-webster/verletzungen/spieler/212847
Adam Webster,Brighton & Hove Albion,2019-07-01,2019-11-22,injury-ankle-injury,https://www.transfermarkt.com/adam-webster/verletzungen/spieler/212847
Shane Duffy,Brighton & Hove Albion,2020-01-23,2020-06-30,injury-calf-injury,https://www.transfermarkt.com/shane-duffy/verletzungen/spieler/119269
Shane Duffy,Brighton & Hove Albion,2019-09-26,2019-11-10,injury-calf-injury,https://www.transfermarkt.com/shane-duffy/verletzungen/spieler/119269
Dan Burn,Brighton & Hove Albion,2020-01-01,2020-06-30,injury-broken-collarbone,https://www.transfermarkt.com/dan-burn/verletzungen/spieler/134270
Leon Balogun,Brighton & Hove Albion,2020-05-01,2020-01-31,injury-muscle-strain,https://www.transfermarkt.com/leon-balogun/verletzungen/spieler/56100
Leon Balogun,Brighton & Hove Albion,2019-07-01,2019-11-02,injury-ill,https://www.transfermarkt.com/leon-balogun/verletzungen/spieler/56100
Tudor Băluță,Brighton & Hove Albion,2020-01-11,2020-06-30,injury-corona-virus,https://www.transfermarkt.com/tudor-baluta/verletzungen/spieler/433976
Davy Pröpper,Brighton & Hove Albion,2020-02-07,2020-03-07,injury-calf-injury,https://www.transfermarkt.com/davy-propper/verletzungen/spieler/79027
Davy Pröpper,Brighton & Hove Albion,2019-09-22,2019-10-18,injury-hamstring-injury,https://www.transfermarkt.com/davy-propper/verletzungen/spieler/79027
Aaron Mooy,Brighton & Hove Albion,2020-01-09,2020-06-30,injury-quarantine,https://www.transfermarkt.com/aaron-mooy/verletzungen/spieler/123951
Aaron Mooy,Brighton & Hove Albion,2020-02-01,2020-01-17,injury-knock,https://www.transfermarkt.com/aaron-mooy/verletzungen/spieler/123951
Dale Stephens,Brighton & Hove Albion,2020-02-02,2020-02-28,injury-hamstring-strain,https://www.transfermarkt.com/dale-stephens/verletzungen/spieler/49755
Dale Stephens,Brighton & Hove Albion,2019-07-01,2019-08-02,injury-torn-knee-ligaments,https://www.transfermarkt.com/dale-stephens/verletzungen/spieler/49755
Steven Alzate,Brighton & Hove Albion,2020-01-03,2020-06-30,injury-groin-injury,https://www.transfermarkt.com/steven-alzate/verletzungen/spieler/476237
Leandro Trossard,Brighton & Hove Albion,2020-02-11,2020-06-30,injury-groin-injury,https://www.transfermarkt.com/leandro-trossard/verletzungen/spieler/144028
Leandro Trossard,Brighton & Hove Albion,2019-07-01,2019-10-18,injury-groin-injury,https://www.transfermarkt.com/leandro-trossard/verletzungen/spieler/144028
José Izquierdo,Brighton & Hove Albion,2019-07-01,2020-02-10,injury-knee-injury,https://www.transfermarkt.com/jose-izquierdo/verletzungen/spieler/147094
Alireza Jahanbakhsh,Brighton & Hove Albion,2020-01-10,2020-05-11,injury-hamstring-injury,https://www.transfermarkt.com/alireza-jahanbakhsh/verletzungen/spieler/213268
Solly March,Brighton & Hove Albion,2020-02-11,2020-06-30,injury-ankle-injury,https://www.transfermarkt.com/solly-march/verletzungen/spieler/209212
Solly March,Brighton & Hove Albion,2020-06-07,2020-06-30,injury-muscle-injury,https://www.transfermarkt.com/solly-march/verletzungen/spieler/209212
Solly March,Brighton & Hove Albion,2020-01-17,2020-01-19,injury-minor-knock,https://www.transfermarkt.com/solly-march/verletzungen/spieler/209212
Solly March,Brighton & Hove Albion,2019-11-24,2020-06-30,injury-groin-injury,https://www.transfermarkt.com/solly-march/verletzungen/spieler/209212
Solly March,Brighton & Hove Albion,2019-09-19,2019-09-23,injury-muscle-injury,https://www.transfermarkt.com/solly-march/verletzungen/spieler/209212
Neal Maupay,Brighton & Hove Albion,2019-09-22,2019-09-27,injury-knee-injury,https://www.transfermarkt.com/neal-maupay/verletzungen/spieler/217115
Jürgen Locadia,Brighton & Hove Albion,2019-09-19,2019-09-23,injury-stomach-flu,https://www.transfermarkt.com/jurgen-locadia/verletzungen/spieler/166240
Aaron Connolly,Brighton & Hove Albion,2019-07-12,2019-12-20,injury-hamstring-strain,https://www.transfermarkt.com/aaron-connolly/verletzungen/spieler/434207
Florin Andone,Brighton & Hove Albion,2020-06-15,2020-06-30,injury-cruciate-ligament-tear,https://www.transfermarkt.com/florin-andone/verletzungen/spieler/177065
Florin Andone,Brighton & Hove Albion,2019-09-11,2020-01-29,injury-knee-medial-ligament-tear,https://www.transfermarkt.com/florin-andone/verletzungen/spieler/177065
Glenn Murray,Brighton & Hove Albion,2019-12-29,2020-06-30,injury-knock,https://www.transfermarkt.com/glenn-murray/verletzungen/spieler/45693
Ben Mee,Burnley FC,2020-03-07,2020-05-11,injury-hamstring-strain,https://www.transfermarkt.com/ben-mee/verletzungen/spieler/74810
Ben Gibson,Burnley FC,2019-08-12,2020-06-30,injury-groin-injury,https://www.transfermarkt.com/ben-gibson/verletzungen/spieler/128904
Charlie Taylor,Burnley FC,2020-03-02,2020-02-14,injury-hamstring-strain,https://www.transfermarkt.com/charlie-taylor/verletzungen/spieler/195633
Charlie Taylor,Burnley FC,2019-07-01,2019-12-20,injury-hamstring-strain,https://www.transfermarkt.com/charlie-taylor/verletzungen/spieler/195633
Matthew Lowton,Burnley FC,2020-01-10,2020-06-30,injury-knee-injury,https://www.transfermarkt.com/matthew-lowton/verletzungen/spieler/102258
Matthew Lowton,Burnley FC,2020-06-28,2020-06-30,injury-ankle-injury,https://www.transfermarkt.com/matthew-lowton/verletzungen/spieler/102258
Matthew Lowton,Burnley FC,2020-03-02,2020-06-30,injury-knee-injury,https://www.transfermarkt.com/matthew-lowton/verletzungen/spieler/102258
Matthew Lowton,Burnley FC,2019-07-01,2019-08-02,injury-toe-injury,https://www.transfermarkt.com/matthew-lowton/verletzungen/spieler/102258
Matthew Lowton,Burnley FC,2019-07-01,2019-11-01,injury-knock,https://www.transfermarkt.com/matthew-lowton/verletzungen/spieler/102258
Phil Bardsley,Burnley FC,2020-01-20,2020-01-02,injury-back-injury,https://www.transfermarkt.com/phil-bardsley/verletzungen/spieler/15773
Phil Bardsley,Burnley FC,2020-05-01,2020-06-30,injury-ill,https://www.transfermarkt.com/phil-bardsley/verletzungen/spieler/15773
Phil Bardsley,Burnley FC,2019-07-01,2019-12-13,injury-knock,https://www.transfermarkt.com/phil-bardsley/verletzungen/spieler/15773
Phil Bardsley,Burnley FC,2019-07-01,2019-11-01,injury-knock,https://www.transfermarkt.com/phil-bardsley/verletzungen/spieler/15773
Jack Cork,Burnley FC,2020-06-30,2020-06-30,injury-broken-foot,https://www.transfermarkt.com/jack-cork/verletzungen/spieler/40613
Jack Cork,Burnley FC,2019-09-29,2019-10-25,injury-shoulder-injury,https://www.transfermarkt.com/jack-cork/verletzungen/spieler/40613
Jack Cork,Burnley FC,2019-07-01,2019-09-08,injury-groin-injury,https://www.transfermarkt.com/jack-cork/verletzungen/spieler/40613
