player_name,team,start_date,end_date,type,source
Karl Hein,Arsenal FC,2022-02-23,2022-05-14,injury-finger-injury,https://www.transfermarkt.com/karl-hein/verletzungen/spieler/493513
Gabriel Magalhães,Arsenal FC,2021-07-01,2021-08-25,injury-knee-injury,https://www.transfermarkt.com/gabriel-magalhaes/verletzungen/spieler/435338
Takehiro Tomiyasu,Arsenal FC,2022-03-11,2022-06-30,injury-muscular-problems,https://www.transfermarkt.com/takehiro-tomiyasu/verletzungen/spieler/331560
Takehiro Tomiyasu,Arsenal FC,2022-02-20,2022-04-21,injury-calf-injury,https://www.transfermarkt.com/takehiro-tomiyasu/verletzungen/spieler/331560
Rob Holding,Arsenal FC,2021-07-01,2021-09-08,injury-fitness,https://www.transfermarkt.com/rob-holding/verletzungen/spieler/253341
Pablo Marí,Arsenal FC,2021-07-01,2021-08-02,injury-calf-injury,https://www.transfermarkt.com/pablo-mari/verletzungen/spieler/210178
Sead Kolasinac,Arsenal FC,2021-11-13,2022-06-30,injury-ankle-injury,https://www.transfermarkt.com/sead-kolasinac/verletzungen/spieler/94005
Kieran Tierney,Arsenal FC,2022-03-31,2022-06-30,injury-knee-surgery,https://www.transfermarkt.com/kieran-tierney/verletzungen/spieler/300716
Nuno Tavares,Arsenal FC,2021-07-01,2021-12-04,injury-ankle-injury,https://www.transfermarkt.com/nuno-tavares/verletzungen/spieler/535955
Ben White,Arsenal FC,2022-04-25,2022-05-15,injury-hamstring-injury,https://www.transfermarkt.com/ben-white/verletzungen/spieler/335721
Ainsley Maitland-Niles,Arsenal FC,2021-12-21,2021-12-31,injury-virus,https://www.transfermarkt.com/ainsley-maitland-niles/verletzungen/spieler/285845
Ryan Alebiosu,Arsenal FC,2022-02-15,2022-04-20,injury-back-injury,https://www.transfermarkt.com/ryan-alebiosu/verletzungen/spieler/610649
Thomas Partey,Arsenal FC,2022-04-04,2022-06-30,injury-unknown-injury,https://www.transfermarkt.com/thomas-partey/verletzungen/spieler/230784
Thomas Partey,Arsenal FC,2022-02-14,2022-02-22,injury-muscle-injury,https://www.transfermarkt.com/thomas-partey/verletzungen/spieler/230784
Thomas Partey,Arsenal FC,2021-07-29,2021-08-30,injury-ankle-injury,https://www.transfermarkt.com/thomas-partey/verletzungen/spieler/230784
Thomas Partey,Arsenal FC,2021-07-01,2021-11-01,injury-hip-injury,https://www.transfermarkt.com/thomas-partey/verletzungen/spieler/230784
Albert Sambi Lokonga,Arsenal FC,2021-12-17,2021-12-24,injury-corona-virus,https://www.transfermarkt.com/albert-sambi-lokonga/verletzungen/spieler/381967
Charlie Patiño,Arsenal FC,2021-10-25,2021-11-15,injury-ankle-injury,https://www.transfermarkt.com/charlie-patino/verletzungen/spieler/581674
Emile Smith Rowe,Arsenal FC,2022-02-20,2022-06-30,injury-ill,https://www.transfermarkt.com/emile-smith-rowe/verletzungen/spieler/392765
Emile Smith Rowe,Arsenal FC,2021-07-01,2021-12-04,injury-thigh-problems,https://www.transfermarkt.com/emile-smith-rowe/verletzungen/spieler/392765
Reiss Nelson,Arsenal FC,2022-02-15,2022-06-30,injury-knock,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
Reiss Nelson,Arsenal FC,2022-03-02,2022-06-30,injury-corona-virus,https://www.transfermarkt.com/reiss-nelson/verletzungen/spieler/340325
