Season,Points,Money_gbp
2024-2025,12,32476790.83094556
2024-2025,13,35183190.06685769
2024-2025,14,37889589.30276982
2024-2025,15,40595988.53868195
2024-2025,16,43302387.774594076
2024-2025,17,46008787.010506205
2024-2025,18,48715186.246418335
2024-2025,19,51421585.482330464
2024-2025,20,54127984.71824259
2024-2025,21,56834383.95415472
2024-2025,22,59540783.19006685
2024-2025,23,62247182.42597898
2024-2025,24,64953581.66189112
2024-2025,25,67659980.89780325
2024-2025,26,70366380.13371538
2024-2025,27,73072779.3696275
2024-2025,28,75779178.60553963
2024-2025,29,78485577.84145176
2024-2025,30,81191977.0773639
2024-2025,31,83898376.31327602
2024-2025,32,86604775.54918815
2024-2025,33,89311174.78510028
2024-2025,34,92017574.02101241
2024-2025,35,94723973.25692454
2024-2025,36,97430372.49283667
2024-2025,37,100136771.7287488
2024-2025,38,102843170.96466093
2024-2025,39,105549570.20057306
2024-2025,40,108255969.43648519
2024-2025,41,110962368.67239732
2024-2025,42,113668767.90830944
2024-2025,43,116375167.14422157
2024-2025,44,119081566.3801337
2024-2025,45,121787965.61604583
2024-2025,46,124494364.85195796
2024-2025,47,127200764.08787009
2024-2025,48,129907163.32378224
2024-2025,49,132613562.55969436
2024-2025,50,135319961.7956065
2024-2025,51,138026361.0315186
2024-2025,52,140732760.26743075
2024-2025,53,143439159.50334287
2024-2025,54,146145558.739255
2024-2025,55,148851957.97516713
2024-2025,56,151558357.21107927
2024-2025,57,154264756.44699138
2024-2025,58,156971155.68290353
2024-2025,59,159677554.91881564
2024-2025,60,162383954.1547278
2024-2025,61,165090353.3906399
2024-2025,62,167796752.62655205
2024-2025,63,170503151.86246416
2024-2025,64,173209551.0983763
2024-2025,65,175915950.33428845
2024-2025,66,178622349.57020056
2024-2025,67,181328748.8061127
2024-2025,68,184035148.04202482
2024-2025,69,186741547.27793697
2024-2025,70,189447946.51384908
2024-2025,71,192154345.74976122
2024-2025,72,194860744.98567334
2024-2025,73,197567144.22158548
2024-2025,74,200273543.4574976
2024-2025,75,202979942.69340974
2024-2025,76,205686341.92932186
2024-2025,77,208392741.165234
2024-2025,78,211099140.4011461
2024-2025,79,213805539.63705826
2024-2025,80,216511938.87297037
2024-2025,81,219218338.10888252
2024-2025,82,221924737.34479463
2024-2025,83,224631136.58070678
2024-2025,84,227337535.8166189
