Season,Points,Money_gbp
2019-2020,21,52477958.01526717
2019-2020,22,54976908.396946564
2019-2020,23,57475858.77862595
2019-2020,24,59974809.160305336
2019-2020,25,62473759.54198473
2019-2020,26,64972709.923664115
2019-2020,27,67471660.30534351
2019-2020,28,69970610.6870229
2019-2020,29,72469561.06870228
2019-2020,30,74968511.45038168
2019-2020,31,77467461.83206107
2019-2020,32,79966412.21374045
2019-2020,33,82465362.59541984
2019-2020,34,84964312.97709922
2019-2020,35,87463263.35877863
2019-2020,36,89962213.74045801
2019-2020,37,92461164.1221374
2019-2020,38,94960114.50381678
2019-2020,39,97459064.88549618
2019-2020,40,99958015.26717557
2019-2020,41,102456965.64885496
2019-2020,42,104955916.03053434
2019-2020,43,107454866.41221373
2019-2020,44,109953816.79389313
2019-2020,45,112452767.17557251
2019-2020,46,114951717.5572519
2019-2020,47,117450667.93893129
2019-2020,48,119949618.32061067
2019-2020,49,122448568.70229007
2019-2020,50,124947519.08396946
2019-2020,51,127446469.46564884
2019-2020,52,129945419.84732823
2019-2020,53,132444370.22900763
2019-2020,54,134943320.61068702
2019-2020,55,137442270.9923664
2019-2020,56,139941221.3740458
2019-2020,57,142440171.75572518
2019-2020,58,144939122.13740456
2019-2020,59,147438072.51908395
2019-2020,60,149937022.90076336
2019-2020,61,152435973.28244275
2019-2020,62,154934923.66412213
2019-2020,63,157433874.04580152
2019-2020,64,159932824.4274809
2019-2020,65,162431774.8091603
2019-2020,66,164930725.19083968
2019-2020,67,167429675.57251906
2019-2020,68,169928625.95419845
2019-2020,69,172427576.33587787
2019-2020,70,174926526.71755725
2019-2020,71,177425477.09923664
2019-2020,72,179924427.48091602
2019-2020,73,182423377.8625954
2019-2020,74,184922328.2442748
2019-2020,75,187421278.62595418
2019-2020,76,189920229.00763357
2019-2020,77,192419179.38931295
2019-2020,78,194918129.77099237
2019-2020,79,197417080.15267175
2019-2020,80,199916030.53435114
2019-2020,81,202414980.91603053
2019-2020,82,204913931.2977099
2019-2020,83,207412881.6793893
2019-2020,84,209911832.06106868
2019-2020,85,212410782.44274807
2019-2020,86,214909732.82442746
2019-2020,87,217408683.20610687
2019-2020,88,219907633.58778626
2019-2020,89,222406583.96946564
2019-2020,90,224905534.35114503
2019-2020,91,227404484.73282441
2019-2020,92,229903435.1145038
2019-2020,93,232402385.4961832
2019-2020,94,234901335.87786257
2019-2020,95,237400286.25954196
2019-2020,96,239899236.64122134
2019-2020,97,242398187.02290076
2019-2020,98,244897137.40458015
2019-2020,99,247396087.78625953
