Season,Points,Money_gbp
2022-2023,25,62262583.09591643
2022-2023,26,64753086.41975309
2022-2023,27,67243589.74358974
2022-2023,28,69734093.0674264
2022-2023,29,72224596.39126305
2022-2023,30,74715099.71509972
2022-2023,31,77205603.03893638
2022-2023,32,79696106.36277303
2022-2023,33,82186609.68660969
2022-2023,34,84677113.01044634
2022-2023,35,87167616.33428301
2022-2023,36,89658119.65811966
2022-2023,37,92148622.98195632
2022-2023,38,94639126.30579297
2022-2023,39,97129629.62962963
2022-2023,40,99620132.9534663
2022-2023,41,102110636.27730295
2022-2023,42,104601139.6011396
2022-2023,43,107091642.92497626
2022-2023,44,109582146.24881291
2022-2023,45,112072649.57264957
2022-2023,46,114563152.89648624
2022-2023,47,117053656.22032289
2022-2023,48,119544159.54415955
2022-2023,49,122034662.8679962
2022-2023,50,124525166.19183286
2022-2023,51,127015669.51566952
2022-2023,52,129506172.83950618
2022-2023,53,131996676.16334283
2022-2023,54,134487179.4871795
2022-2023,55,136977682.81101614
2022-2023,56,139468186.1348528
2022-2023,57,141958689.45868945
2022-2023,58,144449192.7825261
2022-2023,59,146939696.1063628
2022-2023,60,149430199.43019944
2022-2023,61,151920702.7540361
2022-2023,62,154411206.07787275
2022-2023,63,156901709.4017094
2022-2023,64,159392212.72554606
2022-2023,65,161882716.04938272
2022-2023,66,164373219.37321937
2022-2023,67,166863722.69705603
2022-2023,68,169354226.02089268
2022-2023,69,171844729.34472933
2022-2023,70,174335232.66856602
2022-2023,71,176825735.99240267
2022-2023,72,179316239.31623933
2022-2023,73,181806742.64007598
2022-2023,74,184297245.96391264
2022-2023,75,186787749.2877493
2022-2023,76,189278252.61158594
2022-2023,77,191768755.9354226
2022-2023,78,194259259.25925925
2022-2023,79,196749762.5830959
2022-2023,80,199240265.9069326
2022-2023,81,201730769.23076925
2022-2023,82,204221272.5546059
2022-2023,83,206711775.87844256
2022-2023,84,209202279.2022792
2022-2023,85,211692782.52611586
2022-2023,86,214183285.84995252
2022-2023,87,216673789.17378917
2022-2023,88,219164292.49762583
2022-2023,89,221654795.82146248
