Season,Points,Money_gbp
2023-2024,16,43075992.438563325
2023-2024,17,45768241.96597353
2023-2024,18,48460491.49338374
2023-2024,19,51152741.020793945
2023-2024,20,53844990.548204154
2023-2024,21,56537240.07561436
2023-2024,22,59229489.60302457
2023-2024,23,61921739.13043478
2023-2024,24,64613988.65784499
2023-2024,25,67306238.1852552
2023-2024,26,69998487.71266541
2023-2024,27,72690737.2400756
2023-2024,28,75382986.76748581
2023-2024,29,78075236.29489602
2023-2024,30,80767485.82230623
2023-2024,31,83459735.34971644
2023-2024,32,86151984.87712665
2023-2024,33,88844234.40453686
2023-2024,34,91536483.93194707
2023-2024,35,94228733.45935728
2023-2024,36,96920982.98676749
2023-2024,37,99613232.5141777
2023-2024,38,102305482.04158789
2023-2024,39,104997731.5689981
2023-2024,40,107689981.09640831
2023-2024,41,110382230.62381852
2023-2024,42,113074480.15122873
2023-2024,43,115766729.67863894
2023-2024,44,118458979.20604914
2023-2024,45,121151228.73345935
2023-2024,46,123843478.26086956
2023-2024,47,126535727.78827977
2023-2024,48,129227977.31568998
2023-2024,49,131920226.84310018
2023-2024,50,134612476.3705104
2023-2024,51,137304725.8979206
2023-2024,52,139996975.42533082
2023-2024,53,142689224.95274103
2023-2024,54,145381474.4801512
2023-2024,55,148073724.00756142
2023-2024,56,150765973.53497162
2023-2024,57,153458223.06238183
2023-2024,58,156150472.58979204
2023-2024,59,158842722.11720225
2023-2024,60,161534971.64461246
2023-2024,61,164227221.17202267
2023-2024,62,166919470.69943288
2023-2024,63,169611720.2268431
2023-2024,64,172303969.7542533
2023-2024,65,174996219.2816635
2023-2024,66,177688468.80907372
2023-2024,67,180380718.33648393
2023-2024,68,183072967.86389413
2023-2024,69,185765217.39130434
2023-2024,70,188457466.91871455
2023-2024,71,191149716.44612476
2023-2024,72,193841965.97353497
2023-2024,73,196534215.50094518
2023-2024,74,199226465.0283554
2023-2024,75,201918714.55576557
2023-2024,76,204610964.08317578
2023-2024,77,207303213.610586
2023-2024,78,209995463.1379962
2023-2024,79,212687712.6654064
2023-2024,80,215379962.19281662
2023-2024,81,218072211.72022682
2023-2024,82,220764461.24763703
2023-2024,83,223456710.77504724
2023-2024,84,226148960.30245745
2023-2024,85,228841209.82986766
2023-2024,86,231533459.35727787
2023-2024,87,234225708.88468808
2023-2024,88,236917958.4120983
2023-2024,89,239610207.9395085
2023-2024,90,242302457.4669187
2023-2024,91,244994706.99432892
