season,Date,team,h_team,a_team,player_id,player_name,Min,started,goals,assists,xG,xA
2021,2022-05-22,Aston Villa,Manchester City,Aston Villa,8865,Ollie Watkins,90,True,0,1,0.0868697986006736,0.1008400022983551
2021,2022-05-19,Aston Villa,Aston Villa,Burnley,8865,Ollie Watkins,79,True,0,0,0.0934157967567443,0.0222264006733894
2021,2022-05-15,Aston Villa,Aston Villa,Crystal Palace,8865,Ollie Watkins,90,True,1,0,0.3421320021152496,0.1015829965472221
2021,2022-05-10,Aston Villa,Aston Villa,Liverpool,8865,Ollie Watkins,84,True,0,0,0.1526249945163726,0.0
2021,2022-05-07,Aston Villa,Burnley,Aston Villa,8865,Ollie Watkins,90,True,1,0,0.7295330166816711,0.1134060025215148
2021,2022-04-30,Aston Villa,Aston Villa,Norwich,8865,Ollie Watkins,90,True,1,0,0.5439320206642151,0.5307360291481018
2021,2022-04-23,Aston Villa,Leicester,Aston Villa,8865,Ollie Watkins,90,True,0,0,0.207953006029129,0.1280030012130737
2021,2022-04-09,Aston Villa,Aston Villa,Tottenham,8865,Ollie Watkins,90,True,0,0,0.1826580017805099,0.0900418013334274
2021,2022-04-02,Aston Villa,Wolverhampton Wanderers,Aston Villa,8865,Ollie Watkins,90,True,1,0,1.2116999626159668,0.0825679004192352
2021,2022-03-19,Aston Villa,Aston Villa,Arsenal,8865,Ollie Watkins,85,True,0,0,0.0308042000979185,0.0
2021,2022-03-13,Aston Villa,West Ham,Aston Villa,8865,Ollie Watkins,90,True,0,0,0.1243830025196075,0.0
2021,2022-03-10,Aston Villa,Leeds,Aston Villa,8865,Ollie Watkins,90,True,0,0,0.2261649966239929,0.0
2021,2022-03-05,Aston Villa,Aston Villa,Southampton,8865,Ollie Watkins,90,True,1,0,0.5966169834136963,0.8462809920310974
2021,2022-02-26,Aston Villa,Brighton,Aston Villa,8865,Ollie Watkins,90,True,1,0,0.3024559915065765,0.0
2021,2022-02-19,Aston Villa,Aston Villa,Watford,8865,Ollie Watkins,31,False,0,0,0.0893483981490135,0.0190066993236541
2021,2022-02-13,Aston Villa,Newcastle United,Aston Villa,8865,Ollie Watkins,78,True,0,0,0.030001999810338,0.0
2021,2022-02-09,Aston Villa,Aston Villa,Leeds,8865,Ollie Watkins,90,True,0,0,0.1110839992761612,0.0679406002163887
