season,Date,team,h_team,a_team,player_id,player_name,Min,started,goals,assists,xG,xA
2019,2020-07-26,Aston Villa,West Ham,Aston Villa,675,Jack Grealish,90,True,1,0,0.2470490038394928,0.0376069992780685
2019,2020-07-21,Aston Villa,Aston Villa,Arsenal,675,Jack Grealish,90,True,0,0,0.0210804995149374,0.3559809923171997
2019,2020-07-16,Aston Villa,Everton,Aston Villa,675,Jack Grealish,90,True,0,0,0.1772029995918274,0.3819159865379333
2019,2020-07-12,Aston Villa,Aston Villa,Crystal Palace,675,Jack Grealish,90,True,0,0,0.1257389932870865,0.0746845975518226
2019,2020-07-09,Aston Villa,Aston Villa,Manchester United,675,Jack Grealish,90,True,0,0,0.0755470991134643,0.0
2019,2020-07-05,Aston Villa,Liverpool,Aston Villa,675,Jack Grealish,90,True,0,0,0.3444010019302368,0.1034639999270439
2019,2020-06-27,Aston Villa,Aston Villa,Wolverhampton Wanderers,675,Jack Grealish,90,True,0,0,0.0852893963456153,0.0930505990982055
2019,2020-06-24,Aston Villa,Newcastle United,Aston Villa,675,Jack Grealish,90,True,0,0,0.0,0.1982260048389434
2019,2020-06-21,Aston Villa,Aston Villa,Chelsea,675,Jack Grealish,90,True,0,0,0.0,0.0458652004599571
2019,2020-06-17,Aston Villa,Aston Villa,Sheffield United,675,Jack Grealish,90,True,0,0,0.0,0.1488620042800903
2019,2020-03-09,Aston Villa,Leicester,Aston Villa,675,Jack Grealish,90,True,0,0,0.0,0.0
2019,2020-02-22,Aston Villa,Southampton,Aston Villa,675,Jack Grealish,90,True,0,0,0.039028100669384,0.3044820129871368
2019,2020-02-16,Aston Villa,Aston Villa,Tottenham,675,Jack Grealish,90,True,0,1,0.1769440025091171,0.9644489884376526
2019,2020-02-01,Aston Villa,Bournemouth,Aston Villa,675,Jack Grealish,90,True,0,0,0.2254659980535507,0.2767030000686645
2019,2020-01-21,Aston Villa,Aston Villa,Watford,675,Jack Grealish,90,True,0,0,0.0755070000886917,0.2103070020675659
2019,2020-01-18,Aston Villa,Brighton,Aston Villa,675,Jack Grealish,90,True,1,0,0.262933999300003,0.3476530015468597
2019,2020-01-12,Aston Villa,Aston Villa,Manchester City,675,Jack Grealish,90,True,0,0,0.1388410031795501,0.0588814988732337
2019,2020-01-01,Aston Villa,Burnley,Aston Villa,675,Jack Grealish,90,True,1,0,0.0912742018699646,0.3364750146865845
2019,2019-12-28,Aston Villa,Watford,Aston Villa,675,Jack Grealish,90,True,0,0,0.0701996982097625,0.1009960025548935
2019,2019-12-26,Aston Villa,Aston Villa,Norwich,675,Jack Grealish,90,True,0,1,0.0804463997483253,0.1802700012922287
