player_name,team_id,season,beta_unavailable,se_unavailable,n_matches,n_unavail,n_avail,xpts_per_match_present,xpts_season_total,gbp_per_point,value_gbp_per_match,value_gbp_season_total
Aaron Connolly,Brighton,2019,-0.24573324136868693,0.34531105338542856,38,18,20,0.24573324136868693,9.337863172010103,2498950.381679389,614075.1773095937,23334856.737764556
Aaron Connolly,Brighton,2020,0.0014791172731914437,0.20475250791968508,36,18,18,-0.0014791172731914437,-0.05324822183489197,2397918.6376537364,-3546.802876661336,-127684.9035598081
Aaron Cresswell,West Ham,2019,-0.050225613457230076,0.2896452827613958,38,23,15,0.050225613457230076,1.908573311374743,2498950.381679389,125511.31591902656,4769430.004923009
Aaron Cresswell,West Ham,2024,0.17835711573936014,0.47501118135052817,34,2,32,-0.17835711573936014,-6.064141935138244,2706399.23591213,-482705.5617564957,-16411989.09972085
Aaron Hickey,Brentford,2022,-0.020327815284136075,0.2455169135463705,38,29,9,0.020327815284136075,0.7724569807971708,2490503.323836657,50626.491531478496,1923806.678196183
Aaron Hickey,Brentford,2024,0.2592121881667635,0.767511800594142,31,29,2,-0.2592121881667635,-8.035577833169668,2706399.23591213,-701531.6679936401,-21747481.70780284
Aaron Lennon,Burnley,2019,0.07664720705505795,0.3107257359270548,38,14,24,-0.07664720705505795,-2.9125938680922023,2498950.381679389,-191537.56732489626,-7278427.558346057
Aaron Mooy,Brighton,2019,0.1264423848354251,0.8864550165308414,38,11,27,-0.1264423848354251,-4.804810623746154,2498950.381679389,-315973.2458449378,-12006983.342107635
Aaron Ramsdale,Arsenal,2024,0.037824937935835426,0.23241442493884779,38,6,32,-0.037824937935835426,-1.437347641561746,2706399.23591213,-102369.38312796874,-3890036.558862812
Aaron Ramsdale,Southampton,2024,0.006037757230533271,0.16934214960926305,38,6,32,-0.006037757230533271,-0.2294347747602643,2706399.23591213,-16340.581555338184,-620942.099102851
Aaron Ramsey,Burnley,2023,0.17698462620513705,0.2943296210072789,38,14,24,-0.17698462620513705,-6.725415795795208,2692249.527410207,-476486.77625965234,-18106497.49786679
Aaron Wan-Bissaka,Man United,2019,0.24397167213625692,0.3091095893074694,38,15,23,-0.24397167213625692,-9.270923541177764,2498950.381679389,-609673.103203858,-23167577.921746608
Aaron Wan-Bissaka,Man United,2021,-0.08373439127447613,0.1561705756676856,33,5,28,0.08373439127447613,2.763234912057712,2494866.920152091,208906.16286976237,6893903.374702158
Aaron Wan-Bissaka,Man United,2022,-0.5070731050008294,0.31506299705082524,27,3,24,0.5070731050008294,13.690973835022392,2490503.323836657,1262867.2534327398,34097415.84268397
Aaron Wan-Bissaka,Man United,2023,-0.25133642236529147,0.48383436828639986,25,9,16,0.25133642236529147,6.283410559132287,2692249.527410207,676660.3643339281,16916509.108348202
Aarón Anselmino,Chelsea,2024,-0.38715171862801057,0.46354732398932497,38,28,10,0.38715171862801057,14.711765307864402,2706399.23591213,1047787.1154769158,39815910.388122804
Abdallah Sima,Brighton,2021,0.052719972307690086,0.27933443852064227,38,30,8,-0.052719972307690086,-2.0033589476922233,2494866.920152091,-131529.31494179028,-4998113.967788031
Abdallah Sima,Brighton,2023,0.17819796737111246,0.3283856285894045,32,10,22,-0.17819796737111246,-5.702334955875599,2692249.527410207,-479753.393440337,-15352108.590090783
Abdoulaye Doucouré,Everton,2020,0.14102161928628654,0.2297946051403096,38,11,27,-0.14102161928628654,-5.358821532878888,2397918.6376537364,-338158.3691986961,-12850018.029550452
Abdoulaye Doucouré,Everton,2021,-0.021014027040821073,0.3021857403679355,35,8,27,0.021014027040821073,0.7354909464287376,2494866.920152091,52427.20092332603,1834952.0323164111
Abdoulaye Doucouré,Everton,2023,0.2793764581509939,0.5733589236313059,32,20,12,-0.2793764581509939,-8.940046660831804,2692249.527410207,-752151.1374265507,-24068836.397649623
Abdoulaye Doucouré,Everton,2024,-0.6028088236438447,0.6507291534755479,30,10,20,0.6028088236438447,18.08426470931534,2706399.23591213,1631441.3397107914,48943240.19132374
Abdul Rahman Baba,Chelsea,2021,-0.1121974691862338,0.2217758782090611,38,5,33,0.1121974691862338,4.2635038290768845,2494866.920152091,279917.75439751823,10636874.667105693
Abdul Rahman Baba,Chelsea,2022,-0.01808202256735513,0.2379336082078957,33,20,13,0.01808202256735513,0.5967067447227193,2490503.323836657,45033.3373056874,1486100.1310876843
Aboubakar Kamara,Fulham,2020,0.10555993889210627,0.2495944630538038,38,18,20,-0.10555993889210627,-4.011277677900038,2397918.6376537364,-253124.14485897112,-9618717.504640903
Adalberto Peñaranda,Watford,2019,0.12696709292519476,0.367480683246443,38,10,28,-0.12696709292519476,-4.8247495311574005,2498950.381679389,-317284.4653261379,-12056809.68239324
Adam Forshaw,Leeds,2021,-0.011062990912354742,0.15127402777153892,34,17,17,0.011062990912354742,0.37614169102006123,2494866.920152091,27600.690065177045,938423.4622160195
Adam Idah,Norwich,2019,0.08133206286565489,0.40024777240679305,38,7,31,-0.08133206286565489,-3.0906183888948857,2498950.381679389,-203244.78954090035,-7723302.002554214
Adam Lallana,Brighton,2020,0.00854475573178251,0.3256411882011761,38,25,13,-0.00854475573178251,-0.3247007178077354,2397918.6376537364,-20489.629023439873,-778605.9028907152
Adam Lallana,Brighton,2021,0.02483621215610856,0.2734493567837089,35,18,17,-0.02483621215610856,-0.8692674254637996,2494866.920152091,-61963.044130154485,-2168706.544555407
Adam Lallana,Brighton,2022,0.06045549369287205,0.42968920883883027,29,9,20,-0.06045549369287205,-1.7532093170932894,2490503.323836657,-150564.6079862839,-4366373.631602233
Adam Smith,Bournemouth,2019,-0.24647582247045768,0.4367145445857482,38,26,12,0.24647582247045768,9.366081253877391,2498950.381679389,615930.8506372916,23405372.324217077
Adam Smith,Bournemouth,2024,0.020652213737258784,0.34973095738809656,31,9,22,-0.020652213737258784,-0.6402186258550223,2706399.23591213,-55893.135478411175,-1732687.1998307463
Adam Webster,Brighton,2019,-0.24564382139084806,0.28448155467087577,38,22,16,0.24564382139084806,9.334465212852226,2498950.381679389,613851.7212218435,23326365.40643005
Adam Webster,Brighton,2020,-0.28979685468770966,0.3444261161050092,36,21,15,0.28979685468770966,10.432686768757549,2397918.6376537364,694909.2789890906,25016734.04360726
Adam Webster,Brighton,2021,-0.0021549416388617387,0.38629489047708593,29,22,7,0.0021549416388617387,0.06249330752699042,2494866.920152091,5376.292609654485,155912.48567998008
Adam Webster,Brighton,2022,-0.3434342188969034,0.27445450877502564,24,11,13,0.3434342188969034,8.24242125352568,2490503.323836657,855324.063681984,20527777.528367616
Adam Webster,Brighton,2023,0.12858708967191768,1.0308758237252484,23,6,17,-0.12858708967191768,-2.9575030624541068,2692249.527410207,-346188.53140027425,-7962336.2222063085
Adam Webster,Brighton,2024,-0.42876112150987344,0.33584990182228774,27,10,17,0.42876112150987344,11.576550280766583,2706399.23591213,1160398.7716431494,31330766.834365036
Adam Wharton,Crystal Palace,2023,0.20607153680879528,0.5242739313832459,38,20,18,-0.20607153680879528,-7.830718398734221,2692249.527410207,-554795.9975861742,-21082247.908274617
Adam Wharton,Crystal Palace,2024,0.1058585746571481,0.4626338228524104,34,17,17,-0.1058585746571481,-3.5991915383430353,2706399.23591213,-286495.5655668528,-9740849.229272995
Adama Traoré,Fulham,2023,0.14514685108537492,0.4180206209333426,38,26,12,-0.14514685108537492,-5.515580341244247,2692249.527410207,-390771.5412396803,-14849318.56710785
Adama Traoré,Fulham,2024,-0.5648700426427425,0.37798093447430076,35,4,31,0.5648700426427425,19.77045149249599,2706399.23591213,1528763.851797971,53506734.81292898
Adama Traoré,Wolves,2019,0.1940400825367068,0.28713871416864106,38,4,34,-0.1940400825367068,-7.373523136394859,2498950.381679389,-484896.53831620363,-18426068.45601574
Adama Traoré,Wolves,2022,0.36432385761307023,0.47662631218969354,29,2,27,-0.36432385761307023,-10.565391870779036,2490503.323836657,-907349.7783383444,-26313143.57181199
Admiral Muskwe,Luton,2023,0.014895994149775438,0.31477029493777164,38,26,12,-0.014895994149775438,-0.5660477776914666,2692249.527410207,-40103.73321003813,-1523941.861981449
Adnan Kanuric,Nott'm Forest,2022,0.0481579790652962,0.26366143775772205,38,6,32,-0.0481579790652962,-1.8300032044812558,2490503.323836657,-119937.60693137634,-4557629.063392301
Adrián,Liverpool,2020,-0.3074541095581184,0.18384193934682797,38,12,26,0.3074541095581184,11.6832561632085,2397918.6376537364,737249.939532646,28015497.702240545
Adrián,Liverpool,2021,0.07311099043162606,0.3715352728759266,34,20,14,-0.07311099043162606,-2.485773674675286,2494866.920152091,-182402.1915274199,-6201674.511932276
Adrián Bernabé,Man City,2020,-0.14901463817268804,0.20956750588006812,38,16,22,0.14901463817268804,5.662556250562146,2397918.6376537364,357324.97815751657,13578349.16998563
Ainsley Maitland-Niles,Arsenal,2019,-0.15545221784643148,0.4464946919564754,38,2,36,0.15545221784643148,5.907184278164396,2498950.381679389,388467.3791202475,14761760.406569405
Ainsley Maitland-Niles,Arsenal,2020,0.10809262260512825,0.2649718774043324,34,6,28,-0.10809262260512825,-3.6751491685743605,2397918.6376537364,-259197.3143377086,-8812708.687482093
Ainsley Maitland-Niles,Arsenal,2022,-0.2723255925426198,1.122405048030434,28,8,20,0.2723255925426198,7.625116591193354,2490503.323836657,678227.7933931818,18990378.21500909
Ainsley Maitland-Niles,Southampton,2022,0.0029934975303653882,0.31302739212641195,38,11,27,-0.0029934975303653882,-0.11375290615388475,2490503.323836657,-7455.315549271824,-283301.99087232933
Ainsley Maitland-Niles,West Brom,2020,0.17108304363226878,0.25840805048339177,38,5,33,-0.17108304363226878,-6.501155658026214,2397918.6376537364,-410243.2189123447,-15589242.3186691
Albert Grønbæk,Southampton,2024,-0.15814710614772828,0.5619603970790409,38,16,22,0.15814710614772828,6.009590033613675,2706399.23591213,428009.2072399264,16264349.875117201
Albert Sambi Lokonga,Arsenal,2021,0.1632112169323366,0.34367877255166085,38,3,35,-0.1632112169323366,-6.20202624342879,2494866.920152091,-407190.2661222534,-15473230.112645628
