season,team_id,player_id,player_name,injury_player_name_raw,beta_unavailable,se_unavailable,n_matches,n_unavail,n_avail,xpts_per_match_present,xpts_season_total,gbp_per_point,value_gbp_per_match,value_gbp_season_total
2019,Newcastle,1545,Emil Krafth,Emil Krafth,-0.6491170095256136,0.2186735232133585,38,8,30,0.6491170095256136,24.666446361973318,2498950.381679389,1622111.1987086155,61640225.55092739
2019,Sheffield United,7711,David McGoldrick,David McGoldrick,-0.5811981184389543,0.3325875001232407,38,5,33,0.5811981184389543,22.08552850068026,2498950.381679389,1452385.2599043676,55190639.87636597
2019,Leicester,807,Jonny Evans,Jonny Evans,-0.552543598033498,0.2474916667729982,38,15,23,0.552543598033498,20.99665672527292,2498950.381679389,1380779.0352003127,52469603.33761188
2019,Man United,,Lee Grant,Lee Grant,-0.5271756297114887,0.3638728086827005,38,9,29,0.5271756297114887,20.03267392903657,2498950.381679389,1317385.741079597,50060658.16102468
2019,Bournemouth,579,Nathan Aké,Nathan Aké,-0.5238490833317052,0.4543031517185186,38,30,8,0.5238490833317052,19.9062651666048,2498950.381679389,1309072.866734163,49744768.935898185
2019,Newcastle,87,Joelinton,Joelinton,-0.500405332202657,0.3046811425763013,38,6,32,0.500405332202657,19.015402623700968,2498950.381679389,1250488.0959022313,47518547.64428479
2019,Watford,,Jose Cholevas,Jose Cholevas,-0.4728944873712512,0.3806773957366333,38,28,10,0.4728944873712512,17.969990520107547,2498950.381679389,1181739.8597104673,44906114.66899776
2019,Chelsea,,Marco van Ginkel,Marco van Ginkel,-0.4665565070613161,0.9272319223874614,38,31,7,0.4665565070613161,17.729147268330014,2498950.381679389,1165901.561395879,44304259.33304339
2019,Leicester,6818,James Maddison,James Maddison,-0.4639871245377579,0.1886952260792816,38,11,27,0.4639871245377579,17.6315107324348,2498950.381679389,1159480.8019579523,44060270.47440219
2019,Burnley,669,Ashley Westwood,Ashley Westwood,-0.4455505469665669,0.1558558706307697,38,8,30,0.4455505469665669,16.93092078472954,2498950.381679389,1113408.7093995628,42309530.95718339
2019,Man United,549,Timothy Fosu-Mensah,Timothy Fosu-Mensah,-0.44529094817687,0.4718976638703241,38,32,6,0.44529094817687,16.92105603072106,2498950.381679389,1112759.9849049663,42284879.426388726
2019,Man United,5560,Scott McTominay,Scott McTominay,-0.4387869329811136,0.2250940178307143,38,12,26,0.4387869329811136,16.673903453282318,2498950.381679389,1096506.7736490823,41667257.39866513
2019,Arsenal,6722,Konstantinos Mavropanos,Konstantinos Mavropanos,-0.4294375092628339,0.4605025715351957,38,4,34,0.4294375092628339,16.318625351987688,2498950.381679389,1073143.027679805,40779435.05183259
2019,Bournemouth,8090,Lloyd Kelly,Lloyd Kelly,-0.3908971043586528,0.2199936451949997,38,34,4,0.3908971043586528,14.854089965628807,2498950.381679389,976832.4681344236,37119633.78910809
2019,Arsenal,847,Cédric Soares,Cédric Soares,-0.3874947265087169,0.206679247631176,38,11,27,0.3874947265087169,14.724799607331242,2498950.381679389,968330.0947077088,36796543.59889293
2019,Burnley,857,Phil Bardsley,Phil Bardsley,-0.3815895751720529,0.4997224211287187,38,21,17,0.3815895751720529,14.500403856538012,2498950.381679389,953573.4145210776,36235789.75180096
2019,Newcastle,47,Yoshinori Muto,Yoshinori Muto,-0.3749526981240689,0.5039406781255453,38,3,35,0.3749526981240689,14.248202528714618,2498950.381679389,936988.1880888588,35605551.147376634
2019,Leicester,1234,Dennis Praet,Dennis Praet,-0.3746760804448723,0.21721269229237,38,7,31,0.3746760804448723,14.237691056905147,2498950.381679389,936296.9342338511,35579283.50088635
2019,Man United,7438,James Garner,James Garner,-0.3688483224656029,0.3757178558916474,38,8,30,0.3688483224656029,14.016236253692911,2498950.381679389,921733.6562072207,35025878.935874395
2019,Leicester,748,Wes Morgan,Wes Morgan,-0.3619713504916011,0.3586086031790579,38,18,20,0.3619713504916011,13.754911318680843,2498950.381679389,904548.4444679904,34372840.88978364
2019,Man United,951,Phil Jones,Phil Jones,-0.359301740226412,0.202850216855022,38,3,35,0.359301740226412,13.653466128603656,2498950.381679389,897877.2208768611,34119334.393320724
2019,Burnley,4456,Chris Wood,Chris Wood,-0.3435605406242571,0.2509477492094933,38,13,25,0.3435605406242571,13.055300543721772,2498950.381679389,858540.7441229648,32624548.27667266
2019,Aston Villa,,Wesley Moraes,Wesley Moraes,-0.3315100256698666,0.4423199829576346,38,12,26,0.3315100256698666,12.597380975454932,2498950.381679389,828427.1051782573,31480229.99677378
2019,Southampton,5261,Kevin Danso,Kevin Danso,-0.3304961744185221,0.4982038374598043,38,11,27,0.3304961744185221,12.55885462790384,2498950.381679389,825893.5412067437,31383954.565856263
2019,Arsenal,8380,Pablo Marí,Pablo Marí,-0.3229858624402351,0.382604454498765,38,3,35,0.3229858624402351,12.273462772728934,2498950.381679389,807125.6442220721,30670774.480438743
2019,Wolves,6857,Morgan Gibbs-White,Morgan Gibbs-White,-0.3195066514759039,0.46069735608755,38,32,6,0.3195066514759039,12.14125275608435,2498950.381679389,798431.2686548138,30340388.208882924
2019,Newcastle,743,Dwight Gayle,Dwight Gayle,-0.3181942138641343,0.4743926649069532,38,10,28,0.3181942138641343,12.091380126837104,2498950.381679389,795151.5521839516,30215758.98299016
2019,West Ham,533,Mark Noble,Mark Noble,-0.3180083827099346,0.3562825578405515,38,17,21,0.3180083827099346,12.084318542977517,2498950.381679389,794687.1693502363,30198112.43530898
