player_id,player_name_rot,team_id,season,n_matches_rot,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity,injury_player_name_raw,beta_unavailable,se_unavailable,n_matches_inj,n_unavail,n_avail,xpts_per_match_present,xpts_season_total,gbp_per_point,value_gbp_per_match,value_gbp_season_total,player_name_inj
10036,Jeremy Sarmiento,Brighton,2022,9.0,1.0,0.1111111111111111,4.0,0.0,0.0,3.0,0.0,0.0,0.0,Jeremy Sarmiento,-0.2112028026992668,,33,6,27,0.2112028026992668,6.969692489075806,2490503.323836657,526001.2821261417,17358042.31016268,Jeremy Sarmiento
10050,Micky van de Ven,Tottenham,2023,27.0,27.0,1.0,11.0,11.0,1.0,10.0,10.0,1.0,0.0,Micky van de Ven,0.0681392229527537,,38,21,17,-0.0681392229527537,-2.589290472204644,2648255.813953488,-180450.0933429032,-6857103.547030319,Micky van de Ven
10050,Micky van de Ven,Tottenham,2024,13.0,12.0,0.9230769230769232,3.0,3.0,1.0,5.0,5.0,1.0,0.0,Micky van de Ven,0.6093134459927152,,35,31,4,-0.6093134459927152,-21.32597060974503,2706399.23591213,-1649045.444665671,-57716590.5632985,Micky van de Ven
10053,Paris Maghoma,Brentford,2024,8.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,Paris Maghoma,0.1998108134822941,,34,23,11,-0.1998108134822941,-6.793567658398002,2706399.23591213,-540767.8329354621,-18386106.31980571,Paris Maghoma
1006,Luke Shaw,Manchester United,2019,24.0,20.0,0.8333333333333334,10.0,9.0,0.9,9.0,7.0,0.7777777777777778,0.1222222222222222,Luke Shaw,-0.1270417406151755,,38,14,24,0.1270417406151755,4.827586143376671,2501307.847082495,317770.5027077575,12075279.102894789,Luke Shaw
1006,Luke Shaw,Manchester United,2020,32.0,30.0,0.9375,11.0,11.0,1.0,11.0,9.0,0.8181818181818182,0.1818181818181817,Luke Shaw,0.1490149795511444,,36,9,27,-0.1490149795511444,-5.364539263841199,2363249.5164410057,-352159.5783667084,-12677744.821201503,Luke Shaw
1006,Luke Shaw,Manchester United,2021,20.0,19.0,0.95,4.0,4.0,1.0,9.0,8.0,0.8888888888888888,0.1111111111111111,Luke Shaw,-0.043962540327261,,33,19,14,0.043962540327261,1.4507638307996158,2494866.920152091,109680.68758833596,3619462.690415087,Luke Shaw
1006,Luke Shaw,Manchester United,2022,31.0,30.0,0.967741935483871,11.0,10.0,0.9090909090909092,10.0,10.0,1.0,-0.0909090909090909,Luke Shaw,-0.1848911908562888,,27,5,22,0.1848911908562888,4.9920621531198,2490503.323836657,460472.1253757053,12432747.385144042,Luke Shaw
1006,Luke Shaw,Manchester United,2023,12.0,12.0,1.0,4.0,4.0,1.0,4.0,4.0,1.0,0.0,Luke Shaw,0.3115826410660645,,25,19,6,-0.3115826410660645,-7.789566026651612,2648255.813953488,-825150.540730188,-20628763.5182547,Luke Shaw
1006,Luke Shaw,Manchester United,2024,7.0,4.0,0.5714285714285714,4.0,3.0,0.75,3.0,1.0,0.3333333333333333,0.4166666666666667,Luke Shaw,0.5451419169748923,,23,16,7,-0.5451419169748923,-12.538264090422524,2706399.23591213,-1475371.6675645225,-33933548.35398402,Luke Shaw
10097,Przemyslaw Placheta,Norwich,2021,12.0,6.0,0.5,5.0,2.0,0.4,4.0,2.0,0.5,-0.0999999999999999,Przemyslaw Placheta,0.0783249215619042,,38,5,33,-0.0783249215619042,-2.976347019352362,2494866.920152091,-195410.2558283022,-7425589.721475483,Przemyslaw Placheta
101,Allan Saint-Maximin,Newcastle United,2021,35.0,31.0,0.8857142857142857,13.0,11.0,0.8461538461538461,13.0,12.0,0.9230769230769232,-0.0769230769230769,Allan Saint-Maximin,0.1913957403230055,,38,17,21,-0.1913957403230055,-7.273038132274209,2494866.920152091,-477506.9011898861,-18145262.24521568,Allan Saint-Maximin
101,Allan Saint-Maximin,Newcastle United,2022,25.0,12.0,0.48,9.0,6.0,0.6666666666666666,10.0,5.0,0.5,0.1666666666666666,Allan Saint-Maximin,-0.0464019273446919,,33,14,19,0.0464019273446919,1.5312636023748356,2490503.323836657,115564.15428438249,3813617.091384621,Allan Saint-Maximin
10120,Conor Bradley,Liverpool,2023,11.0,10.0,0.9090909090909092,4.0,4.0,1.0,5.0,4.0,0.8,0.1999999999999999,Conor Bradley,-0.0008797688169717,,38,22,16,0.0008797688169717,0.0334312150449283,2648255.813953488,2329.852884480548,88534.40961026082,Conor Bradley
10120,Conor Bradley,Liverpool,2024,19.0,7.0,0.3684210526315789,7.0,2.0,0.2857142857142857,8.0,3.0,0.375,-0.0892857142857143,Conor Bradley,0.0930481684119777,,33,12,21,-0.0930481684119777,-3.0705895575952646,2706399.23591213,-251825.4918931997,-8310241.23247559,Conor Bradley
10166,Kasey McAteer,Leicester,2024,18.0,9.0,0.5,5.0,4.0,0.8,7.0,3.0,0.4285714285714285,0.3714285714285715,Kasey McAteer,-0.0500515056949691,,36,21,15,0.0500515056949691,1.801854205018888,2706399.23591213,135459.356769116,4876536.843688177,Kasey McAteer
1017,Matej Vydra,Burnley,2020,28.0,15.0,0.5357142857142857,11.0,4.0,0.3636363636363636,8.0,6.0,0.75,-0.3863636363636363,Matej Vydra,0.1383626446351936,,38,26,12,-0.1383626446351936,-5.257780496137359,2363249.5164410057,-326985.4530276201,-12425447.215049565,Matej Vydra
