player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity
10177,Evan Ferguson,Brighton,2023,27.0,15.0,0.5555555555555556,7.0,3.0,0.42857142857142855,12.0,7.0,0.5833333333333334,-0.15476190476190482
10177,Evan Ferguson,Brighton,2024,17.0,2.0,0.11764705882352941,6.0,1.0,0.16666666666666666,7.0,1.0,0.14285714285714285,0.023809523809523808
10177,Evan Ferguson,West Ham,2024,13.0,2.0,0.15384615384615385,3.0,1.0,0.3333333333333333,4.0,0.0,0.0,0.3333333333333333
1018,Josh Cullen,Burnley,2023,25.0,23.0,0.92,6.0,6.0,1.0,10.0,9.0,0.9,0.09999999999999998
10184,Archie Gray,Tottenham,2024,28.0,19.0,0.6785714285714286,11.0,10.0,0.9090909090909091,11.0,4.0,0.36363636363636365,0.5454545454545454
10187,Jarell Quansah,Liverpool,2023,17.0,13.0,0.7647058823529411,5.0,3.0,0.6,4.0,4.0,1.0,-0.4
10187,Jarell Quansah,Liverpool,2024,13.0,4.0,0.3076923076923077,6.0,3.0,0.5,4.0,1.0,0.25,0.25
10205,Myles Peart-Harris,Brentford,2023,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
10216,Lewis Hall,Chelsea,2022,9.0,8.0,0.8888888888888888,6.0,5.0,0.8333333333333334,2.0,2.0,1.0,-0.16666666666666663
10216,Lewis Hall,Newcastle,2023,18.0,8.0,0.4444444444444444,6.0,1.0,0.16666666666666666,7.0,3.0,0.42857142857142855,-0.26190476190476186
10216,Lewis Hall,Newcastle,2024,27.0,24.0,0.8888888888888888,11.0,9.0,0.8181818181818182,8.0,8.0,1.0,-0.18181818181818177
1024,Tyrone Mings,Aston Villa,2019,33.0,33.0,1.0,13.0,13.0,1.0,11.0,11.0,1.0,0.0
1024,Tyrone Mings,Aston Villa,2020,36.0,36.0,1.0,12.0,12.0,1.0,12.0,12.0,1.0,0.0
1024,Tyrone Mings,Aston Villa,2021,36.0,35.0,0.9722222222222222,13.0,13.0,1.0,13.0,13.0,1.0,0.0
1024,Tyrone Mings,Aston Villa,2022,35.0,35.0,1.0,12.0,12.0,1.0,12.0,12.0,1.0,0.0
1024,Tyrone Mings,Aston Villa,2024,14.0,12.0,0.8571428571428571,3.0,3.0,1.0,5.0,4.0,0.8,0.19999999999999996
1025,Daniel Bachmann,Watford,2021,12.0,12.0,1.0,5.0,5.0,1.0,5.0,5.0,1.0,0.0
10290,Edo Kayembe,Watford,2021,13.0,9.0,0.6923076923076923,4.0,2.0,0.5,4.0,2.0,0.5,0.0
10291,Vitalii Mykolenko,Everton,2021,13.0,12.0,0.9230769230769231,5.0,4.0,0.8,6.0,6.0,1.0,-0.19999999999999996
10291,Vitalii Mykolenko,Everton,2022,34.0,30.0,0.8823529411764706,12.0,10.0,0.8333333333333334,10.0,9.0,0.9,-0.06666666666666665
10291,Vitalii Mykolenko,Everton,2023,28.0,28.0,1.0,11.0,11.0,1.0,7.0,7.0,1.0,0.0
10291,Vitalii Mykolenko,Everton,2024,35.0,35.0,1.0,12.0,12.0,1.0,13.0,13.0,1.0,0.0
