player_id,team_id,season,n_matches,n_starts,start_rate_all,start_rate_hard,start_rate_easy,rotation_elasticity,beta_unavailable,xpts_per_match_present,xpts_season_total,value_gbp_season_total,player_name,has_rotation,has_injury,inj_xpts
1750,Arsenal,2019,20.0,15.0,0.75,0.5555555555555556,1.0,-0.4444444444444444,-0.1554522178464314,0.1554522178464314,5.907184278164396,14761760.406569405,Ainsley Maitland-Niles,True,True,5.907184278164396
3277,Arsenal,2019,30.0,22.0,0.7333333333333333,0.5454545454545454,0.8,-0.2545454545454546,0.0245133543840932,-0.0245133543840932,-0.9315074665955432,-2327790.939186134,Alexandre Lacazette,True,True,-0.9315074665955432
181,Arsenal,2019,30.0,30.0,1.0,1.0,1.0,0.0,,,,,Bernd Leno,True,False,
7322,Arsenal,2019,26.0,19.0,0.7307692307692307,0.7272727272727273,0.5714285714285714,0.1558441558441559,0.4419430169753878,-0.4419430169753878,-16.793834645064734,-41966959.49614507,Bukayo Saka,True,True,-16.793834645064734
508,Arsenal,2019,14.0,13.0,0.9285714285714286,1.0,0.8571428571428571,0.1428571428571429,-0.0636123249343609,0.0636123249343609,2.417268347505715,6040633.659620913,Calum Chambers,True,True,2.417268347505715
847,Arsenal,2019,13.0,11.0,0.8461538461538461,0.8571428571428571,0.6666666666666666,0.1904761904761904,-0.3874947265087169,0.3874947265087169,14.724799607331242,36796543.59889293,Cédric Soares,True,True,14.724799607331242
2446,Arsenal,2019,24.0,18.0,0.75,0.5714285714285714,0.8888888888888888,-0.3174603174603174,0.0029229683633837,-0.0029229683633837,-0.111072797808582,-277565.4104779537,Dani Ceballos,True,True,-0.111072797808582
1676,Arsenal,2019,33.0,32.0,0.9696969696969696,0.9090909090909092,1.0,-0.0909090909090909,-0.1066572177485384,0.1066572177485384,4.05297427444446,10128181.610059729,David Luiz,True,True,4.05297427444446
6482,Arsenal,2019,13.0,7.0,0.5384615384615384,1.0,0.6666666666666666,0.3333333333333333,,,,,Eddie Nketiah,True,False,
,Arsenal,2019,,,,,,,0.1187210219953212,-0.1187210219953212,-4.511398835822206,-11273761.842685854,Emile Smith Rowe,False,True,-4.511398835822206
4401,Arsenal,2019,9.0,8.0,0.8888888888888888,1.0,1.0,0.0,,,,,Emiliano Martinez,True,False,
7752,Arsenal,2019,14.0,6.0,0.4285714285714285,1.0,0.0,1.0,-0.0372725277797056,0.0372725277797056,1.416356055628814,3539403.505807539,Gabriel Martinelli,True,True,1.416356055628814
204,Arsenal,2019,31.0,30.0,0.967741935483871,1.0,1.0,0.0,-0.0302059345137242,0.0302059345137242,1.1478255115215203,2868359.000118044,Granit Xhaka,True,True,1.1478255115215203
317,Arsenal,2019,10.0,6.0,0.6,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.2371093209973989,-0.2371093209973989,-9.01015419790116,-22515928.271835256,Henrikh Mkhitaryan,True,True,-9.01015419790116
492,Arsenal,2019,15.0,13.0,0.8666666666666667,0.8333333333333334,0.8,0.0333333333333333,-0.0488853817981133,0.0488853817981133,1.8576445083283075,4642161.453111645,Héctor Bellerín,True,True,1.8576445083283075
6630,Arsenal,2019,29.0,8.0,0.2758620689655172,0.1666666666666666,0.4444444444444444,-0.2777777777777778,-0.1802572628382041,0.1802572628382041,6.849775987851755,17117250.31926046,Joe Willock,True,True,6.849775987851755
8089,Arsenal,2019,15.0,12.0,0.8,1.0,0.8,0.1999999999999999,0.0957494530269991,-0.0957494530269991,-3.638479215025968,-9092379.023121668,Kieran Tierney,True,True,-3.638479215025968
6722,Arsenal,2019,,,,,,,-0.4294375092628339,0.4294375092628339,16.318625351987688,40779435.05183259,Konstantinos Mavropanos,False,True,16.318625351987688
1227,Arsenal,2019,29.0,17.0,0.5862068965517241,0.8,0.4444444444444444,0.3555555555555556,,,,,Lucas Torreira,True,False,
5759,Arsenal,2019,24.0,19.0,0.7916666666666666,0.75,0.8888888888888888,-0.1388888888888888,,,,,Matteo Guendouzi,True,False,
,Arsenal,2019,,,,,,,-0.148147508330629,0.148147508330629,5.629605316563902,14068104.35453168,Mattéo Guendouzi,False,True,5.629605316563902
499,Arsenal,2019,18.0,18.0,1.0,1.0,1.0,0.0,,,,,Mesut Özil,True,False,
495,Arsenal,2019,9.0,9.0,1.0,1.0,1.0,0.0,-0.0247498026358013,0.0247498026358013,0.940492500160451,2350244.092242562,Nacho Monreal,True,True,0.940492500160451
5656,Arsenal,2019,31.0,22.0,0.7096774193548387,0.8,0.5454545454545454,0.2545454545454546,,,,,Nicolas Pepe,True,False,
,Arsenal,2019,,,,,,,0.2171747568702004,-0.2171747568702004,-8.252640761067617,-20622939.77973281,Nicolas Pépé,False,True,-8.252640761067617
8380,Arsenal,2019,,,,,,,-0.3229858624402351,0.3229858624402351,12.273462772728934,30670774.480438743,Pablo Marí,False,True,12.273462772728934
318,Arsenal,2019,36.0,35.0,0.9722222222222222,0.9166666666666666,1.0,-0.0833333333333333,-0.2689146232243551,0.2689146232243551,10.218755682525495,25536163.41313552,Pierre-Emerick Aubameyang,True,True,10.218755682525495
6492,Arsenal,2019,17.0,7.0,0.4117647058823529,0.4285714285714285,0.6,-0.1714285714285714,0.0677058032337615,-0.0677058032337615,-2.57282052288294,-6429350.827650888,Reiss Nelson,True,True,-2.57282052288294
1749,Arsenal,2019,8.0,6.0,0.75,0.75,0.0,0.75,-0.0796473095957495,0.0796473095957495,3.0265977646384834,7563317.639133324,Rob Holding,True,True,3.0265977646384834
