player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,start_rate_hard,start_rate_easy,rotation_elasticity,rot_z,inj_xpts,inj_xpts_z,inj_gbp,inj_gbp_z,combined_value_z
1750.0,Ainsley Maitland-Niles,Arsenal,2019,20.0,15.0,0.75,0.5555555555555556,1.0,-0.4444444444444444,-1.8072013750657594,5.907184278164396,0.6628787278310562,14761760.406569405,0.6451219794892195,-0.5721613236173516
3277.0,Alexandre Lacazette,Arsenal,2019,30.0,22.0,0.7333333333333333,0.5454545454545454,0.8,-0.2545454545454546,-1.038645579596511,-0.9315074665955432,-0.12785902146895117,-2327790.939186134,-0.12365183306790119,-0.5832523005327311
181.0,Bernd Leno,Arsenal,2019,30.0,30.0,1.0,1.0,1.0,0.0,-0.008453768648369416,,,,,-0.008453768648369416
7322.0,Bukayo Saka,Arsenal,2019,26.0,19.0,0.7307692307692307,0.7272727272727273,0.5714285714285714,0.1558441558441559,0.6222759115239623,-16.793834645064734,-1.9619731122779032,-41966959.49614507,-1.9068206314516138,-0.6698486003769704
508.0,Calum Chambers,Arsenal,2019,14.0,13.0,0.9285714285714286,1.0,0.8571428571428571,0.1428571428571429,0.5697151048429347,2.417268347505715,0.259350045554976,6040633.659620913,0.25280191658068335,0.41453257519895537
847.0,Cédric Soares,Arsenal,2019,13.0,11.0,0.8461538461538461,0.8571428571428571,0.6666666666666666,0.1904761904761904,0.7624380626733689,14.724799607331242,1.682433572501627,36796543.59889293,1.6363571465750641,1.222435817587498
2446.0,Dani Ceballos,Arsenal,2019,24.0,18.0,0.75,0.5714285714285714,0.8888888888888888,-0.3174603174603174,-1.2932734875179335,-0.111072797808582,-0.03299458136000868,-277565.4104779537,-0.03142239623728535,-0.6631340344389711
1676.0,David Luiz,Arsenal,2019,33.0,32.0,0.9696969696969696,0.9090909090909092,1.0,-0.0909090909090909,-0.3763794154155628,4.05297427444446,0.44848189583544634,10128181.610059729,0.43668034371384257,0.03605124020994177
6482.0,Eddie Nketiah,Arsenal,2019,13.0,7.0,0.5384615384615384,1.0,0.6666666666666666,0.3333333333333333,1.340606936164673,,,,,1.340606936164673
,Emile Smith Rowe,Arsenal,2019,,,,,,,,-4.511398835822206,-0.5417912982395547,-11273761.842685854,-0.5260865149015274,-0.5417912982395547
4401.0,Emiliano Martinez,Arsenal,2019,9.0,8.0,0.8888888888888888,1.0,1.0,0.0,-0.008453768648369416,,,,,-0.008453768648369416
7752.0,Gabriel Martinelli,Arsenal,2019,14.0,6.0,0.4285714285714285,1.0,0.0,1.0,4.038728345790759,1.416356055628814,0.14361751037646053,3539403.505807539,0.1402840275778501,2.0911729280836093
204.0,Granit Xhaka,Arsenal,2019,31.0,30.0,0.967741935483871,1.0,1.0,0.0,-0.008453768648369416,1.1478255115215203,0.11256811584447153,2868359.000118044,0.11009707693197791,0.05205717359805106
317.0,Henrikh Mkhitaryan,Arsenal,2019,10.0,6.0,0.6,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-1.3575144734614117,-9.01015419790116,-1.0619691074510045,-22515928.271835256,-1.0318155988476314,-1.2097417904562082
492.0,Héctor Bellerín,Arsenal,2019,15.0,13.0,0.8666666666666667,0.8333333333333334,0.8,0.0333333333333333,0.1264523018329347,1.8576445083283075,0.1946423921671998,4642161.453111645,0.18989161611686695,0.16054734700006726
6630.0,Joe Willock,Arsenal,2019,29.0,8.0,0.2758620689655172,0.1666666666666666,0.4444444444444444,-0.2777777777777778,-1.1326710226592382,6.849775987851755,0.7718678261623471,17117250.31926046,0.7510837408007061,-0.1804015982484456
8089.0,Kieran Tierney,Arsenal,2019,15.0,12.0,0.8,1.0,0.8,0.1999999999999999,0.8009826542394557,-3.638479215025968,-0.44085817798345767,-9092379.023121668,-0.42795696469192124,0.180062238127999
6722.0,Konstantinos Mavropanos,Arsenal,2019,,,,,,,,16.318625351987688,1.866722940869741,40779435.05183259,1.8155275990537991,1.866722940869741
1227.0,Lucas Torreira,Arsenal,2019,29.0,17.0,0.5862068965517241,0.8,0.4444444444444444,0.3555555555555556,1.4305443164855431,,,,,1.4305443164855431
5759.0,Matteo Guendouzi,Arsenal,2019,24.0,19.0,0.7916666666666666,0.75,0.8888888888888888,-0.1388888888888888,-0.5705623956538035,,,,,-0.5705623956538035
,Mattéo Guendouzi,Arsenal,2019,,,,,,,,5.629605316563902,0.6307830914811372,14068104.35453168,0.6139178479740404,0.6307830914811372
499.0,Mesut Özil,Arsenal,2019,18.0,18.0,1.0,1.0,1.0,0.0,-0.008453768648369416,,,,,-0.008453768648369416
495.0,Nacho Monreal,Arsenal,2019,9.0,9.0,1.0,1.0,1.0,0.0,-0.008453768648369416,0.940492500160451,0.08859481146430753,2350244.092242562,0.08678966733347825,0.04007052140796906
5656.0,Nicolas Pepe,Arsenal,2019,31.0,22.0,0.7096774193548387,0.8,0.5454545454545454,0.2545454545454546,1.0217380422997724,,,,,1.0217380422997724
,Nicolas Pépé,Arsenal,2019,,,,,,,,-8.252640761067617,-0.9743800637475445,-20622939.77973281,-0.9466594732854589,-0.9743800637475445
8380.0,Pablo Marí,Arsenal,2019,,,,,,,,12.273462772728934,1.3989927268377058,30670774.480438743,1.3607892990195853,1.3989927268377058
318.0,Pierre-Emerick Aubameyang,Arsenal,2019,36.0,35.0,0.9722222222222222,0.9166666666666666,1.0,-0.0833333333333333,-0.34571894485162996,10.218755682525495,1.161413008286542,25536163.41313552,1.1298087164199682,0.40784703171745595
