Season,Team,n_matches,avg_injured_players,total_injured_players,total_injury_effect_pts_minus_xpts,has_any_injury_data,points_lost_due_to_injuries
2023-2024,Man United,38,10.078947368421053,383,-6.3474456600014575,True,6.3474456600014575
2023-2024,Newcastle,38,7.315789473684211,278,-4.607284317181215,True,4.607284317181215
2023-2024,Nott'm Forest,38,4.921052631578948,187,-3.0991444867370044,True,3.0991444867370044
2023-2024,Sheffield Utd,38,3.5789473684210527,136,-2.253923263081458,True,2.253923263081458
2023-2024,Tottenham,38,8.526315789473685,324,-5.369640714988178,True,5.369640714988178
2023-2024,West Ham,38,1.3157894736842106,50,-0.82864825848583,True,0.82864825848583
2023-2024,Wolves,38,2.9473684210526314,112,-1.8561720990082593,True,1.8561720990082593
2024-2025,Arsenal,38,8.68421052631579,330,-5.469078506006478,True,5.469078506006478
2024-2025,Aston Villa,38,7.105263157894737,270,-4.4747005958234825,True,4.4747005958234825
2024-2025,Bournemouth,38,6.421052631578948,244,-4.043803501410851,True,4.043803501410851
2024-2025,Brentford,38,10.0,380,-6.2977267644923085,True,6.2977267644923085
2024-2025,Brighton,38,12.394736842105264,471,-7.805866594936519,True,7.805866594936519
2024-2025,Chelsea,38,10.552631578947368,401,-6.645759033056357,True,6.645759033056357
2024-2025,Crystal Palace,38,6.131578947368421,233,-3.861500884543968,True,3.861500884543968
2024-2025,Everton,38,5.2105263157894735,198,-3.281447103603887,True,3.281447103603887
2024-2025,Fulham,38,4.7105263157894735,179,-2.9665607653792714,True,2.9665607653792714
2024-2025,Ipswich,38,6.5,247,-4.09352239692,True,4.09352239692
2024-2025,Leicester,38,7.105263157894737,270,-4.474700595823482,True,4.474700595823482
2024-2025,Liverpool,38,5.052631578947368,192,-3.1820093125855875,True,3.1820093125855875
2024-2025,Man City,38,9.552631578947368,363,-6.015986356607126,True,6.015986356607126
2024-2025,Man United,38,6.368421052631579,242,-4.010657571071417,True,4.010657571071417
2024-2025,Newcastle,38,6.394736842105263,243,-4.027230536241134,True,4.027230536241134
2024-2025,Nott'm Forest,38,4.105263157894737,156,-2.58538256647579,True,2.58538256647579
2024-2025,Southampton,38,5.894736842105263,224,-3.7123441980165186,True,3.7123441980165186
2024-2025,Tottenham,38,9.631578947368421,366,-6.065705252116276,True,6.065705252116276
2024-2025,West Ham,38,3.8947368421052633,148,-2.452798845118057,True,2.452798845118057
2024-2025,Wolves,38,8.605263157894736,327,-5.419359610497328,True,5.419359610497328
